date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,9.68 ( 0.83 %),"1,256","3,206,900","2,553.26","1,142","5,063,200","4,434","-1,856,300",aaa
11/09/2024,9.6 ( -1.23 %),"2,209","5,318,800","2,407.79","1,038","6,579,900","6,339","-1,261,100",aaa
10/09/2024,9.72 ( -0.82 %),"1,714","5,607,800","3,271.76","1,186","7,907,800","6,668","-2,300,000",aaa
09/09/2024,9.8 ( -1.01 %),"2,709","7,849,400","2,897.53","1,255","7,610,300","6,064","239,100",aaa
06/09/2024,9.9 ( -1.98 %),"4,089","12,094,900","2,957.91","1,697","13,173,800","7,763","-1,078,900",aaa
05/09/2024,10.1 ( 0 %),"1,748","8,843,400","5,059.15","1,925","10,629,500","5,522","-1,786,100",aaa
04/09/2024,10.1 ( 0 %),"2,207","11,305,400","5,122.52","1,444","9,167,600","6,349","2,137,800",aaa
30/08/2024,10.1 ( 0.5 %),"1,890","8,463,700","4,478.15","1,383","7,464,000","5,397","999,700",aaa
29/08/2024,10.05 ( -0.99 %),"2,123","6,872,800","3,237.31","1,330","8,884,200","6,680","-2,011,400",aaa
28/08/2024,10.15 ( -0.49 %),"2,416","10,380,000","4,296.36","1,707","9,463,200","5,544","916,800",aaa
27/08/2024,10.2 ( 2 %),"2,737","12,763,600","4,663.35","1,687","8,154,000","4,833","4,609,600",aaa
26/08/2024,10 ( -3.38 %),"6,083","24,887,600","4,091.34","2,138","20,565,700","9,619","4,321,900",aaa
23/08/2024,10.35 ( -2.82 %),"7,185","30,972,400","4,310.7","2,469","25,128,100","10,177","5,844,300",aaa
22/08/2024,10.65 ( -0.93 %),"2,581","13,052,700","5,057.23","1,422","13,959,500","9,817","-906,800",aaa
21/08/2024,10.75 ( -0.46 %),"2,457","11,962,400","4,868.7","1,526","11,518,600","7,548","443,800",aaa
20/08/2024,10.8 ( 1.41 %),"2,367","14,413,000","6,089.14","2,405","14,209,100","5,908","203,900",aaa
19/08/2024,10.65 ( 0.47 %),"1,614","11,295,800","6,998.64","2,050","14,606,400","7,125","-3,310,600",aaa
16/08/2024,10.6 ( 4.43 %),"2,308","14,970,100","6,486.18","2,392","11,631,700","4,863","3,338,400",aaa
15/08/2024,10.15 ( -2.4 %),"2,678","11,371,600","4,246.3","1,397","9,799,100","7,014","1,572,500",aaa
14/08/2024,10.4 ( -0.95 %),"1,519","7,231,000","4,760.37","1,603","10,366,300","6,467","-3,135,300",aaa
13/08/2024,10.5 ( 0.48 %),"1,607","9,138,500","5,686.68","1,861","11,842,900","6,364","-2,704,400",aaa
12/08/2024,10.45 ( 0.97 %),"2,620","12,671,000","4,836.26","1,259","13,366,400","10,617","-695,400",aaa
08/08/2024,10.3 ( -4.63 %),"5,190","22,104,700","4,259.09","1,494","22,496,600","15,058","-391,900",aaa
07/08/2024,10.8 ( -0.46 %),"3,344","23,031,800","6,887.5","1,365","13,154,600","9,637","9,877,200",aaa
06/08/2024,10.85 ( 2.84 %),"1,681","9,347,400","5,560.62","1,546","8,064,200","5,216","1,283,200",aaa
