date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,7.7(1.32 %),0,0.0,0,0.0,0,0.0,"84,800,838",16.41%,abb
11/09/2024,7.6(0.00 %),0,0.0,0,0.0,0,0.0,"84,800,838",16.41%,abb
10/09/2024,7.6(0.00 %),0,0.0,0,0.0,0,0.0,"84,800,838",16.41%,abb
09/09/2024,7.7(0.00 %),0,0.0,0,0.0,0,0.0,"84,800,838",16.41%,abb
06/09/2024,7.8(1.30 %),1,0.0,1,0.0,0,0.0,"84,800,838",16.41%,abb
05/09/2024,7.8(1.30 %),0,0.0,0,0.0,0,0.0,"84,800,839",16.41%,abb
04/09/2024,7.8(0.00 %),0,0.0,0,0.0,0,0.0,"84,800,839",16.41%,abb
30/08/2024,7.9(1.28 %),0,0.0,0,0.0,0,0.0,"84,800,839",16.41%,abb
29/08/2024,7.8(0.00 %),0,0.0,0,0.0,0,0.0,"84,800,839",16.41%,abb
28/08/2024,7.9(1.28 %),0,0.0,0,0.0,0,0.0,"84,800,839",16.41%,abb
27/08/2024,7.9(1.28 %),0,0.0,0,0.0,0,0.0,"84,800,639",16.41%,abb
26/08/2024,7.9(1.28 %),-200,-0.0,0,0.0,200,0.0,"84,800,639",16.41%,abb
23/08/2024,7.8(0.00 %),0,0.0,0,0.0,0,0.0,"84,800,639",16.41%,abb
22/08/2024,7.8(1.30 %),0,0.0,0,0.0,0,0.0,"84,800,639",16.41%,abb
21/08/2024,7.8(1.30 %),0,0.0,0,0.0,0,0.0,"84,800,639",16.41%,abb
20/08/2024,7.8(1.30 %),0,0.0,0,0.0,0,0.0,"84,800,539",16.41%,abb
19/08/2024,7.8(1.30 %),-100,-0.0,0,0.0,100,0.0,"84,800,539",16.41%,abb
16/08/2024,7.7(1.32 %),0,0.0,0,0.0,0,0.0,"84,800,539",16.41%,abb
15/08/2024,7.7(1.32 %),0,0.0,0,0.0,0,0.0,"84,800,539",16.41%,abb
14/08/2024,7.7(1.32 %),"52,100",0.4,"52,100",0.4,0,0.0,"84,800,539",16.41%,abb
13/08/2024,7.7(1.32 %),0,0.0,0,0.0,0,0.0,"84,852,639",16.4%,abb
12/08/2024,7.7(1.32 %),0,0.0,0,0.0,0,0.0,"84,852,639",16.4%,abb
