date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,107 ( 0 %),217,"93,500",430.88,242,"137,200",567,"-43,700",acv
11/09/2024,107.6 ( 1.22 %),301,"212,000",704.32,259,"153,600",593,"58,400",acv
10/09/2024,106.5 ( 0.38 %),288,"275,900",957.99,215,"226,500","1,053","49,400",acv
09/09/2024,106 ( -0.56 %),273,"124,800",457.14,148,"108,600",734,"16,200",acv
06/09/2024,107 ( -1.2 %),522,"271,600",520.31,225,"215,800",959,"55,800",acv
05/09/2024,108 ( -0.92 %),387,"162,800",420.67,271,"272,200","1,004","-109,400",acv
04/09/2024,109.4 ( -0.36 %),373,"204,600",548.53,256,"259,400","1,013","-54,800",acv
30/08/2024,110 ( 0.82 %),215,"197,200",917.21,245,"199,900",816,"-2,700",acv
29/08/2024,109.8 ( 0.37 %),326,"166,700",511.35,310,"240,800",777,"-74,100",acv
28/08/2024,109.9 ( 1.1 %),277,"142,600",514.8,290,"245,300",846,"-102,700",acv
27/08/2024,110 ( -0.18 %),567,"277,500",489.42,312,"276,600",887,900,acv
26/08/2024,109.9 ( -1.52 %),649,"293,700",452.54,390,"359,900",923,"-66,200",acv
23/08/2024,112 ( -1.06 %),646,"297,300",460.22,609,"352,500",579,"-55,200",acv
22/08/2024,113.7 ( 0.44 %),286,"184,300",644.41,471,"393,700",836,"-209,400",acv
21/08/2024,113.9 ( 0.8 %),340,"242,100",712.06,471,"351,500",746,"-109,400",acv
20/08/2024,113.9 ( 1.88 %),406,"238,900",588.42,540,"376,700",698,"-137,800",acv
19/08/2024,112.5 ( 3.21 %),568,"334,600",589.08,604,"377,400",625,"-42,800",acv
16/08/2024,109.5 ( 2.24 %),519,"353,100",680.35,672,"398,600",593,"-45,500",acv
15/08/2024,107 ( -0.56 %),366,"204,900",559.84,350,"261,400",747,"-56,500",acv
14/08/2024,109 ( 0.55 %),501,"249,200",497.41,376,"292,600",778,"-43,400",acv
13/08/2024,108.7 ( 0.46 %),562,"351,700",625.8,888,"444,700",501,"-93,000",acv
12/08/2024,109.6 ( 2.62 %),452,"214,600",474.78,400,"270,500",676,"-55,900",acv
09/08/2024,109.9 ( 6.8 %),882,"524,100",594.22,895,"476,700",533,"47,400",acv
08/08/2024,103.5 ( 0.39 %),613,"279,100",455.3,406,"317,800",783,"-38,700",acv
07/08/2024,101.7 ( -1.45 %),640,"315,300",492.66,710,"336,900",475,"-21,600",acv
06/08/2024,102 ( -5.99 %),"1,917","956,900",499.17,"1,701","955,700",562,"1,200",acv
05/08/2024,107 ( -4.46 %),669,"320,500",479.07,430,"421,400",980,"-100,900",acv
02/08/2024,114.4 ( 2.23 %),514,"343,700",668.68,452,"344,800",763,"-1,100",acv
01/08/2024,113 ( -1.48 %),695,"429,800",618.42,531,"501,600",945,"-71,800",acv
31/07/2024,115.9 ( -1.45 %),954,"516,900",541.82,782,"585,400",749,"-68,500",acv
30/07/2024,118 ( 0.43 %),965,"337,300",349.53,831,"453,800",546,"-116,500",acv
29/07/2024,117.5 ( 2.44 %),918,"491,400",535.29,722,"600,000",831,"-108,600",acv
26/07/2024,115.1 ( 4.26 %),"1,254","483,200",385.33,853,"512,600",601,"-29,400",acv
25/07/2024,111.8 ( 5.17 %),"1,129","554,000",490.7,889,"535,900",603,"18,100",acv
24/07/2024,108 ( 1.5 %),589,"384,600",652.97,504,"358,600",712,"26,000",acv
23/07/2024,107.3 ( 1.61 %),613,"366,700",598.21,565,"391,200",692,"-24,500",acv
22/07/2024,108 ( -0.46 %),688,"463,700",673.98,611,"409,900",671,"53,800",acv
19/07/2024,108.9 ( 0.09 %),442,"261,500",591.63,403,"297,600",738,"-36,100",acv
