date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,20.2,--,0(0.00 %),0,0.0,0,0,20.2,20.2,20.2,adc
11/09/2024,20.2,--,0(0.00 %),4,0.0,0,0,20.2,20.2,20.2,adc
10/09/2024,20.2,--,0.2(1.00 %),301,0.01,0,0,20.0,20.2,20.0,adc
09/09/2024,20.0,--,0(0.00 %),100,0.0,0,0,20.0,20.0,20.0,adc
06/09/2024,20.0,--,0(0.00 %),0,0.0,0,0,20.0,20.0,20.0,adc
05/09/2024,20.0,--,0(0.00 %),118,0.0,0,0,20.0,20.0,20.0,adc
04/09/2024,20.0,--,0(0.00 %),507,0.01,0,0,20.0,20.0,20.0,adc
30/08/2024,20.0,--,0(0.00 %),4,0.0,0,0,20.0,20.0,20.0,adc
29/08/2024,20.0,--,0(0.00 %),0,0.0,0,0,20.0,20.0,20.0,adc
28/08/2024,20.0,--,0(0.00 %),203,0.0,0,0,20.0,20.0,20.0,adc
27/08/2024,20.0,--,0(0.00 %),38,0.0,0,0,20.0,20.0,20.0,adc
26/08/2024,20.0,--,0(0.00 %),202,0.0,0,0,20.0,20.0,20.0,adc
23/08/2024,20.0,--,0(0.00 %),183,0.0,0,0,20.0,20.0,20.0,adc
22/08/2024,20.0,--,-1.9(-8.68 %),758,0.02,0,0,19.8,20.0,19.8,adc
21/08/2024,21.9,--,0(0.00 %),0,0.0,0,0,21.9,21.9,21.9,adc
20/08/2024,21.9,--,1.4(6.83 %),"1,200",0.02,0,0,20.5,21.9,20.5,adc
19/08/2024,20.5,--,0(0.00 %),0,0.0,0,0,20.5,20.5,20.5,adc
16/08/2024,20.5,--,0(0.00 %),2,0.0,0,0,20.5,20.5,20.5,adc
15/08/2024,20.5,--,0(0.00 %),5,0.0,0,0,20.5,20.5,20.5,adc
14/08/2024,20.5,--,0.3(1.49 %),500,0.01,0,0,20.5,20.5,20.5,adc
14/08/2024,20.5,--,0.3(1.49 %),500,0.01,0,0,20.5,20.5,20.5,adc
13/08/2024,20.2,--,0(0.00 %),0,0.0,0,0,20.2,20.2,20.2,adc
12/08/2024,20.2,--,0(0.00 %),"1,604",0.03,0,0,20.2,20.2,20.2,adc
09/08/2024,20.2,--,-0.1(-0.49 %),101,0.0,0,0,20.2,20.2,20.2,adc
08/08/2024,20.3,--,-0.1(-0.49 %),904,0.02,0,0,20.5,20.5,20.3,adc
07/08/2024,20.4,--,0(0.00 %),0,0.0,0,0,20.4,20.4,20.4,adc
06/08/2024,20.4,--,-0.2(-0.97 %),947,0.02,0,0,19.3,20.4,19.3,adc
05/08/2024,20.6,--,-0.1(-0.48 %),100,0.0,0,0,20.6,20.6,20.6,adc
02/08/2024,20.7,--,0(0.00 %),74,0.0,0,0,20.7,20.7,20.7,adc
01/08/2024,20.7,--,0(0.00 %),"2,203",0.05,0,0,20.7,22.0,20.7,adc
31/07/2024,20.7,--,-0.1(-0.48 %),"2,100",0.04,0,0,20.0,20.7,20.0,adc
30/07/2024,20.8,--,0(0.00 %),90,0.0,0,0,20.8,20.8,20.8,adc
29/07/2024,20.8,--,0(0.00 %),0,0.0,0,0,20.8,20.8,20.8,adc
26/07/2024,20.8,--,0(0.00 %),0,0.0,0,0,20.8,20.8,20.8,adc
