date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,30.9 ( 1.15 %),33,"16,200",490.91,38,"36,800",968,"-20,600",adp
11/09/2024,30.55 ( -1.13 %),33,"117,300","3,554.55",32,"133,300","4,166","-16,000",adp
10/09/2024,30.9 ( 0 %),37,"32,300",872.97,18,"35,900","1,994","-3,600",adp
09/09/2024,30.9 ( -1.28 %),36,"21,100",586.11,40,"43,700","1,092","-22,600",adp
06/09/2024,31.3 ( 1.62 %),60,"27,300",455,28,"27,700",989,-400,adp
05/09/2024,30.8 ( -1.91 %),43,"23,300",541.86,36,"36,000","1,000","-12,700",adp
04/09/2024,31.4 ( 1.78 %),47,"25,200",536.17,31,"26,800",865,"-1,600",adp
30/08/2024,30.85 ( -1.75 %),96,"90,700",944.79,84,"96,900","1,154","-6,200",adp
29/08/2024,31.4 ( -0.32 %),46,"33,700",732.61,30,"34,900","1,163","-1,200",adp
28/08/2024,31.5 ( 0 %),22,"26,200","1,190.91",27,"33,400","1,237","-7,200",adp
27/08/2024,31.5 ( 0 %),43,"37,000",860.47,36,"28,900",803,"8,100",adp
26/08/2024,31.5 ( -1.56 %),51,"35,100",688.24,45,"41,300",918,"-6,200",adp
23/08/2024,32 ( 3.9 %),47,"28,100",597.87,46,"30,700",667,"-2,600",adp
22/08/2024,30.8 ( -0.32 %),48,"30,100",627.08,48,"42,400",883,"-12,300",adp
21/08/2024,30.9 ( -1.28 %),36,"37,300","1,036.11",30,"36,100","1,203","1,200",adp
20/08/2024,31.3 ( 0.97 %),43,"37,100",862.79,33,"36,100","1,094","1,000",adp
19/08/2024,31 ( 0.81 %),63,"50,800",806.35,53,"39,500",745,"11,300",adp
16/08/2024,30.75 ( -0.49 %),68,"28,700",422.06,38,"39,600","1,042","-10,900",adp
15/08/2024,30.9 ( 2.66 %),113,"89,300",790.27,30,"52,000","1,733","37,300",adp
14/08/2024,30.1 ( -6.23 %),120,"44,500",370.83,84,"67,400",802,"-22,900",adp
13/08/2024,32.1 ( -1.83 %),57,"19,700",345.61,37,"33,900",916,"-14,200",adp
12/08/2024,32.7 ( 2.19 %),33,"20,100",609.09,32,"20,400",638,-300,adp
08/08/2024,34 ( -2.86 %),49,"15,800",322.45,47,"38,000",809,"-22,200",adp
07/08/2024,35 ( 2.94 %),64,"37,000",578.12,56,"57,800","1,032","-20,800",adp
06/08/2024,34 ( -2.16 %),19,"5,600",294.74,19,"14,000",737,"-8,400",adp
05/08/2024,34.75 ( -6.96 %),15,"6,100",406.67,25,"71,400","2,856","-65,300",adp
02/08/2024,37.35 ( 0 %),4,500,125,12,"25,200","2,100","-24,700",adp
01/08/2024,37.35 ( 0 %),5,"1,200",240,18,"14,400",800,"-13,200",adp
31/07/2024,37.35 ( 4.92 %),25,"11,000",440,21,"17,100",814,"-6,100",adp
30/07/2024,35.6 ( 6.27 %),22,"10,600",481.82,19,"13,100",689,"-2,500",adp
29/07/2024,33.5 ( 1.82 %),17,"7,900",464.71,15,"10,700",713,"-2,800",adp
26/07/2024,32.9 ( 0.3 %),29,"12,400",427.59,21,"8,900",424,"3,500",adp
25/07/2024,32.8 ( 2.18 %),24,"13,700",570.83,19,"10,400",547,"3,300",adp
24/07/2024,32.1 ( -3.6 %),32,"28,700",896.88,58,"51,900",895,"-23,200",adp
22/07/2024,31.15 ( 6.86 %),49,"59,400","1,212.24",17,"13,100",771,"46,300",adp
19/07/2024,29.15 ( 4.67 %),21,"15,900",757.14,16,"16,900","1,056","-1,000",adp
18/07/2024,27.85 ( 0.91 %),23,"13,100",569.57,8,"4,500",562,"8,600",adp
17/07/2024,0 ( 0 %),8,"2,600",325,9,"13,000","1,444","-10,400",adp
16/07/2024,0 ( 0 %),16,"5,800",362.5,11,"13,400","1,218","-7,600",adp
15/07/2024,29 ( 0 %),9,"3,700",411.11,13,"14,500","1,115","-10,800",adp
12/07/2024,29 ( 0 %),9,"4,100",455.56,12,"14,300","1,192","-10,200",adp
11/07/2024,29 ( 0 %),7,"3,400",485.71,8,"11,300","1,412","-7,900",adp
10/07/2024,29 ( 0 %),6,"2,300",383.33,9,"14,000","1,556","-11,700",adp
09/07/2024,29 ( 0 %),13,"5,800",446.15,8,"13,600","1,700","-7,800",adp
08/07/2024,29 ( 0.69 %),16,"13,000",812.5,9,"24,300","2,700","-11,300",adp
05/07/2024,28.8 ( 0 %),10,"7,200",720,8,"13,000","1,625","-5,800",adp
04/07/2024,28.8 ( -0.35 %),12,"3,500",291.67,10,"18,700","1,870","-15,200",adp
03/07/2024,28.9 ( 0.7 %),11,"4,600",418.18,15,"23,000","1,533","-18,400",adp
02/07/2024,28.7 ( 3.05 %),17,"6,500",382.35,17,"9,800",576,"-3,300",adp
