date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,6.9(6.15 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
11/09/2024,6.8(7.94 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
10/09/2024,6.3(6.78 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
09/09/2024,5.9(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
06/09/2024,6(5.26 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
05/09/2024,5.7(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
04/09/2024,5.8(1.75 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
30/08/2024,5.8(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
29/08/2024,5.9(-1.67 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
28/08/2024,6(-1.64 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
27/08/2024,6.1(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
26/08/2024,6(3.45 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
23/08/2024,6(-1.64 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
22/08/2024,6(-4.76 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
21/08/2024,6.2(3.33 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
20/08/2024,6(-4.76 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
19/08/2024,6.4(6.67 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
16/08/2024,6.3(14.55 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
15/08/2024,5.8(-1.69 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
14/08/2024,5.9(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
13/08/2024,5.9(-1.67 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
12/08/2024,5.9(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
09/08/2024,5.9(-10.61 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
08/08/2024,6.7(-2.90 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
07/08/2024,7(6.06 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
06/08/2024,6.8(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
05/08/2024,6.7(-4.29 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
02/08/2024,6.9(1.47 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
01/08/2024,6.8(-2.86 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
31/07/2024,6.9(-1.43 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
30/07/2024,6.9(-2.82 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
29/07/2024,7.1(4.41 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
24/07/2024,7.6(2.70 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
23/07/2024,6.9(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
22/07/2024,7.6(8.57 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
19/07/2024,7.1(-4.05 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
18/07/2024,7.4(-3.90 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
17/07/2024,0(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
16/07/2024,0(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
15/07/2024,7.9(-3.66 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
12/07/2024,7.9(-3.66 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
11/07/2024,8.1(-3.57 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
10/07/2024,8.5(-3.41 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
08/07/2024,9.2(5.75 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
04/07/2024,8.8(2.33 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
03/07/2024,8.7(1.16 %),0,0,0,0,0,0,"2,754,315",0%,alv
02/07/2024,8.7(3.57 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
01/07/2024,8.5(1.19 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
28/06/2024,8.3(-3.49 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
27/06/2024,8.6(3.61 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
26/06/2024,8.3(-1.19 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
25/06/2024,8.3(-3.49 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
24/06/2024,8.3(-6.74 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
21/06/2024,9(9.76 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
20/06/2024,8.1(-6.90 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
19/06/2024,8.7(-2.25 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
18/06/2024,8.8(-1.12 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
17/06/2024,0(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
14/06/2024,0(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
13/06/2024,10(2.04 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
12/06/2024,9.9(-1.98 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
11/06/2024,10.1(-7.34 %),0,0,0,0,0,0,"2,754,315",0%,alv
10/06/2024,10.8(2.86 %),0,0,0,0,0,0,"2,754,315",0%,alv
07/06/2024,10.8(14.89 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
06/06/2024,9.3(-3.12 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
05/06/2024,9.8(-4.85 %),0,0,0,0,0,0,"2,754,315",0%,alv
04/06/2024,10.1(-5.61 %),0,0,0,0,0,0,"2,754,315",0%,alv
03/06/2024,10.9(0.00 %),0,0,0,0,0,0,"2,754,315",0%,alv
31/05/2024,11(0.92 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
30/05/2024,11.4(-1.72 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
29/05/2024,11.6(11.54 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
28/05/2024,10.4(1.96 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
27/05/2024,10.5(-5.41 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
24/05/2024,11(0.00 %),0,0,0,0,0,0,"2,754,315",0%,alv
23/05/2024,11.5(12.75 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
22/05/2024,10.1(7.45 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
21/05/2024,10(8.70 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
20/05/2024,9.2(15.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
17/05/2024,8.3(-1.19 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
16/05/2024,7.6(-7.32 %),0,0,0,0,0,0,"2,754,315",0%,alv
15/05/2024,8.3(13.70 %),0,0,0,0,0,0,"2,754,315",0%,alv
14/05/2024,7.7(14.93 %),0,0,0,0,0,0,"2,754,315",0%,alv
13/05/2024,6.8(9.68 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
10/05/2024,6.2(14.81 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
09/05/2024,5.5(14.58 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
08/05/2024,4.9(-5.77 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
07/05/2024,5(-3.85 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
06/05/2024,5.1(4.08 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
03/05/2024,5.1(4.08 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
02/05/2024,4.9(-3.92 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
26/04/2024,5(0.00 %),0,0,0,0,0,0,"2,754,315",0.32%,alv
25/04/2024,5(0.00 %),0,0,0,0,0,0,"2,754,315",0%,alv
24/04/2024,5(0.00 %),0,0,0,0,0,0,"2,754,315",0%,alv
