date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,16.6(4.40 %),0,0.0,0,0.0,0,0.0,"1,317,100",2.79%,amc
11/09/2024,15.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,317,100",2.79%,amc
10/09/2024,15.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,317,100",2.79%,amc
09/09/2024,15.9(-5.36 %),0,0.0,0,0.0,0,0.0,"1,317,100",2.79%,amc
06/09/2024,16.8(0.00 %),0,0.0,0,0.0,0,0.0,"1,317,100",2.79%,amc
05/09/2024,16.8(0.00 %),0,0.0,0,0.0,0,0.0,"1,317,100",2.79%,amc
04/09/2024,16.8(5.00 %),0,0.0,0,0.0,0,0.0,"1,317,100",2.79%,amc
30/08/2024,16(-1.84 %),100,0.0,100,0.0,0,0.0,"1,317,100",2.79%,amc
29/08/2024,16.3(-0.61 %),400,0.01,400,0.01,0,0.0,"1,317,200",2.78%,amc
28/08/2024,16.4(3.14 %),0,0.0,0,0.0,0,0.0,"1,317,600",2.77%,amc
27/08/2024,15.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,317,600",2.77%,amc
26/08/2024,15.9(1.27 %),100,0.0,100,0.0,0,0.0,"1,317,600",2.77%,amc
23/08/2024,15.7(-2.48 %),0,0.0,0,0.0,0,0.0,"1,317,700",2.76%,amc
22/08/2024,16.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,317,700",2.76%,amc
21/08/2024,16.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,317,700",2.76%,amc
20/08/2024,16.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,317,700",2.76%,amc
19/08/2024,16.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,317,700",2.76%,amc
16/08/2024,16.1(2.55 %),0,0.0,0,0.0,0,0.0,"1,317,700",2.76%,amc
15/08/2024,15.7(-7.10 %),"1,000",0.02,"1,000",0.02,0,0.0,"1,317,700",2.76%,amc
14/08/2024,16.9(-1.74 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
13/08/2024,17.2(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
12/08/2024,17.2(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
09/08/2024,17.2(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
08/08/2024,17.2(7.50 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
07/08/2024,16(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
06/08/2024,16(-1.23 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
05/08/2024,16.2(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
02/08/2024,16.2(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
01/08/2024,16.2(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
31/07/2024,16.2(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
30/07/2024,16.2(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
29/07/2024,16.2(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
24/07/2024,16.7(-1.18 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
23/07/2024,16.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
22/07/2024,16.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
19/07/2024,16.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
18/07/2024,16.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
17/07/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
16/07/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
15/07/2024,16.7(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
12/07/2024,16.7(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
11/07/2024,16.7(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
10/07/2024,16.7(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
08/07/2024,16.8(-2.89 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
04/07/2024,17.3(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
03/07/2024,17.3(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
02/07/2024,17.3(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
01/07/2024,17.3(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
28/06/2024,17.3(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
27/06/2024,17.3(-2.26 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
26/06/2024,17.7(4.12 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
25/06/2024,17(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
24/06/2024,17(-5.03 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
21/06/2024,17.9(2.29 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
20/06/2024,17.5(-1.13 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
19/06/2024,19(-0.52 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
18/06/2024,19.1(1.60 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
17/06/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
14/06/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
13/06/2024,18.7(-0.53 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
12/06/2024,18.8(-1.57 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
11/06/2024,19.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
10/06/2024,19.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",0%,amc
07/06/2024,19.1(9.77 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
06/06/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",2.73%,amc
05/06/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,700",0%,amc
04/06/2024,17.4(0.58 %),0,0.0,0,0.0,0,0.0,"1,318,600",0%,amc
03/06/2024,17.3(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",0%,amc
31/05/2024,17.3(-3.35 %),-100,-0.0,0,0.0,100,0.0,"1,318,600",2.73%,amc
30/05/2024,17.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",2.73%,amc
29/05/2024,17.9(3.47 %),0,0.0,0,0.0,0,0.0,"1,318,600",2.73%,amc
28/05/2024,17.3(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",2.73%,amc
27/05/2024,17.3(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",2.73%,amc
24/05/2024,17.3(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",0%,amc
23/05/2024,17.3(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",2.73%,amc
22/05/2024,17.3(-3.89 %),0,0.0,0,0.0,0,0.0,"1,318,600",2.73%,amc
21/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",2.73%,amc
20/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",2.73%,amc
17/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",2.73%,amc
16/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",0%,amc
15/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",0%,amc
14/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",0%,amc
13/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",2.73%,amc
10/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,600",2.73%,amc
09/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
08/05/2024,18(-4.76 %),-500,-0.01,0,0.0,500,0.01,"1,318,100",2.75%,amc
07/05/2024,18.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
06/05/2024,18.9(5.59 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
03/05/2024,17.9(3.47 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
02/05/2024,17.3(-8.47 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
26/04/2024,18.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
25/04/2024,18.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
24/04/2024,18.9(8.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
23/04/2024,17.5(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
22/04/2024,17.5(-7.41 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
19/04/2024,18.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
17/04/2024,18.9(1.61 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
16/04/2024,18.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
15/04/2024,18.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
12/04/2024,18.6(-1.59 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
11/04/2024,18.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
10/04/2024,18.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
09/04/2024,18.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
08/04/2024,18.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
05/04/2024,18.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
04/04/2024,18.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
03/04/2024,18.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
02/04/2024,18.9(8.62 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
01/04/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
29/03/2024,17.4(-3.33 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
28/03/2024,18(-4.76 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
27/03/2024,18.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
26/03/2024,18.9(5.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
25/03/2024,18(-4.76 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
22/03/2024,18.9(5.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
21/03/2024,18(4.65 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
20/03/2024,17.2(-4.44 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
19/03/2024,18(5.88 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
18/03/2024,17(-7.10 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
15/03/2024,18.3(-0.54 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
14/03/2024,18.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
13/03/2024,18.4(5.75 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
12/03/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
11/03/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
08/03/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
07/03/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
06/03/2024,17.4(-2.79 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
05/03/2024,17.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
04/03/2024,17.9(0.00 %),0,0.0,"66,300",1.13,"66,300",1.13,"1,318,100",0%,amc
01/03/2024,17.9(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
29/02/2024,17.9(2.87 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
28/02/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
27/02/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
26/02/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
23/02/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
22/02/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
21/02/2024,17.4(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
20/02/2024,17.4(-3.33 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
19/02/2024,18(5.88 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
16/02/2024,17(-3.41 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
15/02/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
07/02/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
06/02/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
05/02/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",0%,amc
02/02/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
01/02/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
31/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
30/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
29/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
26/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
25/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
24/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
23/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
22/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
19/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
18/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
17/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
16/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
15/01/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
12/01/2024,17.6(-6.38 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
11/01/2024,18.8(9.94 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
10/01/2024,17.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
09/01/2024,17.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
08/01/2024,17.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
05/01/2024,17.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
04/01/2024,17.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
03/01/2024,17.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
02/01/2024,17.1(0.00 %),0,0.0,0,0.0,0,0.0,"1,318,100",2.75%,amc
