date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,11.9(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
11/09/2024,11.9(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
10/09/2024,11.9(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
09/09/2024,11.9(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
06/09/2024,11.9(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
05/09/2024,11.9(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
04/09/2024,11.9(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
30/08/2024,11.9(-15.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
29/08/2024,14(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
28/08/2024,14(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
27/08/2024,14(13.82 %),0,0,0,0,0,0,"6,370,000",0%,amp
26/08/2024,12.3(-13.99 %),0,0,0,0,0,0,"6,370,000",0%,amp
23/08/2024,14.3(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
22/08/2024,14.3(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
21/08/2024,14.3(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
20/08/2024,14.3(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
19/08/2024,14.3(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
16/08/2024,14.3(14.40 %),0,0,0,0,0,0,"6,370,000",0%,amp
15/08/2024,12.5(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
14/08/2024,12.5(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
13/08/2024,12.5(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
12/08/2024,12.5(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
09/08/2024,12.5(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
08/08/2024,12.5(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
07/08/2024,12.5(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
06/08/2024,12.5(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
05/08/2024,12.5(0.00 %),0,0,0,0,0,0,"6,370,000",0%,amp
