date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,31.85,--,-0.1(-0.31 %),"307,800",9.84,0,0.0,32.15,32.2,31.85,anv
11/09/2024,31.95,--,-0.05(-0.16 %),"395,400",12.59,0,0.0,32.0,32.15,31.65,anv
10/09/2024,32.0,--,0.45(1.43 %),"821,100",26.25,0,0.0,31.6,32.3,31.6,anv
09/09/2024,31.55,--,0.2(0.64 %),"386,900",12.23,0,0.0,31.35,31.75,31.3,anv
06/09/2024,31.35,--,0.15(0.48 %),"455,700",14.23,0,0.0,31.0,31.6,31.0,anv
05/09/2024,31.2,--,-0.2(-0.64 %),"615,000",19.34,0,0.0,31.3,31.9,31.2,anv
04/09/2024,31.4,--,-0.5(-1.57 %),"653,000",20.58,0,0.0,31.6,31.8,31.35,anv
30/08/2024,31.9,--,-0.35(-1.09 %),"716,500",22.92,0,0.0,32.25,32.35,31.85,anv
29/08/2024,32.25,--,0.05(0.16 %),"406,800",13.09,0,0.0,32.0,32.4,32.0,anv
28/08/2024,32.2,--,-0.3(-0.92 %),"966,700",31.11,0,0.0,32.5,32.55,31.95,anv
27/08/2024,32.5,--,-0.05(-0.15 %),"524,700",17.07,0,0.0,32.55,32.7,32.45,anv
26/08/2024,32.55,--,-0.3(-0.91 %),"613,700",20.16,0,0.0,33.35,33.4,32.55,anv
23/08/2024,32.85,--,0.25(0.77 %),"1,411,100",46.82,0,0.0,32.6,33.55,32.4,anv
22/08/2024,32.6,--,-0.2(-0.61 %),"553,400",18.04,0,0.0,33.0,33.0,32.5,anv
21/08/2024,32.8,--,-0.2(-0.61 %),"715,600",23.44,0,0.0,32.8,33.05,32.55,anv
20/08/2024,33.0,--,0.45(1.38 %),"1,173,200",38.43,0,0.0,32.55,33.15,32.3,anv
19/08/2024,32.55,--,0.15(0.46 %),"733,200",23.87,"200,000",6.48,32.6,32.85,32.3,anv
16/08/2024,32.4,--,1.2(3.85 %),"1,226,900",39.38,0,0.0,31.4,32.5,31.25,anv
15/08/2024,31.2,--,-0.6(-1.89 %),"665,700",20.97,"25,000",0.74,31.75,31.8,31.2,anv
14/08/2024,31.8,--,0.1(0.32 %),"798,800",25.5,0,0.0,31.7,32.2,31.7,anv
14/08/2024,31.8,--,0.1(0.32 %),"798,800",25.5,0,0.0,31.7,32.2,31.7,anv
13/08/2024,31.7,--,-0.05(-0.16 %),"557,400",17.7,0,0.0,31.75,32.0,31.6,anv
12/08/2024,31.75,--,0.05(0.16 %),"547,000",17.33,0,0.0,31.9,31.95,31.5,anv
09/08/2024,31.7,--,0.4(1.28 %),"711,500",22.58,0,0.0,31.6,32.0,31.45,anv
08/08/2024,31.3,--,0(0.00 %),"1,051,500",33.1,0,0.0,31.15,31.8,31.1,anv
07/08/2024,31.3,--,0.45(1.46 %),"726,800",22.64,0,0.0,30.85,31.4,30.85,anv
06/08/2024,30.85,--,0.7(2.32 %),"1,104,100",33.84,"20,000",0.64,30.65,31.1,30.1,anv
05/08/2024,30.15,--,-2.25(-6.94 %),"1,995,400",61.69,0,0.0,31.1,32.05,30.15,anv
02/08/2024,32.4,--,0.8(2.53 %),"1,365,900",42.95,0,0.0,31.15,32.4,30.2,anv
01/08/2024,31.6,--,-2.3(-6.78 %),"2,494,000",80.97,0,0.0,33.5,33.85,31.6,anv
31/07/2024,33.9,--,0(0.00 %),"973,700",32.88,0,0.0,34.05,34.05,33.25,anv
30/07/2024,33.9,--,-0.25(-0.73 %),"1,388,400",47.25,0,0.0,34.15,34.6,33.5,anv
29/07/2024,34.15,--,0.4(1.19 %),"1,013,500",34.44,0,0.0,33.9,34.2,33.75,anv
26/07/2024,33.75,--,0.1(0.30 %),"1,001,000",33.66,0,0.0,33.5,33.75,33.45,anv
25/07/2024,33.65,--,0.05(0.15 %),"891,200",29.74,0,0.0,33.2,34.05,33.1,anv
24/07/2024,33.6,--,0.6(1.82 %),"2,301,600",75.98,0,0.0,33.0,33.8,32.45,anv
23/07/2024,33.0,--,-1.85(-5.31 %),"4,290,200",145.49,0,0.0,34.7,35.1,32.6,anv
22/07/2024,34.85,--,-1.15(-3.19 %),"4,017,200",141.94,0,0.0,36.05,36.35,34.75,anv
19/07/2024,36.0,--,0.5(1.41 %),"4,300,900",154.25,0,0.0,35.5,36.4,35.2,anv
18/07/2024,35.5,--,0.95(2.75 %),"2,562,000",89.6,0,0.0,34.8,35.5,34.5,anv
17/07/2024,34.55,--,-0.25(-0.72 %),"3,835,800",132.5,0,0.0,34.9,35.4,33.0,anv
16/07/2024,34.8,--,-0.7(-1.97 %),"3,190,900",112.07,0,0.0,35.8,35.8,34.5,anv
15/07/2024,35.5,--,-0.45(-1.25 %),"1,742,100",62.23,0,0.0,36.35,36.35,35.4,anv
12/07/2024,35.95,--,0.7(1.99 %),"5,324,200",191.95,0,0.0,35.45,37.0,35.05,anv
11/07/2024,35.25,--,0.5(1.44 %),"2,253,600",79.15,0,0.0,35.0,35.35,34.9,anv
10/07/2024,34.75,--,-0.5(-1.42 %),"2,869,300",100.45,0,0.0,35.5,35.5,34.65,anv
09/07/2024,35.25,--,1.3(3.83 %),"5,771,200",202.35,0,0.0,34.05,35.9,34.05,anv
08/07/2024,33.95,--,0.4(1.19 %),"1,438,700",48.56,0,0.0,33.85,33.95,33.5,anv
05/07/2024,33.55,--,0.15(0.45 %),"1,041,200",34.93,0,0.0,33.4,33.85,33.2,anv
04/07/2024,33.4,--,-0.1(-0.30 %),"629,900",20.98,0,0.0,33.7,33.7,33.05,anv
03/07/2024,33.5,--,0.2(0.60 %),"774,000",25.93,0,0.0,33.45,33.75,33.3,anv
02/07/2024,33.3,--,0.55(1.68 %),"1,279,100",42.39,0,0.0,32.95,33.35,32.8,anv
01/07/2024,32.75,--,0.5(1.55 %),"677,500",21.87,0,0.0,32.25,32.8,31.95,anv
28/06/2024,32.25,--,-0.45(-1.38 %),"867,800",28.04,0,0.0,32.9,32.9,31.8,anv
27/06/2024,32.7,--,0(0.00 %),"813,700",26.75,0,0.0,32.7,33.25,32.65,anv
26/06/2024,32.7,--,0.05(0.15 %),"693,800",22.62,0,0.0,32.6,32.9,31.95,anv
25/06/2024,32.65,--,0.85(2.67 %),"1,048,600",33.86,0,0.0,31.9,32.7,31.9,anv
24/06/2024,31.8,--,-2.2(-6.47 %),"2,752,400",90.03,0,0.0,33.95,33.95,31.8,anv
21/06/2024,34.0,--,0.25(0.74 %),"1,092,800",36.84,0,0.0,33.75,34.2,33.3,anv
20/06/2024,33.75,--,-0.25(-0.74 %),"1,214,400",40.83,0,0.0,34.0,34.1,33.1,anv
19/06/2024,34.0,--,0.25(0.74 %),"1,936,100",66.51,0,0.0,33.9,34.85,33.8,anv
18/06/2024,33.75,--,0.2(0.60 %),"1,325,800",44.99,0,0.0,33.8,34.15,33.65,anv
17/06/2024,33.55,--,0.55(1.67 %),"2,191,700",72.7,0,0.0,33.25,33.55,32.85,anv
14/06/2024,33.0,--,-1.95(-5.58 %),"3,407,300",117.02,0,0.0,34.9,34.95,33.0,anv
13/06/2024,34.95,--,-0.45(-1.27 %),"1,329,100",46.82,0,0.0,35.7,35.7,34.95,anv
12/06/2024,35.4,--,0.3(0.85 %),"1,373,000",48.05,0,0.0,35.0,35.45,34.7,anv
11/06/2024,35.1,--,-0.4(-1.13 %),"2,511,800",87.76,0,0.0,35.55,35.8,34.5,anv
10/06/2024,35.5,--,0.75(2.16 %),"3,636,700",129.02,0,0.0,35.0,36.2,34.45,anv
07/06/2024,34.75,--,0.6(1.76 %),"1,785,300",61.3,0,0.0,34.45,34.8,33.95,anv
06/06/2024,34.15,--,0.3(0.89 %),"2,125,200",72.74,0,0.0,34.25,34.8,33.9,anv
