date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,31.85 ( -0.31 %),358,"531,600","1,484.92",585,"1,236,600","2,114","-705,000",anv
11/09/2024,31.95 ( -0.16 %),537,"1,009,300","1,879.52",600,"1,051,300","1,752","-42,000",anv
10/09/2024,32 ( 1.43 %),876,"1,676,800","1,914.16","1,061","1,723,900","1,625","-47,100",anv
09/09/2024,31.55 ( 0.64 %),537,"1,093,400","2,036.13",603,"776,500","1,288","316,900",anv
06/09/2024,31.35 ( 0.48 %),850,"1,144,000","1,345.88",482,"836,900","1,736","307,100",anv
05/09/2024,31.2 ( -0.64 %),821,"1,342,500","1,635.2",529,"1,148,600","2,171","193,900",anv
04/09/2024,31.4 ( -1.57 %),"1,199","1,470,400","1,226.36",485,"1,178,900","2,431","291,500",anv
30/08/2024,31.9 ( -1.09 %),"1,219","1,464,900","1,201.72",650,"1,167,800","1,797","297,100",anv
29/08/2024,32.25 ( 0.16 %),708,"991,100","1,399.86",470,"893,500","1,901","97,600",anv
28/08/2024,32.2 ( -0.92 %),"1,383","1,754,500","1,268.62",669,"1,751,400","2,618","3,100",anv
27/08/2024,32.5 ( -0.15 %),648,"901,500","1,391.2",609,"1,185,400","1,946","-283,900",anv
26/08/2024,32.55 ( -0.91 %),737,"1,036,400","1,406.24",905,"1,837,100","2,030","-800,700",anv
23/08/2024,32.85 ( 0.77 %),"1,429","2,933,900","2,053.11","1,788","3,261,300","1,824","-327,400",anv
22/08/2024,32.6 ( -0.61 %),"1,073","1,337,200","1,246.23",847,"1,855,900","2,191","-518,700",anv
21/08/2024,32.8 ( -0.61 %),"1,178","1,425,800","1,210.36",854,"2,033,800","2,381","-608,000",anv
20/08/2024,33 ( 1.38 %),"1,136","2,071,100","1,823.15","1,371","2,484,400","1,812","-413,300",anv
19/08/2024,32.55 ( 0.46 %),898,"1,823,800","2,030.96",896,"2,023,600","2,258","-199,800",anv
16/08/2024,32.4 ( 3.85 %),"1,211","2,335,800","1,928.82","1,252","2,196,200","1,754","139,600",anv
15/08/2024,31.2 ( -1.89 %),761,"1,116,400","1,467.02",651,"1,399,300","2,149","-282,900",anv
14/08/2024,31.8 ( 0.32 %),811,"1,526,200","1,881.87","1,035","1,876,400","1,813","-350,200",anv
13/08/2024,31.7 ( -0.16 %),762,"1,221,500","1,603.02",790,"1,495,200","1,893","-273,700",anv
12/08/2024,31.75 ( 0.16 %),734,"1,311,300","1,786.51",694,"1,177,200","1,696","134,100",anv
08/08/2024,31.3 ( 0 %),862,"1,829,500","2,122.39","1,084","1,994,800","1,840","-165,300",anv
07/08/2024,31.3 ( 1.46 %),827,"1,570,600","1,899.15",997,"1,366,600","1,371","204,000",anv
06/08/2024,30.85 ( 2.32 %),"1,153","2,207,100","1,914.22","1,193","2,079,600","1,743","127,500",anv
05/08/2024,30.15 ( -6.94 %),"1,972","2,894,400","1,467.75","1,275","3,478,600","2,728","-584,200",anv
02/08/2024,32.4 ( 2.53 %),"1,958","3,376,900","1,724.67","1,348","2,392,100","1,775","984,800",anv
01/08/2024,31.6 ( -6.78 %),"3,149","4,038,400","1,282.44","1,587","4,211,300","2,654","-172,900",anv
31/07/2024,33.9 ( 0 %),"1,160","1,814,300","1,564.05",962,"2,300,400","2,391","-486,100",anv
