date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,6.8,--,-0.2(-2.86 %),"2,201",0.02,0,0,6.9,6.9,6.8,apc
11/09/2024,7.0,--,0(0.00 %),"3,401",0.02,0,0,7.0,7.0,7.0,apc
10/09/2024,7.0,--,0(0.00 %),0,0.0,0,0,7.0,7.0,7.0,apc
09/09/2024,7.0,--,0.1(1.45 %),807,0.01,0,0,7.0,7.0,7.0,apc
06/09/2024,7.0,--,0(0.00 %),"2,501",0.02,0,0,7.0,7.0,6.9,apc
05/09/2024,7.0,--,-0.1(-1.41 %),711,0.0,0,0,7.1,7.1,7.0,apc
04/09/2024,7.1,--,0(0.00 %),"1,302",0.01,0,0,7.1,7.1,7.1,apc
30/08/2024,7.1,--,0(0.00 %),"6,405",0.05,0,0,7.1,7.1,7.1,apc
29/08/2024,7.2,--,0(0.00 %),612,0.0,0,0,7.2,7.2,7.1,apc
28/08/2024,7.2,--,0.1(1.41 %),280,0.0,0,0,7.2,7.2,7.2,apc
27/08/2024,7.1,--,-0.1(-1.39 %),901,0.01,0,0,7.1,7.1,7.1,apc
26/08/2024,7.2,--,0(0.00 %),"6,906",0.05,0,0,7.1,7.2,7.1,apc
23/08/2024,7.2,--,0(0.00 %),"3,303",0.02,0,0,7.1,7.2,7.1,apc
22/08/2024,7.2,--,0(0.00 %),"1,200",0.01,0,0,7.1,7.2,7.1,apc
21/08/2024,7.2,--,0(0.00 %),"1,802",0.01,0,0,7.2,7.2,7.2,apc
20/08/2024,7.2,--,0(0.00 %),"1,940",0.01,0,0,7.1,7.2,7.1,apc
19/08/2024,7.2,--,0(0.00 %),221,0.0,0,0,7.1,7.2,7.1,apc
16/08/2024,7.1,--,-0.1(-1.39 %),"3,030",0.02,0,0,7.2,7.2,7.1,apc
15/08/2024,7.2,--,0(0.00 %),124,0.0,0,0,7.2,7.2,7.2,apc
14/08/2024,7.1,--,-0.1(-1.39 %),234,0.0,0,0,7.2,7.2,7.1,apc
14/08/2024,7.1,--,-0.1(-1.39 %),234,0.0,0,0,7.2,7.2,7.1,apc
13/08/2024,7.2,--,0.1(1.41 %),331,0.0,0,0,7.2,7.2,7.2,apc
12/08/2024,7.1,--,-0.1(-1.39 %),"1,000",0.01,0,0,7.1,7.1,7.1,apc
09/08/2024,7.1,--,0(0.00 %),"3,404",0.02,0,0,7.2,7.2,7.1,apc
08/08/2024,7.1,--,0(0.00 %),"5,000",0.04,0,0,7.1,7.2,7.1,apc
07/08/2024,7.1,--,0(0.00 %),9,0.0,0,0,7.1,7.1,7.1,apc
06/08/2024,7.1,--,-0.1(-1.39 %),"1,162",0.01,0,0,7.1,7.1,7.1,apc
05/08/2024,7.1,--,-0.1(-1.39 %),"2,011",0.01,0,0,7.2,7.2,7.1,apc
02/08/2024,7.2,--,-0.1(-1.37 %),"6,000",0.04,0,0,7.2,7.3,7.1,apc
01/08/2024,7.2,--,0(0.00 %),"3,207",0.02,0,0,7.4,7.4,7.2,apc
31/07/2024,7.2,--,-0.2(-2.70 %),"3,600",0.03,0,0,7.3,7.3,7.1,apc
30/07/2024,7.4,--,0(0.00 %),0,0.0,0,0,7.4,7.4,7.4,apc
29/07/2024,7.3,--,-0.3(-3.95 %),206,0.0,0,0,7.4,7.4,7.3,apc
26/07/2024,7.3,--,0.1(1.39 %),908,0.01,0,0,7.6,7.6,7.3,apc
25/07/2024,7.2,--,0.1(1.41 %),"1,301",0.01,0,0,7.3,7.3,7.2,apc
24/07/2024,7.1,--,-0.1(-1.39 %),"5,504",0.04,0,0,7.2,7.2,7.1,apc
23/07/2024,7.3,--,0.1(1.39 %),"2,900",0.02,0,0,7.2,7.3,7.2,apc
22/07/2024,7.2,--,0(0.00 %),900,0.01,0,0,7.2,7.2,7.2,apc
19/07/2024,7.1,--,-0.1(-1.39 %),"1,300",0.01,0,0,7.2,7.2,7.1,apc
18/07/2024,7.3,--,0.1(1.39 %),"4,800",0.03,0,0,7.2,7.3,7.1,apc
17/07/2024,7.2,--,-0.1(-1.37 %),"1,500",0.01,0,0,7.2,7.2,7.2,apc
16/07/2024,7.2,--,0(0.00 %),515,0.0,0,0,7.5,7.5,7.2,apc
15/07/2024,7.2,--,0(0.00 %),"4,305",0.03,0,0,7.2,7.2,7.1,apc
12/07/2024,7.2,--,0(0.00 %),100,0.0,0,0,7.2,7.2,7.2,apc
11/07/2024,7.3,--,0.1(1.39 %),"2,700",0.02,0,0,7.2,7.3,7.1,apc
10/07/2024,7.2,--,0(0.00 %),400,0.0,0,0,7.2,7.2,7.2,apc
09/07/2024,7.2,--,0(0.00 %),300,0.0,0,0,7.3,7.3,7.2,apc
08/07/2024,7.2,--,0.1(1.41 %),"2,200",0.02,0,0,7.3,7.3,7.1,apc
05/07/2024,7.3,--,0(0.00 %),"6,200",0.04,0,0,7.1,7.3,7.1,apc
04/07/2024,7.4,--,0.1(1.37 %),"3,872",0.03,0,0,7.3,7.4,7.3,apc
03/07/2024,7.3,--,0(0.00 %),"2,510",0.02,0,0,7.3,7.3,7.3,apc
02/07/2024,7.2,--,-0.1(-1.37 %),900,0.01,0,0,7.3,7.4,7.2,apc
01/07/2024,7.3,--,0(0.00 %),"1,620",0.01,0,0,7.2,7.3,7.2,apc
28/06/2024,7.3,--,0(0.00 %),"1,400",0.01,0,0,7.5,7.5,7.1,apc
27/06/2024,7.5,--,0(0.00 %),"1,505",0.01,0,0,7.5,7.5,7.2,apc
26/06/2024,7.3,--,-0.5(-6.41 %),"3,107",0.02,0,0,7.8,7.8,7.3,apc
25/06/2024,7.7,--,0.1(1.32 %),"2,750",0.02,0,0,7.6,7.9,7.6,apc
24/06/2024,7.6,--,0.6(8.57 %),"24,602",0.19,0,0,7.4,7.8,7.4,apc
21/06/2024,7.4,--,0.1(1.37 %),"52,445",0.37,0,0,7.3,7.5,7.0,apc
20/06/2024,7.3,--,0(0.00 %),"2,721",0.02,0,0,7.3,7.4,7.3,apc
19/06/2024,7.6,--,0(0.00 %),"1,600",0.01,0,0,7.6,7.6,7.0,apc
18/06/2024,7.6,--,0.1(1.33 %),"3,305",0.03,0,0,7.5,7.9,7.4,apc
17/06/2024,7.4,--,0(0.00 %),"9,451",0.07,0,0,7.3,7.6,7.3,apc
14/06/2024,7.5,--,0.3(4.17 %),"3,437",0.03,0,0,7.3,7.5,7.3,apc
13/06/2024,7.3,--,0.1(1.39 %),"7,210",0.05,0,0,7.2,7.3,7.2,apc
12/06/2024,7.2,--,0(0.00 %),"2,801",0.02,0,0,7.2,7.2,7.2,apc
11/06/2024,7.3,--,-0.1(-1.35 %),"5,000",0.04,0,0,7.4,7.4,7.2,apc
10/06/2024,7.4,--,0.1(1.37 %),"3,003",0.02,0,0,7.4,7.4,7.3,apc
07/06/2024,7.3,--,-0.1(-1.35 %),"4,003",0.03,0,0,7.3,7.3,7.3,apc
06/06/2024,7.3,--,-0.1(-1.35 %),"3,841",0.03,0,0,7.4,7.5,7.2,apc
05/06/2024,7.3,--,-0.1(-1.35 %),"26,261",0.19,0,0,7.4,7.5,7.3,apc
04/06/2024,7.3,--,-0.2(-2.67 %),"9,925",0.07,0,0,7.5,7.5,7.3,apc
03/06/2024,7.4,--,-0.1(-1.33 %),"2,700",0.02,0,0,7.7,7.7,7.4,apc
31/05/2024,7.6,--,0.1(1.33 %),"4,920",0.04,0,0,7.5,7.7,7.5,apc
30/05/2024,7.5,--,-0.1(-1.32 %),"7,709",0.06,0,0,7.6,7.7,7.5,apc
29/05/2024,7.6,--,0(0.00 %),"12,040",0.09,0,0,7.6,7.7,7.5,apc
28/05/2024,7.6,--,-0.1(-1.30 %),"7,600",0.06,0,0,7.7,7.8,7.5,apc
27/05/2024,7.5,--,0(0.00 %),"9,711",0.07,0,0,7.7,7.9,7.5,apc
24/05/2024,7.5,--,-0.1(-1.32 %),"5,914",0.04,0,0,7.7,7.7,7.4,apc
23/05/2024,7.5,--,-0.1(-1.32 %),"1,032",0.01,0,0,7.6,7.6,7.5,apc
22/05/2024,7.7,--,-0.1(-1.28 %),"11,002",0.08,0,0,7.5,7.7,7.5,apc
21/05/2024,7.8,--,-0.1(-1.27 %),"11,644",0.09,0,0,7.6,7.9,7.6,apc
20/05/2024,7.9,--,-0.1(-1.25 %),"5,710",0.05,0,0,7.9,7.9,7.8,apc
17/05/2024,7.8,--,0(0.00 %),"23,597",0.19,0,0,7.8,8.3,7.8,apc
16/05/2024,7.8,--,-0.1(-1.27 %),"11,701",0.09,0,0,7.9,7.9,7.5,apc
15/05/2024,7.9,--,0.8(11.27 %),"46,500",0.37,0,0,9.9,9.9,7.5,apc
