date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,6.8 ( -2.86 %),16,"7,500",468.75,7,"6,800",971,700,apc
11/09/2024,7 ( 0 %),13,"8,300",638.46,10,"11,900","1,190","-3,600",apc
10/09/2024,7 ( 0 %),13,"6,100",469.23,7,"6,500",929,-400,apc
09/09/2024,7 ( 1.45 %),17,"5,400",317.65,7,"10,000","1,429","-4,600",apc
06/09/2024,7 ( 0 %),18,"7,400",411.11,13,"20,400","1,569","-13,000",apc
05/09/2024,7 ( -1.41 %),9,"3,100",344.44,13,"8,600",662,"-5,500",apc
04/09/2024,7.1 ( 0 %),21,"11,000",523.81,20,"18,000",900,"-7,000",apc
30/08/2024,7.1 ( 0 %),22,"13,500",613.64,19,"88,300","4,647","-74,800",apc
29/08/2024,7.2 ( 0 %),18,"7,100",394.44,13,"16,400","1,262","-9,300",apc
28/08/2024,7.2 ( 1.41 %),11,"5,700",518.18,11,"11,900","1,082","-6,200",apc
27/08/2024,7.1 ( -1.39 %),12,"6,300",525,12,"7,000",583,-700,apc
26/08/2024,7.2 ( 0 %),24,"19,500",812.5,18,"48,700","2,706","-29,200",apc
23/08/2024,7.2 ( 0 %),25,"15,700",628,16,"13,100",819,"2,600",apc
22/08/2024,7.2 ( 0 %),21,"10,500",500,21,"37,200","1,771","-26,700",apc
21/08/2024,7.2 ( 0 %),19,"9,200",484.21,11,"25,600","2,327","-16,400",apc
20/08/2024,7.2 ( 0 %),14,"9,400",671.43,14,"42,700","3,050","-33,300",apc
19/08/2024,7.2 ( 0 %),19,"12,100",636.84,13,"10,000",769,"2,100",apc
16/08/2024,7.1 ( -1.39 %),22,"24,500","1,113.64",10,"16,900","1,690","7,600",apc
15/08/2024,7.2 ( 0 %),12,"20,900","1,741.67",8,"12,300","1,538","8,600",apc
14/08/2024,7.1 ( -1.39 %),13,"22,000","1,692.31",14,"14,400","1,029","7,600",apc
13/08/2024,7.2 ( 1.41 %),17,"21,500","1,264.71",13,"11,400",877,"10,100",apc
12/08/2024,7.1 ( -1.39 %),10,"27,100","2,710",17,"29,800","1,753","-2,700",apc
09/08/2024,7.1 ( 0 %),30,"29,400",980,16,"10,300",644,"19,100",apc
08/08/2024,7.1 ( 0 %),25,"40,300","1,612",8,"10,400","1,300","29,900",apc
07/08/2024,7.1 ( 0 %),18,"24,700","1,372.22",9,"7,300",811,"17,400",apc
06/08/2024,7.1 ( -1.39 %),12,"22,500","1,875",14,"16,700","1,193","5,800",apc
05/08/2024,7.1 ( -1.39 %),15,"25,200","1,680",16,"6,300",394,"18,900",apc
02/08/2024,7.2 ( -1.37 %),27,"31,800","1,177.78",27,"18,400",681,"13,400",apc
01/08/2024,7.2 ( 0 %),22,"26,600","1,209.09",20,"17,000",850,"9,600",apc
31/07/2024,7.2 ( -2.7 %),25,"31,400","1,256",34,"20,000",588,"11,400",apc
30/07/2024,7.4 ( 0 %),15,"22,800","1,520",15,"9,500",633,"13,300",apc
29/07/2024,7.3 ( -3.95 %),21,"27,100","1,290.48",18,"8,700",483,"18,400",apc
26/07/2024,7.3 ( 1.39 %),21,"28,200","1,342.86",21,"16,200",771,"12,000",apc
25/07/2024,7.2 ( 1.41 %),22,"28,400","1,290.91",17,"4,000",235,"24,400",apc
24/07/2024,7.1 ( -1.39 %),26,"30,700","1,180.77",15,"11,500",767,"19,200",apc
23/07/2024,7.3 ( 1.39 %),19,"27,800","1,463.16",23,"16,600",722,"11,200",apc
22/07/2024,7.2 ( 0 %),16,"25,600","1,600",10,"5,600",560,"20,000",apc
19/07/2024,7.1 ( -1.39 %),20,"29,600","1,480",8,"10,500","1,312","19,100",apc
18/07/2024,7.3 ( 1.39 %),27,"20,800",770.37,12,"9,700",808,"11,100",apc
17/07/2024,7.2 ( -1.37 %),14,"6,500",464.29,16,"13,400",838,"-6,900",apc
16/07/2024,7.2 ( 0 %),14,"9,200",657.14,13,"10,100",777,-900,apc
15/07/2024,7.2 ( 0 %),18,"11,300",627.78,13,"10,100",777,"1,200",apc
12/07/2024,7.2 ( 0 %),13,"4,500",346.15,9,"5,200",578,-700,apc
11/07/2024,7.3 ( 1.39 %),21,"12,400",590.48,9,"9,300","1,033","3,100",apc
10/07/2024,7.2 ( 0 %),19,"18,100",952.63,15,"8,400",560,"9,700",apc
09/07/2024,7.2 ( 0 %),13,"16,600","1,276.92",15,"29,200","1,947","-12,600",apc
08/07/2024,7.2 ( 1.41 %),23,"9,600",417.39,14,"10,000",714,-400,apc
05/07/2024,7.3 ( 0 %),25,"22,500",900,21,"17,500",833,"5,000",apc
04/07/2024,7.4 ( 1.37 %),14,"9,800",700,14,"9,800",700,0,apc
03/07/2024,7.3 ( 0 %),7,"11,000","1,571.43",13,"8,900",685,"2,100",apc
02/07/2024,7.2 ( -1.37 %),16,"11,100",693.75,14,"7,600",543,"3,500",apc
01/07/2024,7.3 ( 0 %),18,"11,400",633.33,15,"12,800",853,"-1,400",apc
28/06/2024,7.3 ( 0 %),26,"20,300",780.77,23,"14,200",617,"6,100",apc
27/06/2024,7.5 ( 0 %),21,"15,200",723.81,23,"21,500",935,"-6,300",apc
26/06/2024,7.3 ( -6.41 %),29,"13,800",475.86,33,"15,100",458,"-1,300",apc
25/06/2024,7.7 ( 1.32 %),29,"15,500",534.48,41,"56,800","1,385","-41,300",apc
24/06/2024,7.6 ( 8.57 %),60,"70,700","1,178.33",40,"46,300","1,158","24,400",apc
21/06/2024,7.4 ( 1.37 %),44,"68,100","1,547.73",24,"57,500","2,396","10,600",apc
20/06/2024,7.3 ( 0 %),23,"11,100",482.61,30,"12,300",410,"-1,200",apc
19/06/2024,7.6 ( 0 %),39,"11,100",284.62,28,"17,000",607,"-5,900",apc
18/06/2024,7.6 ( 1.33 %),31,"26,200",845.16,33,"14,400",436,"11,800",apc
17/06/2024,7.4 ( 0 %),33,"38,900","1,178.79",38,"16,000",421,"22,900",apc
14/06/2024,7.5 ( 4.17 %),28,"48,800","1,742.86",30,"13,800",460,"35,000",apc
13/06/2024,7.3 ( 1.39 %),36,"59,900","1,663.89",29,"20,000",690,"39,900",apc
12/06/2024,7.2 ( 0 %),18,"39,800","2,211.11",27,"14,600",541,"25,200",apc
11/06/2024,7.3 ( -1.35 %),26,"44,400","1,707.69",24,"13,900",579,"30,500",apc
10/06/2024,7.4 ( 1.37 %),30,"43,300","1,443.33",28,"13,200",471,"30,100",apc
