date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,14.7,--,0(0.00 %),5,0.0,0,0,14.7,14.7,14.7,apl
11/09/2024,14.7,--,0(0.00 %),91,0.0,0,0,14.7,14.7,14.7,apl
10/09/2024,14.7,--,0(0.00 %),0,0.0,0,0,14.7,14.7,14.7,apl
09/09/2024,14.7,--,0(0.00 %),0,0.0,0,0,14.7,14.7,14.7,apl
06/09/2024,14.7,--,0(0.00 %),0,0.0,0,0,14.7,14.7,14.7,apl
05/09/2024,14.7,--,0(0.00 %),0,0.0,0,0,14.7,14.7,14.7,apl
04/09/2024,14.7,--,0(0.00 %),0,0.0,0,0,14.7,14.7,14.7,apl
30/08/2024,14.7,--,1.9(14.84 %),146,0.0,0,0,14.7,14.7,14.7,apl
29/08/2024,12.8,--,-2.2(-14.67 %),104,0.0,0,0,12.8,12.8,12.8,apl
28/08/2024,15.0,--,0(0.00 %),115,0.0,0,0,15.0,15.0,15.0,apl
27/08/2024,15.0,--,0(0.00 %),0,0.0,0,0,15.0,15.0,15.0,apl
26/08/2024,15.0,--,0(0.00 %),0,0.0,0,0,15.0,15.0,15.0,apl
23/08/2024,15.0,--,0(0.00 %),0,0.0,0,0,15.0,15.0,15.0,apl
22/08/2024,15.0,--,0(0.00 %),5,0.0,0,0,15.0,15.0,15.0,apl
21/08/2024,15.0,--,-2.1(-12.28 %),105,0.0,0,0,15.0,15.0,15.0,apl
20/08/2024,17.1,--,0(0.00 %),1,0.0,0,0,17.1,17.1,17.1,apl
19/08/2024,17.1,--,0(0.00 %),4,0.0,0,0,17.1,17.1,17.1,apl
16/08/2024,17.1,--,0.2(1.18 %),502,0.01,0,0,17.1,17.1,17.1,apl
15/08/2024,17.1,--,-2.7(-13.64 %),"3,300",0.06,0,0,16.9,17.1,16.9,apl
14/08/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
14/08/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
13/08/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
12/08/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
09/08/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
08/08/2024,19.8,--,0(0.00 %),5,0.0,0,0,19.8,19.8,19.8,apl
07/08/2024,19.8,--,0(0.00 %),10,0.0,0,0,19.8,19.8,19.8,apl
06/08/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
05/08/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
02/08/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
01/08/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
31/07/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
30/07/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
29/07/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
26/07/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
25/07/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
24/07/2024,19.8,--,0(0.00 %),0,0.0,0,0,19.8,19.8,19.8,apl
23/07/2024,19.8,--,0.7(3.66 %),106,0.0,0,0,19.8,19.8,19.8,apl
22/07/2024,19.1,--,1.6(9.14 %),110,0.0,0,0,19.1,19.1,19.1,apl
19/07/2024,17.5,--,0(0.00 %),0,0.0,0,0,17.5,17.5,17.5,apl
18/07/2024,17.5,--,0(0.00 %),0,0.0,0,0,17.5,17.5,17.5,apl
17/07/2024,17.5,--,0(0.00 %),0,0.0,0,0,17.5,17.5,17.5,apl
16/07/2024,17.5,--,0.6(3.55 %),100,0.0,0,0,17.5,17.5,17.5,apl
15/07/2024,16.9,--,0(0.00 %),0,0.0,0,0,16.9,16.9,16.9,apl
12/07/2024,17.2,--,2.2(14.67 %),200,0.0,0,0,16.5,17.2,16.5,apl
11/07/2024,15.0,--,0(0.00 %),0,0.0,0,0,15.0,15.0,15.0,apl
10/07/2024,15.0,--,1.9(14.50 %),100,0.0,0,0,15.0,15.0,15.0,apl
09/07/2024,13.1,--,0(0.00 %),0,0.0,0,0,13.1,13.1,13.1,apl
08/07/2024,13.1,--,0(0.00 %),0,0.0,0,0,13.1,13.1,13.1,apl
05/07/2024,13.1,--,0(0.00 %),0,0.0,0,0,13.1,13.1,13.1,apl
04/07/2024,13.1,--,0(0.00 %),0,0.0,0,0,13.1,13.1,13.1,apl
03/07/2024,13.1,--,0(0.00 %),0,0.0,0,0,13.1,13.1,13.1,apl
02/07/2024,13.1,--,0(0.00 %),0,0.0,0,0,13.1,13.1,13.1,apl
01/07/2024,13.1,--,0(0.00 %),0,0.0,0,0,13.1,13.1,13.1,apl
28/06/2024,13.1,--,-2.2(-14.38 %),200,0.0,0,0,13.1,13.1,13.1,apl
27/06/2024,15.3,--,-2.6(-14.53 %),100,0.0,0,0,15.3,15.3,15.3,apl
26/06/2024,17.9,--,0(0.00 %),0,0.0,0,0,17.9,17.9,17.9,apl
