date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,14.7 ( 0 %),0,0,0,0,0,0,0,apl
11/09/2024,14.7 ( 0 %),0,0,0,0,0,0,0,apl
10/09/2024,14.7 ( 0 %),0,0,0,0,0,0,0,apl
09/09/2024,14.7 ( 0 %),0,0,0,0,0,0,0,apl
06/09/2024,14.7 ( 0 %),1,500,500,0,0,0,500,apl
05/09/2024,14.7 ( 0 %),1,500,500,0,0,0,500,apl
04/09/2024,14.7 ( 0 %),2,"5,400","2,700",0,0,0,"5,400",apl
30/08/2024,14.7 ( 14.84 %),6,400,66.67,1,100,100,300,apl
29/08/2024,12.8 ( -14.67 %),2,200,100,1,100,100,100,apl
28/08/2024,15 ( 0 %),2,300,150,1,100,100,200,apl
27/08/2024,15 ( 0 %),0,0,0,0,0,0,0,apl
26/08/2024,15 ( 0 %),1,100,100,0,0,0,100,apl
23/08/2024,15 ( 0 %),3,"1,500",500,0,0,0,"1,500",apl
22/08/2024,15 ( 0 %),7,500,71.43,0,0,0,500,apl
21/08/2024,15 ( -12.28 %),3,400,133.33,1,100,100,300,apl
20/08/2024,17.1 ( 0 %),1,200,200,1,100,100,100,apl
19/08/2024,17.1 ( 0 %),2,300,150,0,0,0,300,apl
16/08/2024,17.1 ( 1.18 %),5,"1,100",220,1,500,500,600,apl
15/08/2024,17.1 ( -13.64 %),5,"3,800",760,6,"3,700",617,100,apl
14/08/2024,19.8 ( 0 %),1,100,100,2,"1,200",600,"-1,100",apl
13/08/2024,19.8 ( 0 %),0,0,0,3,"2,100",700,"-2,100",apl
12/08/2024,19.8 ( 0 %),0,0,0,1,100,100,-100,apl
09/08/2024,19.8 ( 0 %),0,0,0,1,100,100,-100,apl
08/08/2024,19.8 ( 0 %),0,0,0,1,200,200,-200,apl
07/08/2024,19.8 ( 0 %),0,0,0,3,"1,500",500,"-1,500",apl
06/08/2024,19.8 ( 0 %),0,0,0,2,"1,600",800,"-1,600",apl
05/08/2024,19.8 ( 0 %),0,0,0,2,400,200,-400,apl
02/08/2024,19.8 ( 0 %),0,0,0,2,200,100,-200,apl
01/08/2024,19.8 ( 0 %),0,0,0,2,400,200,-400,apl
31/07/2024,19.8 ( 0 %),0,0,0,3,"1,700",567,"-1,700",apl
30/07/2024,19.8 ( 0 %),0,0,0,3,"1,700",567,"-1,700",apl
29/07/2024,19.8 ( 0 %),1,100,100,4,"1,700",425,"-1,600",apl
26/07/2024,19.8 ( 0 %),0,0,0,4,"1,500",375,"-1,500",apl
25/07/2024,19.8 ( 0 %),0,0,0,4,"4,500","1,125","-4,500",apl
24/07/2024,19.8 ( 0 %),0,0,0,7,"4,500",643,"-4,500",apl
23/07/2024,19.8 ( 3.66 %),1,100,100,5,"1,600",320,"-1,500",apl
22/07/2024,19.1 ( 9.14 %),2,100,50,4,"1,600",400,"-1,500",apl
19/07/2024,17.5 ( 0 %),0,0,0,4,"1,700",425,"-1,700",apl
18/07/2024,17.5 ( 0 %),0,0,0,4,"1,500",375,"-1,500",apl
17/07/2024,17.5 ( 0 %),1,0,0,5,"1,100",220,"-1,100",apl
16/07/2024,17.5 ( 3.55 %),1,100,100,7,900,129,-800,apl
15/07/2024,16.9 ( 0 %),1,0,0,4,500,125,-500,apl
12/07/2024,17.2 ( 14.67 %),3,200,66.67,2,200,100,0,apl
11/07/2024,15 ( 0 %),1,100,100,1,100,100,0,apl
10/07/2024,15 ( 14.5 %),2,100,50,1,100,100,0,apl
09/07/2024,13.1 ( 0 %),1,100,100,0,0,0,100,apl
08/07/2024,13.1 ( 0 %),2,200,100,0,0,0,200,apl
05/07/2024,13.1 ( 0 %),1,100,100,0,0,0,100,apl
04/07/2024,13.1 ( 0 %),0,0,0,0,0,0,0,apl
03/07/2024,13.1 ( 0 %),4,700,175,0,0,0,700,apl
02/07/2024,13.1 ( 0 %),1,100,100,0,0,0,100,apl
01/07/2024,13.1 ( 0 %),1,300,300,0,0,0,300,apl
28/06/2024,13.1 ( -14.38 %),1,200,200,1,200,200,0,apl
27/06/2024,15.3 ( -14.53 %),3,300,100,2,"1,400",700,"-1,100",apl
26/06/2024,17.9 ( 0 %),1,0,0,2,200,100,-200,apl
25/06/2024,17.9 ( 0 %),1,500,500,1,100,100,400,apl
24/06/2024,17.9 ( 0 %),0,0,0,1,500,500,-500,apl
21/06/2024,17.9 ( 0 %),0,0,0,1,300,300,-300,apl
20/06/2024,17.9 ( 0 %),1,0,0,2,700,350,-700,apl
19/06/2024,17.9 ( 0 %),1,700,700,3,"1,200",400,-500,apl
18/06/2024,17.9 ( 0 %),2,0,0,1,500,500,-500,apl
17/06/2024,17.9 ( 10.49 %),1,100,100,1,100,100,0,apl
14/06/2024,16.2 ( 0 %),0,0,0,0,0,0,0,apl
13/06/2024,16.2 ( 0 %),1,100,100,1,100,100,0,apl
12/06/2024,16.2 ( 0 %),0,0,0,0,0,0,0,apl
11/06/2024,16.2 ( 0 %),0,0,0,0,0,0,0,apl
10/06/2024,16.2 ( 0 %),1,0,0,1,100,100,-100,apl
07/06/2024,16.2 ( 0 %),0,0,0,0,0,0,0,apl
