date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,0 ( 0 %),0,0,0,0,0,0,0,art
11/09/2024,0 ( 0 %),0,0,0,0,0,0,0,art
10/09/2024,0 ( 0 %),0,0,0,0,0,0,0,art
09/09/2024,0 ( 0 %),0,0,0,0,0,0,0,art
06/09/2024,0 ( 0 %),0,0,0,0,0,0,0,art
05/09/2024,0 ( 0 %),0,0,0,0,0,0,0,art
04/09/2024,0 ( 0 %),0,0,0,0,0,0,0,art
30/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
29/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
28/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
27/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
26/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
23/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
22/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
21/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
20/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
19/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
16/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
15/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
14/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
13/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
12/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
09/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
08/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
07/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
06/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
05/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
02/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
01/08/2024,0 ( 0 %),0,0,0,0,0,0,0,art
31/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
30/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
29/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
26/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
25/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
24/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
23/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
22/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
19/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
18/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
17/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
16/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
15/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
12/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
11/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
10/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
09/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
08/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
05/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
04/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
03/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
02/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
01/07/2024,0 ( 0 %),0,0,0,0,0,0,0,art
28/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
27/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
26/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
25/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
24/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
21/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
20/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
19/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
18/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
17/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
14/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
13/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
12/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
11/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
10/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
07/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
06/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
05/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
04/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
03/06/2024,0 ( 0 %),0,0,0,0,0,0,0,art
31/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
30/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
29/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
28/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
27/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
24/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
23/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
22/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
21/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
20/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
17/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
16/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
15/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
14/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
13/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
10/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
09/05/2024,0 ( 0 %),0,0,0,0,0,0,0,art
