date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
11/09/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
10/09/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
09/09/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
06/09/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
05/09/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
04/09/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
30/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
29/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
28/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
27/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
26/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
23/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
22/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
21/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
20/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
19/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
16/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
15/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
14/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
13/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
12/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
09/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
08/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
07/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
06/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
05/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
02/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
01/08/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
31/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
30/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
29/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
24/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
23/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
22/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
19/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
18/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
17/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
16/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
15/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
12/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
11/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
10/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
08/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
04/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
03/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
02/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
01/07/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
28/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
27/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
26/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
25/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
24/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
21/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
20/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
19/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
18/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
17/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
14/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
13/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
12/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
11/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
10/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
07/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
06/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
05/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
04/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
03/06/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
31/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
30/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
29/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
28/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
27/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
24/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
23/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
22/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
21/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
20/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
17/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
16/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
15/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
14/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
13/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
10/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
09/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
08/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
07/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
06/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
03/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
02/05/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
26/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
25/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
24/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
23/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
22/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
19/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
17/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
16/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
15/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
12/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
11/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
10/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
09/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
08/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
05/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
04/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
03/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
02/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
01/04/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
29/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
28/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
27/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
26/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
25/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
22/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
21/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
20/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
19/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
18/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
15/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
14/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
13/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
12/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
11/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
08/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
07/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
06/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
05/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
04/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
01/03/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0%,asa
29/02/2024,0(0.00 %),0,0,0,0,0,0,"4,874,700",0.25%,asa
