date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,3.1(0.00 %),0,0.0,0,0.0,0,0,"7,443,870",0.09%,atg
11/09/2024,3.1(0.00 %),0,0.0,0,0.0,0,0,"7,443,870",0.09%,atg
10/09/2024,3.1(0.00 %),0,0.0,0,0.0,0,0,"7,443,870",0.09%,atg
09/09/2024,3.1(0.00 %),0,0.0,0,0.0,0,0,"7,443,870",0.09%,atg
06/09/2024,3.2(0.00 %),0,0.0,0,0.0,0,0,"7,443,870",0.09%,atg
05/09/2024,3.2(0.00 %),0,0.0,0,0.0,0,0,"7,443,870",0.09%,atg
04/09/2024,3.2(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
30/08/2024,3.3(3.12 %),-100,-0.0,0,0.0,100,0,"7,443,770",0.09%,atg
29/08/2024,3.2(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
28/08/2024,3.2(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
27/08/2024,3.2(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
26/08/2024,3.2(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
23/08/2024,3.2(-3.03 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
22/08/2024,3.3(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
21/08/2024,3.3(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
20/08/2024,3.3(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
19/08/2024,3.3(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
16/08/2024,3.3(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
15/08/2024,3.3(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
14/08/2024,3.3(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
13/08/2024,3.3(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
12/08/2024,3.3(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
09/08/2024,3.8(11.76 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
08/08/2024,3.4(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
07/08/2024,3.4(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
06/08/2024,3.4(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
05/08/2024,3.4(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
02/08/2024,3.4(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
01/08/2024,3.4(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
31/07/2024,3.4(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
30/07/2024,3.4(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
29/07/2024,3.4(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
24/07/2024,3.5(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
23/07/2024,3.5(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
22/07/2024,3.5(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
19/07/2024,4.2(5.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
18/07/2024,4(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
17/07/2024,0(0.00 %),0,0.0,0,0.0,0,0,"7,443,770",0.09%,atg
