date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,25(7.30 %),0,0,0,0,0,0,"6,800,000",0%,avg
11/09/2024,23.8(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
10/09/2024,23.8(-1.65 %),0,0,0,0,0,0,"6,800,000",0%,avg
09/09/2024,24.5(-2.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
06/09/2024,24.9(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
05/09/2024,25(1.21 %),0,0,0,0,0,0,"6,800,000",0%,avg
04/09/2024,26.2(11.02 %),0,0,0,0,0,0,"6,800,000",0%,avg
30/08/2024,23.6(-0.84 %),0,0,0,0,0,0,"6,800,000",0%,avg
29/08/2024,23.8(2.15 %),0,0,0,0,0,0,"6,800,000",0%,avg
28/08/2024,23.6(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
27/08/2024,23.2(-2.52 %),0,0,0,0,0,0,"6,800,000",0%,avg
26/08/2024,24(3.90 %),0,0,0,0,0,0,"6,800,000",0%,avg
23/08/2024,23.7(5.33 %),0,0,0,0,0,0,"6,800,000",0%,avg
22/08/2024,22.6(-1.31 %),0,0,0,0,0,0,"6,800,000",0%,avg
21/08/2024,22.8(1.33 %),0,0,0,0,0,0,"6,800,000",0%,avg
20/08/2024,22.7(0.44 %),0,0,0,0,0,0,"6,800,000",0%,avg
19/08/2024,23(-0.43 %),0,0,0,0,0,0,"6,800,000",0%,avg
16/08/2024,24(9.59 %),0,0,0,0,0,0,"6,800,000",0%,avg
15/08/2024,21.8(-9.92 %),0,0,0,0,0,0,"6,800,000",0%,avg
14/08/2024,25(5.04 %),0,0,0,0,0,0,"6,800,000",0%,avg
13/08/2024,23.8(14.98 %),0,0,0,0,0,0,"6,800,000",0%,avg
12/08/2024,20.7(15.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
09/08/2024,18(39.53 %),0,0,0,0,0,0,"6,800,000",0%,avg
08/08/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
07/08/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
06/08/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
05/08/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
02/08/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
01/08/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
31/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
30/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
29/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
24/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
23/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
22/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
19/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
18/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
17/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
16/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
15/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
12/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
11/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
10/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
08/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
04/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
03/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
02/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
01/07/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
28/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
27/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
26/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
25/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
24/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
21/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
20/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
19/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
18/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
17/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
14/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
13/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
12/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
11/06/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
07/06/2024,0(0.00 %),0,0,0,0,0,0,"6,800,000",0%,avg
06/06/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
31/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
30/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
29/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
28/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
27/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
23/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
22/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
21/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
20/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
17/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
13/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
10/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
09/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
08/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
07/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
06/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
03/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
02/05/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
26/04/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
23/04/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
22/04/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
12/04/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
11/04/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
05/04/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
03/04/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
01/04/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
29/03/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
28/03/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
27/03/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
25/03/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
19/03/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
18/03/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
13/03/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
12/03/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
05/03/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
29/02/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
26/02/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
22/02/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
21/02/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
20/02/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
19/02/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
16/02/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
15/02/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
07/02/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
06/02/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
02/02/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
31/01/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
30/01/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
29/01/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
17/01/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
16/01/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
15/01/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
11/01/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
10/01/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
09/01/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
02/01/2024,0(0.00 %),0,0,0,0,0,0,0,0%,avg
