date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
11/09/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
10/09/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
09/09/2024,0.5(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
06/09/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
05/09/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
04/09/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
30/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
29/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
28/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
27/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
26/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
23/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
22/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
21/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
20/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
19/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
16/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
15/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
14/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
13/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
12/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
09/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
08/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
07/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
06/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
05/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
02/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
01/08/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
31/07/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
30/07/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
29/07/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
24/07/2024,0(0.00 %),0,0,0,0,0,0,"2,426,865",0.46%,b82
