date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,39.0,--,1(2.63 %),705,0.03,0,0,38.5,39.0,38.5,bax
11/09/2024,38.0,--,-2(-5.00 %),"1,000",0.04,0,0,38.0,38.0,38.0,bax
10/09/2024,40.0,--,0(0.00 %),10,0.0,0,0,40.0,40.0,40.0,bax
09/09/2024,40.0,--,0(0.00 %),10,0.0,0,0,40.0,40.0,40.0,bax
06/09/2024,40.0,--,-0.9(-2.20 %),200,0.01,0,0,37.3,40.0,37.3,bax
05/09/2024,40.9,--,1.1(2.76 %),"2,401",0.09,0,0,38.0,40.9,38.0,bax
04/09/2024,39.8,--,-0.1(-0.25 %),103,0.0,0,0,39.8,39.8,39.8,bax
30/08/2024,39.9,--,0(0.00 %),2,0.0,0,0,39.9,39.9,39.9,bax
29/08/2024,39.9,--,0(0.00 %),0,0.0,0,0,39.9,39.9,39.9,bax
28/08/2024,39.9,--,0(0.00 %),"1,302",0.05,0,0,37.5,39.9,37.5,bax
27/08/2024,39.9,--,-0.1(-0.25 %),203,0.01,0,0,37.3,39.9,37.3,bax
26/08/2024,40.0,--,-0.2(-0.50 %),205,0.01,0,0,37.3,40.0,37.3,bax
23/08/2024,40.2,--,0(0.00 %),0,0.0,0,0,40.2,40.2,40.2,bax
22/08/2024,40.2,--,-0.4(-0.99 %),"2,300",0.09,0,0,37.3,40.5,37.3,bax
21/08/2024,40.6,--,1.5(3.84 %),401,0.02,0,0,39.1,40.6,39.1,bax
20/08/2024,39.1,--,-0.2(-0.51 %),400,0.02,0,0,39.1,39.1,39.1,bax
19/08/2024,39.3,--,0(0.00 %),12,0.0,0,0,39.3,39.3,39.3,bax
16/08/2024,39.3,--,0(0.00 %),0,0.0,0,0,39.3,39.3,39.3,bax
15/08/2024,39.3,--,0(0.00 %),0,0.0,0,0,39.3,39.3,39.3,bax
14/08/2024,39.3,--,0(0.00 %),0,0.0,0,0,39.3,39.3,39.3,bax
13/08/2024,39.3,--,0(0.00 %),0,0.0,0,0,39.3,39.3,39.3,bax
12/08/2024,39.3,--,1.3(3.42 %),"2,200",0.08,0,0,38.2,39.3,38.1,bax
09/08/2024,38.0,--,0(0.00 %),"1,600",0.06,0,0,38.5,38.8,38.0,bax
08/08/2024,38.0,--,-0.6(-1.55 %),"4,405",0.17,0,0,38.5,38.5,38.0,bax
07/08/2024,38.6,--,-2.2(-5.39 %),500,0.02,0,0,38.5,38.6,38.5,bax
06/08/2024,40.8,--,0.9(2.26 %),"4,100",0.16,0,0,40.0,40.8,38.3,bax
05/08/2024,39.9,--,-1.1(-2.68 %),"2,010",0.08,0,0,39.2,39.9,38.2,bax
02/08/2024,41.0,--,0(0.00 %),8,0.0,0,0,41.0,41.0,41.0,bax
01/08/2024,41.0,--,1.5(3.80 %),200,0.01,0,0,40.4,41.0,40.4,bax
31/07/2024,39.5,--,0(0.00 %),502,0.02,0,0,39.5,39.5,39.5,bax
30/07/2024,39.5,--,-0.2(-0.50 %),710,0.03,0,0,39.5,39.5,39.5,bax
29/07/2024,40.2,39.7,0(0.00 %),"2,501",0.1,0,0,40.3,40.3,40.2,bax
26/07/2024,40.2,39.7,-0.2(-0.50 %),200,0.01,0,0,40.2,40.2,40.2,bax
25/07/2024,40.4,39.9,0(0.00 %),"1,000",0.04,0,0,41.8,41.8,40.4,bax
24/07/2024,40.4,39.9,-1.6(-3.81 %),"2,300",0.09,0,0,40.0,40.4,40.0,bax
23/07/2024,42.0,41.48,-0.2(-0.47 %),714,0.03,0,0,39.1,42.0,39.1,bax
22/07/2024,42.2,41.68,1.7(4.20 %),"4,100",0.17,0,0,40.6,42.2,40.5,bax
19/07/2024,40.5,40,-1.9(-4.48 %),"1,000",0.04,0,0,40.7,40.7,40.5,bax
18/07/2024,42.4,41.87,0(0.00 %),0,0.0,0,0,42.4,42.4,42.4,bax
17/07/2024,42.4,41.87,-0.1(-0.24 %),"1,500",0.06,0,0,42.0,42.4,40.5,bax
16/07/2024,42.5,41.97,-1(-2.30 %),600,0.03,0,0,43.4,43.4,42.5,bax
15/07/2024,43.5,42.96,1.3(3.08 %),"5,364",0.23,0,0,42.1,43.5,42.1,bax
12/07/2024,42.2,41.68,0.4(0.96 %),"2,712",0.11,0,0,42.0,42.2,41.9,bax
11/07/2024,41.8,41.28,0(0.00 %),500,0.02,0,0,41.8,41.8,41.8,bax
10/07/2024,41.8,41.28,-0.1(-0.24 %),"5,400",0.22,0,0,41.0,41.8,41.0,bax
09/07/2024,41.9,41.38,-0.1(-0.24 %),"4,200",0.18,0,0,41.8,41.9,41.3,bax
08/07/2024,42.0,41.48,0(0.00 %),1,0.0,0,0,42.0,42.0,42.0,bax
05/07/2024,42.0,41.48,0(0.00 %),"9,500",0.4,0,0,42.0,42.0,40.4,bax
04/07/2024,42.0,41.48,-0.2(-0.47 %),400,0.02,0,0,42.0,42.0,41.4,bax
03/07/2024,42.2,41.68,0(0.00 %),"1,900",0.08,0,0,42.0,42.2,42.0,bax
02/07/2024,42.2,41.68,0.2(0.48 %),100,0.0,0,0,42.2,42.2,42.2,bax
01/07/2024,42.0,41.48,-0.2(-0.47 %),"13,202",0.56,0,0,42.2,42.2,42.0,bax
28/06/2024,42.2,41.68,0.5(1.20 %),102,0.0,0,0,42.2,42.2,42.2,bax
27/06/2024,41.7,41.18,0(0.00 %),600,0.03,0,0,41.7,41.7,41.7,bax
26/06/2024,41.7,41.18,0(0.00 %),5,0.0,0,0,41.7,41.7,41.7,bax
25/06/2024,41.7,41.18,0(0.00 %),"2,500",0.1,0,0,41.7,41.7,41.7,bax
24/06/2024,41.7,41.18,-0.2(-0.48 %),"4,200",0.18,0,0,41.7,41.7,41.7,bax
21/06/2024,41.9,41.38,0.2(0.48 %),"12,621",0.53,0,0,41.7,42.1,41.7,bax
20/06/2024,41.7,41.18,0.4(0.97 %),"3,900",0.16,0,0,41.7,41.8,40.1,bax
19/06/2024,41.3,40.79,-0.4(-0.96 %),"7,100",0.3,0,0,41.5,41.8,41.2,bax
18/06/2024,41.7,41.18,0(0.00 %),"5,700",0.24,0,0,41.0,41.8,41.0,bax
17/06/2024,41.7,41.18,-0.3(-0.71 %),200,0.01,0,0,41.7,41.7,41.7,bax
14/06/2024,42.0,41.48,0.2(0.48 %),100,0.0,0,0,42.0,42.0,42.0,bax
