date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,8.3(6.41 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
11/09/2024,7(-10.26 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
10/09/2024,7(-10.26 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
09/09/2024,7(-11.39 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
06/09/2024,7.9(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
05/09/2024,7.9(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
04/09/2024,7.9(-7.06 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
30/08/2024,8.5(4.94 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
29/08/2024,8.1(-8.99 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
28/08/2024,8.9(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
27/08/2024,8.9(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
26/08/2024,8.9(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
23/08/2024,8.9(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
22/08/2024,8.9(11.25 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
21/08/2024,8(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
20/08/2024,8(5.26 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
19/08/2024,7.6(-11.63 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
16/08/2024,8.6(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
15/08/2024,8.9(3.49 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
14/08/2024,8.9(8.54 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
13/08/2024,8.2(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
12/08/2024,8.2(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
09/08/2024,8.2(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
08/08/2024,8.2(-14.58 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
07/08/2024,9.6(12.94 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
06/08/2024,8.5(-1.16 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
05/08/2024,8.6(11.69 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
02/08/2024,7.7(1.32 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
01/08/2024,7.6(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
31/07/2024,7.6(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
30/07/2024,7.6(-6.17 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
29/07/2024,8.1(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
24/07/2024,7.6(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
23/07/2024,7.6(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
22/07/2024,7.6(-12.64 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
19/07/2024,8.9(-9.18 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
18/07/2024,9.8(12.64 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
17/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
16/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
15/07/2024,8.9(11.25 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
12/07/2024,8(-10.11 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
11/07/2024,8.5(3.66 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
10/07/2024,8.2(-10.87 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
08/07/2024,9.7(15.48 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
04/07/2024,9.1(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
03/07/2024,8.2(-12.77 %),0,0.0,0,0,0,0.0,"4,723,560",0%,bbt
02/07/2024,9.4(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
01/07/2024,9.4(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
28/06/2024,9.4(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
27/06/2024,9.4(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
26/06/2024,9.4(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
25/06/2024,9.5(1.06 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
24/06/2024,9.5(11.76 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
21/06/2024,8.5(1.19 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
20/06/2024,8.5(-12.37 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
19/06/2024,9.7(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
18/06/2024,9.7(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
17/06/2024,0(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
14/06/2024,0(0.00 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
13/06/2024,9.5(2.15 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
12/06/2024,9.6(3.23 %),0,0.0,0,0,0,0.0,"4,723,560",0.8%,bbt
11/06/2024,9.6(11.63 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
10/06/2024,8.6(0.00 %),"-1,000",-0.01,0,0,"1,000",0.01,"4,722,560",0%,bbt
07/06/2024,8.9(4.71 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
06/06/2024,8.5(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
05/06/2024,8.5(6.25 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
04/06/2024,8(-5.88 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
03/06/2024,8.5(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
31/05/2024,8.5(-3.41 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
30/05/2024,8.8(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
29/05/2024,8.8(7.32 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
28/05/2024,8.2(1.23 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
27/05/2024,8.1(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
24/05/2024,8.1(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
23/05/2024,8.1(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
22/05/2024,8.1(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
21/05/2024,8.1(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
20/05/2024,8.1(-1.22 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
17/05/2024,7.7(1.32 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
16/05/2024,7.6(-10.59 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
15/05/2024,8.5(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
14/05/2024,8.5(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
13/05/2024,8.5(6.25 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
10/05/2024,8(-5.88 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
09/05/2024,8.5(1.19 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
08/05/2024,8(-5.88 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
07/05/2024,8.5(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
06/05/2024,8.5(7.59 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
03/05/2024,7.9(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
02/05/2024,7.9(-7.06 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
26/04/2024,8.6(1.18 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
25/04/2024,8.6(10.26 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
24/04/2024,7.8(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
23/04/2024,7.8(-1.27 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
22/04/2024,7.9(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
19/04/2024,7.9(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
17/04/2024,7.9(1.28 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
16/04/2024,7.8(-6.02 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
15/04/2024,8.2(-2.38 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
12/04/2024,8.4(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
11/04/2024,8.4(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
10/04/2024,8.4(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
09/04/2024,8.3(3.75 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
08/04/2024,8(1.27 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
05/04/2024,7.9(1.28 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
04/04/2024,7.8(-8.24 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
03/04/2024,8.4(-1.18 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
02/04/2024,8.5(1.19 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
01/04/2024,8.3(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
29/03/2024,8.4(5.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
28/03/2024,8(-1.23 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
27/03/2024,8(-2.44 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
26/03/2024,8(-3.61 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
25/03/2024,8.3(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
22/03/2024,8.4(1.20 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
21/03/2024,8.6(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
20/03/2024,8.6(10.26 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
19/03/2024,7.8(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
18/03/2024,7.6(-6.17 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
15/03/2024,8(-13.04 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
14/03/2024,9.7(-3.00 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
13/03/2024,10(4.17 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
12/03/2024,10(8.70 %),0,0.0,0,0,0,0.0,"4,722,560",0.81%,bbt
11/03/2024,9.2(0.00 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
08/03/2024,9.2(-1.08 %),0,0.0,0,0,0,0.0,"4,722,560",0%,bbt
07/03/2024,9.3(-1.06 %),0,0.0,0,0,0,0.0,"4,721,560",0%,bbt
