date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,6.35(0.16 %),"376,800",2.39,"376,800",2.39,0,0.0,"430,502,076",1.09%,bcg
11/09/2024,6.34(-1.09 %),"-305,700",-1.95,"63,500",0.4,"369,200",2.35,"430,648,128",1.07%,bcg
10/09/2024,6.41(-0.16 %),"-71,900",-0.48,"158,800",1.02,"230,700",1.5,"430,419,728",1.1%,bcg
09/09/2024,6.42(-1.83 %),0,0.0,0,0.0,0,0.0,"430,532,898",1.09%,bcg
06/09/2024,6.54(-0.91 %),"47,200",0.3,"92,800",0.61,"45,600",0.3,"430,522,665",1.09%,bcg
05/09/2024,6.6(-0.15 %),"79,900",0.53,"164,400",1.09,"84,500",0.56,"430,615,465",1.08%,bcg
04/09/2024,6.61(-0.75 %),"367,600",2.41,"367,600",2.41,0,0.0,"430,653,815",1.07%,bcg
30/08/2024,6.66(-0.15 %),"-3,000",-0.02,"123,100",0.82,"126,100",0.84,"430,395,345",1.1%,bcg
29/08/2024,6.67(-1.04 %),"-492,900",-3.31,"107,900",0.72,"600,800",4.03,"430,463,445",1.1%,bcg
28/08/2024,6.74(-0.74 %),"27,700",0.18,"58,700",0.4,"31,000",0.21,"430,528,445",1.09%,bcg
27/08/2024,6.79(-0.59 %),"-41,900",-0.29,"1,000",0.01,"42,900",0.29,"430,302,445",1.11%,bcg
26/08/2024,6.83(1.34 %),"442,200",3.03,"726,900",5.01,"284,700",1.98,"429,828,845",1.17%,bcg
23/08/2024,6.74(-0.30 %),"-445,500",-3.01,"29,100",0.2,"474,600",3.21,"430,363,345",1.11%,bcg
22/08/2024,6.76(-0.73 %),"-189,000",-1.28,"3,400",0.02,"192,400",1.31,"430,238,646",1.12%,bcg
21/08/2024,6.81(-0.87 %),"-139,000",-0.95,"14,800",0.1,"153,800",1.05,"430,237,446",1.12%,bcg
20/08/2024,6.87(2.08 %),"949,100",6.41,"953,700",6.45,"4,600",0.03,"391,667,484",1.05%,bcg
19/08/2024,6.73(0.60 %),"263,300",1.77,"296,600",1.99,"33,300",0.22,"391,667,484",1.05%,bcg
16/08/2024,6.69(6.53 %),"-284,400",-1.86,"174,000",1.16,"458,400",3.01,"391,955,084",1.02%,bcg
15/08/2024,6.28(-1.72 %),"24,900",0.16,"33,900",0.21,"9,000",0.06,"392,011,784",1.01%,bcg
14/08/2024,6.39(-0.47 %),"113,800",0.75,"231,100",1.51,"117,300",0.76,"392,008,784",1.01%,bcg
13/08/2024,6.42(-0.47 %),"195,900",1.27,"232,800",1.51,"36,900",0.24,"391,982,384",1.01%,bcg
12/08/2024,6.45(-1.53 %),"-247,600",-1.6,"9,900",0.06,"257,500",1.66,"391,993,084",1.01%,bcg
09/08/2024,6.55(1.08 %),"-94,690",-0.64,"127,410",0.83,"222,100",1.48,"391,997,493",1.01%,bcg
08/08/2024,6.48(1.41 %),"34,400",0.22,"39,900",0.26,"5,500",0.04,"391,980,603",1.01%,bcg
07/08/2024,6.39(0.00 %),"-143,500",-0.92,800,0.01,"144,300",0.92,"391,878,503",1.03%,bcg
06/08/2024,6.39(1.27 %),"422,700",2.68,"498,700",3.16,"76,000",0.48,"390,386,681",1.21%,bcg
05/08/2024,6.31(-6.93 %),"-1,449,900",-9.49,"42,700",0.27,"1,492,600",9.76,"390,285,181",1.23%,bcg
