date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
11/09/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
10/09/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
09/09/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
06/09/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
05/09/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
04/09/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
30/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
29/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
28/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
27/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
26/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
23/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
22/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
21/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
20/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
19/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
16/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
15/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
14/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
13/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
12/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
09/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
08/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
07/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
06/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
05/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
02/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
01/08/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
31/07/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
30/07/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
29/07/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
24/07/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
23/07/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
22/07/2024,9.3(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
19/07/2024,9.3(-7.92 %),0,0,0,0,0,0,-100,0.01%,bdb
18/07/2024,10.1(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
17/07/2024,0(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
16/07/2024,0(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
15/07/2024,10.9(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
12/07/2024,10.9(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
11/07/2024,10.9(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
10/07/2024,10.9(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
08/07/2024,10.9(0.00 %),0,0,0,0,0,0,-100,0.01%,bdb
04/07/2024,10.9(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
03/07/2024,10.9(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
02/07/2024,10.9(-3.54 %),0,0,0,0,0,0,"551,872",0.01%,bdb
01/07/2024,11.3(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
28/06/2024,11.3(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
27/06/2024,11.3(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
26/06/2024,11.3(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
25/06/2024,11.3(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
24/06/2024,11.3(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
21/06/2024,11.3(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
20/06/2024,11.3(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
19/06/2024,11.3(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
18/06/2024,11.3(-4.24 %),0,0,0,0,0,0,"551,872",0.01%,bdb
17/06/2024,0(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
14/06/2024,0(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
13/06/2024,10.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
12/06/2024,10.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
11/06/2024,10.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
10/06/2024,10.8(0.00 %),0,0,0,0,0,0,"551,872",0%,bdb
07/06/2024,10.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
06/06/2024,10.8(-8.47 %),0,0,0,0,0,0,"551,872",0.01%,bdb
05/06/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0%,bdb
04/06/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0%,bdb
03/06/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0%,bdb
31/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
30/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
29/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
28/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
27/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
24/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0%,bdb
23/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
22/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
21/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
20/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
17/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
16/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0%,bdb
15/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0%,bdb
14/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0%,bdb
13/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
10/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
09/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
08/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
07/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
06/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
03/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
02/05/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
26/04/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0.01%,bdb
25/04/2024,11.8(0.00 %),0,0,0,0,0,0,"551,872",0%,bdb
24/04/2024,11.8(-9.23 %),0,0,0,0,0,0,"551,872",0%,bdb
