date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,26.0,--,0(0.00 %),0,0.0,0,0,26.0,26.0,26.0,bdw
11/09/2024,26.8,--,0.8(3.08 %),1,0.0,0,0,26.0,26.0,26.0,bdw
10/09/2024,26.8,--,0.8(3.08 %),1,0.0,0,0,26.0,26.0,26.0,bdw
09/09/2024,26.8,--,1.4(5.51 %),"1,405",0.04,0,0,25.2,27.4,23.6,bdw
06/09/2024,25.4,--,0(0.00 %),0,0.0,0,0,25.4,25.4,25.4,bdw
05/09/2024,25.4,--,1.3(5.39 %),107,0.0,0,0,25.4,25.4,25.4,bdw
04/09/2024,25.3,--,-0.2(-0.78 %),"1,600",0.04,0,0,24.8,25.3,23.5,bdw
30/08/2024,25.5,--,0(0.00 %),26,0.0,0,0,25.5,25.5,25.5,bdw
29/08/2024,25.5,--,0.5(2.00 %),100,0.0,0,0,25.5,25.5,25.5,bdw
28/08/2024,25.0,--,2(8.70 %),204,0.01,0,0,25.0,25.0,25.0,bdw
27/08/2024,23.0,--,-1(-4.17 %),"2,000",0.05,0,0,23.0,23.0,23.0,bdw
26/08/2024,24.0,--,-1.4(-5.51 %),500,0.01,0,0,24.1,24.1,24.0,bdw
23/08/2024,25.4,--,0(0.00 %),12,0.0,0,0,25.4,25.4,25.4,bdw
22/08/2024,25.4,--,3.2(14.41 %),"2,502",0.06,0,0,25.4,25.4,25.4,bdw
21/08/2024,23.5,--,1.3(5.86 %),2,0.0,0,0,22.2,22.2,22.2,bdw
20/08/2024,23.5,22.15,0(0.00 %),2,0.0,0,0,23.5,23.5,23.5,bdw
19/08/2024,23.5,22.15,0(0.00 %),2,0.0,0,0,23.5,23.5,23.5,bdw
16/08/2024,23.5,22.15,0(0.00 %),0,0.0,0,0,23.5,23.5,23.5,bdw
15/08/2024,23.5,22.15,0(0.00 %),0,0.0,0,0,23.5,23.5,23.5,bdw
14/08/2024,23.5,22.15,0(0.00 %),0,0.0,0,0,23.5,23.5,23.5,bdw
13/08/2024,23.5,22.15,0(0.00 %),0,0.0,0,0,23.5,23.5,23.5,bdw
12/08/2024,23.5,22.15,0(0.00 %),4,0.0,0,0,23.5,23.5,23.5,bdw
09/08/2024,23.5,22.15,1.8(8.29 %),401,0.01,0,0,23.5,23.5,23.5,bdw
08/08/2024,21.7,20.45,0(0.00 %),0,0.0,0,0,21.7,21.7,21.7,bdw
07/08/2024,23.5,22.15,1.8(8.29 %),4,0.0,0,0,21.7,21.7,21.7,bdw
06/08/2024,23.5,22.15,0.2(0.86 %),801,0.02,0,0,23.5,23.5,21.0,bdw
05/08/2024,23.5,22.15,0(0.00 %),200,0.0,0,0,23.0,23.5,23.0,bdw
02/08/2024,23.5,22.15,0(0.00 %),204,0.0,0,0,23.5,23.5,23.5,bdw
01/08/2024,23.5,22.15,-0.3(-1.26 %),200,0.0,0,0,23.5,23.5,23.5,bdw
31/07/2024,24.0,22.62,0.2(0.84 %),27,0.0,0,0,23.8,23.8,23.8,bdw
30/07/2024,24.0,22.62,2.2(10.09 %),"2,500",0.06,0,0,23.8,24.0,23.8,bdw
