date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,26 ( 0 %),5,"1,500",300,2,400,200,"1,100",bdw
11/09/2024,26.8 ( 3.08 %),3,600,200,1,300,300,300,bdw
10/09/2024,26.8 ( 3.08 %),5,"1,300",260,2,800,400,500,bdw
09/09/2024,26.8 ( 5.51 %),8,"2,200",275,8,"2,700",338,-500,bdw
06/09/2024,25.4 ( 0 %),4,"1,300",325,4,"1,600",400,-300,bdw
05/09/2024,25.4 ( 5.39 %),8,"1,100",137.5,6,"1,600",267,-500,bdw
04/09/2024,25.3 ( -0.78 %),12,"2,700",225,7,"3,500",500,-800,bdw
30/08/2024,25.5 ( 0 %),6,"1,700",283.33,4,"1,500",375,200,bdw
29/08/2024,25.5 ( 2 %),4,700,175,5,"4,000",800,"-3,300",bdw
28/08/2024,25 ( 8.7 %),6,"2,600",433.33,3,"2,200",733,400,bdw
27/08/2024,23 ( -4.17 %),13,"4,800",369.23,6,"4,000",667,800,bdw
26/08/2024,24 ( -5.51 %),10,"2,200",220,5,"3,000",600,-800,bdw
23/08/2024,25.4 ( 0 %),3,300,100,1,"1,000","1,000",-700,bdw
22/08/2024,25.4 ( 14.41 %),5,"4,700",940,4,"6,500","1,625","-1,800",bdw
21/08/2024,23.5 ( 5.86 %),4,600,150,2,"2,000","1,000","-1,400",bdw
20/08/2024,23.5 ( 0 %),5,900,180,1,"1,000","1,000",-100,bdw
19/08/2024,23.5 ( 0 %),6,"2,000",333.33,1,"1,000","1,000","1,000",bdw
16/08/2024,23.5 ( 0 %),5,"1,100",220,2,"1,100",550,0,bdw
15/08/2024,23.5 ( 0 %),5,600,120,3,"1,200",400,-600,bdw
14/08/2024,23.5 ( 0 %),8,800,100,3,"1,200",400,-400,bdw
13/08/2024,23.5 ( 0 %),5,"2,200",440,1,100,100,"2,100",bdw
12/08/2024,23.5 ( 0 %),5,"1,200",240,2,200,100,"1,000",bdw
09/08/2024,23.5 ( 8.29 %),10,"2,100",210,2,500,250,"1,600",bdw
08/08/2024,21.7 ( 0 %),8,"4,100",512.5,0,0,0,"4,100",bdw
