date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,30.5 ( 0 %),0,0,0,0,0,0,0,bel
11/09/2024,30.5 ( 0 %),0,0,0,0,0,0,0,bel
10/09/2024,30.5 ( 0 %),0,0,0,0,0,0,0,bel
09/09/2024,30.5 ( 0 %),0,0,0,0,0,0,0,bel
06/09/2024,30.5 ( 0 %),0,0,0,0,0,0,0,bel
05/09/2024,30.5 ( 0 %),0,0,0,0,0,0,0,bel
04/09/2024,30.5 ( 0 %),0,0,0,0,0,0,0,bel
30/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
29/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
28/08/2024,31 ( 0 %),0,0,0,2,"6,100","3,050","-6,100",bel
27/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
26/08/2024,31 ( 0 %),0,0,0,1,"6,100","6,100","-6,100",bel
23/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
22/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
21/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
20/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
19/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
16/08/2024,31 ( 0 %),0,0,0,1,"6,100","6,100","-6,100",bel
15/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
14/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
13/08/2024,31 ( 0 %),0,0,0,1,"11,800","11,800","-11,800",bel
12/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
09/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
08/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
07/08/2024,31 ( 0 %),0,0,0,1,"11,800","11,800","-11,800",bel
06/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
05/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
02/08/2024,31 ( 0 %),0,0,0,0,0,0,0,bel
01/08/2024,31 ( 0 %),0,0,0,2,"7,900","3,950","-7,900",bel
31/07/2024,31 ( 0 %),0,0,0,2,"7,900","3,950","-7,900",bel
30/07/2024,31 ( 0 %),0,0,0,1,"6,100","6,100","-6,100",bel
29/07/2024,31 ( 0 %),0,0,0,2,"7,900","3,950","-7,900",bel
26/07/2024,31 ( 0 %),0,0,0,1,"6,100","6,100","-6,100",bel
25/07/2024,31 ( 0 %),0,0,0,1,"6,100","6,100","-6,100",bel
24/07/2024,31 ( 0 %),0,0,0,3,"7,900","2,633","-7,900",bel
23/07/2024,31 ( 0 %),0,0,0,2,"6,100","3,050","-6,100",bel
22/07/2024,31 ( 0 %),0,0,0,4,"37,900","9,475","-37,900",bel
19/07/2024,31 ( 0 %),1,200,200,1,"30,000","30,000","-29,800",bel
18/07/2024,31 ( 0 %),0,0,0,2,"31,800","15,900","-31,800",bel
17/07/2024,31 ( 0 %),0,0,0,4,"37,900","9,475","-37,900",bel
16/07/2024,31 ( 0 %),0,0,0,2,"31,800","15,900","-31,800",bel
15/07/2024,31 ( 0 %),0,0,0,4,"37,900","9,475","-37,900",bel
12/07/2024,31 ( 0 %),0,0,0,3,"37,900","12,633","-37,900",bel
11/07/2024,31 ( 0 %),0,0,0,3,"36,100","12,033","-36,100",bel
10/07/2024,31 ( 0 %),0,0,0,3,"36,100","12,033","-36,100",bel
09/07/2024,31 ( 0 %),0,0,0,4,"37,900","9,475","-37,900",bel
08/07/2024,31 ( 0 %),0,0,0,3,"36,100","12,033","-36,100",bel
05/07/2024,31 ( 0 %),0,0,0,2,"36,100","18,050","-36,100",bel
04/07/2024,31 ( 0 %),0,0,0,1,"30,000","30,000","-30,000",bel
03/07/2024,31 ( 0 %),0,0,0,2,"31,800","15,900","-31,800",bel
02/07/2024,31 ( 0 %),0,0,0,1,"30,000","30,000","-30,000",bel
01/07/2024,31 ( 0 %),0,0,0,2,"31,800","15,900","-31,800",bel
28/06/2024,31 ( 0 %),0,0,0,2,"31,800","15,900","-31,800",bel
27/06/2024,31 ( 0 %),0,0,0,1,"30,000","30,000","-30,000",bel
26/06/2024,31 ( 0 %),0,0,0,2,"31,800","15,900","-31,800",bel
25/06/2024,31 ( 0 %),0,0,0,2,"31,800","15,900","-31,800",bel
24/06/2024,31 ( 0 %),0,0,0,2,"32,800","16,400","-32,800",bel
21/06/2024,31 ( 0 %),0,0,0,2,"31,800","15,900","-31,800",bel
20/06/2024,31 ( 0 %),0,0,0,2,"31,800","15,900","-31,800",bel
19/06/2024,31 ( 0 %),0,0,0,2,"31,800","15,900","-31,800",bel
18/06/2024,31 ( 0 %),0,0,0,2,"32,800","16,400","-32,800",bel
17/06/2024,31 ( 0 %),0,0,0,2,"5,300","2,650","-5,300",bel
14/06/2024,31 ( 14.81 %),1,100,100,2,"16,900","8,450","-16,800",bel
13/06/2024,27 ( 0 %),0,0,0,2,"16,900","8,450","-16,900",bel
12/06/2024,27 ( 0 %),0,0,0,2,"10,900","5,450","-10,900",bel
11/06/2024,27 ( 0 %),0,0,0,1,"1,900","1,900","-1,900",bel
10/06/2024,27 ( 0 %),1,0,0,3,"2,200",733,"-2,200",bel
07/06/2024,27 ( 14.89 %),1,100,100,1,"2,000","2,000","-1,900",bel
06/06/2024,23.5 ( 0 %),0,0,0,1,"2,000","2,000","-2,000",bel
05/06/2024,23.5 ( 0 %),0,0,0,1,"2,100","2,100","-2,100",bel
04/06/2024,23.5 ( 0 %),0,0,0,1,"2,000","2,000","-2,000",bel
03/06/2024,23.5 ( 14.63 %),1,100,100,1,"2,100","2,100","-2,000",bel
31/05/2024,20.5 ( 0 %),0,0,0,1,"2,100","2,100","-2,100",bel
30/05/2024,20.5 ( 0 %),0,0,0,1,"2,100","2,100","-2,100",bel
29/05/2024,20.5 ( 0 %),0,0,0,1,"2,100","2,100","-2,100",bel
28/05/2024,20.5 ( 0 %),0,0,0,1,"2,100","2,100","-2,100",bel
27/05/2024,20.5 ( 0 %),0,0,0,1,"2,100","2,100","-2,100",bel
