date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,38(-0.26 %),100,0.0,100,0.0,0,0.0,"72,858,670",17.57%,bhn
11/09/2024,38.1(0.26 %),0,0.0,0,0.0,0,0.0,"72,858,770",17.57%,bhn
10/09/2024,38(0.00 %),0,0.0,0,0.0,0,0.0,"72,858,770",17.57%,bhn
09/09/2024,38(0.00 %),0,0.0,0,0.0,0,0.0,"72,858,770",17.57%,bhn
06/09/2024,38(-0.52 %),0,0.0,0,0.0,0,0.0,"72,858,770",17.57%,bhn
05/09/2024,38.2(-1.80 %),0,0.0,0,0.0,0,0.0,"72,858,770",17.57%,bhn
04/09/2024,38.9(0.00 %),0,0.0,0,0.0,0,0.0,"72,858,770",17.57%,bhn
30/08/2024,38.9(0.78 %),0,0.0,0,0.0,0,0.0,"72,858,770",17.57%,bhn
29/08/2024,38.6(-0.52 %),0,0.0,0,0.0,0,0.0,"72,858,770",17.57%,bhn
28/08/2024,38.8(1.04 %),0,0.0,0,0.0,0,0.0,"72,858,070",17.57%,bhn
27/08/2024,38.4(-1.03 %),-700,-0.03,0,0.0,700,0.03,"72,858,070",17.57%,bhn
26/08/2024,38.8(0.00 %),0,0.0,0,0.0,0,0.0,"72,858,070",17.57%,bhn
23/08/2024,38.8(0.00 %),400,0.02,400,0.02,0,0.0,"72,858,070",17.57%,bhn
22/08/2024,38.8(-0.26 %),700,0.03,700,0.03,0,0.0,"72,858,470",17.57%,bhn
21/08/2024,38.9(-1.14 %),"3,400",0.13,"3,400",0.13,0,0.0,"72,859,179",17.57%,bhn
20/08/2024,39.35(0.00 %),0,0.0,0,0.0,0,0.0,"72,862,579",17.57%,bhn
19/08/2024,39.35(-0.13 %),0,0.0,0,0.0,0,0.0,"72,862,579",17.57%,bhn
16/08/2024,39.4(0.00 %),0,0.0,0,0.0,0,0.0,"72,862,579",17.57%,bhn
15/08/2024,39.4(3.68 %),0,0.0,0,0.0,0,0.0,"72,861,579",17.57%,bhn
14/08/2024,39.5(-1.13 %),-900,-0.04,100,0.0,"1,000",0.04,"72,861,479",17.57%,bhn
13/08/2024,39.95(1.14 %),-100,-0.0,0,0.0,100,0.0,"72,861,479",17.57%,bhn
12/08/2024,39.5(1.28 %),0,0.0,100,0.0,100,0.0,"72,861,479",17.57%,bhn
09/08/2024,39(2.63 %),0,0.0,0,0.0,0,0.0,"72,861,579",17.57%,bhn
08/08/2024,38(0.00 %),100,0.0,100,0.0,0,0.0,"72,861,579",17.57%,bhn
07/08/2024,38(0.00 %),0,0.0,0,0.0,0,0.0,"72,861,679",17.57%,bhn
06/08/2024,38(0.00 %),100,0.0,100,0.0,0,0.0,"72,861,679",17.57%,bhn
05/08/2024,38(-2.81 %),100,0.0,100,0.0,0,0.0,"72,861,779",17.57%,bhn
02/08/2024,39.1(1.56 %),0,0.0,0,0.0,0,0.0,"72,861,879",17.57%,bhn
01/08/2024,38.5(0.00 %),0,0.0,0,0.0,0,0.0,"72,861,879",17.57%,bhn
31/07/2024,38.5(0.00 %),0,0.0,0,0.0,0,0.0,"72,861,879",17.57%,bhn
30/07/2024,38.5(0.00 %),0,0.0,0,0.0,0,0.0,"72,861,879",17.57%,bhn
29/07/2024,38.5(0.00 %),0,0.0,0,0.0,0,0.0,"72,861,879",17.57%,bhn
24/07/2024,38(0.00 %),0,0.0,0,0.0,0,0.0,"72,861,879",17.57%,bhn
23/07/2024,38(-1.30 %),100,0.0,100,0.0,0,0.0,"72,861,879",17.57%,bhn
22/07/2024,38.5(0.52 %),0,0.0,0,0.0,0,0.0,"72,861,979",17.57%,bhn
19/07/2024,38.3(-0.26 %),0,0.0,0,0.0,0,0.0,"72,861,979",17.57%,bhn
18/07/2024,38.4(0.00 %),0,0.0,0,0.0,0,0.0,"72,861,979",17.57%,bhn
17/07/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"72,861,979",17.57%,bhn
16/07/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"72,861,979",17.57%,bhn
15/07/2024,38.45(0.13 %),0,0.0,0,0.0,0,0.0,"72,861,979",17.57%,bhn
12/07/2024,38.4(-0.26 %),0,0.0,0,0.0,0,0.0,"72,861,979",17.57%,bhn
