date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,32.5(1.25 %),"6,800",0.23,"17,000",0.55,"10,200",0.33,"4,660,113",45.03%,bic
11/09/2024,32.1(-4.32 %),"-21,000",-0.68,"13,000",0.42,"34,000",1.1,"4,656,713",45.03%,bic
10/09/2024,33.55(-4.55 %),"-16,500",-0.55,"3,900",0.13,"20,400",0.69,"4,669,313",45.02%,bic
09/09/2024,35.15(0.14 %),0,0.0,0,0.0,0,0.0,"4,667,913",45.02%,bic
06/09/2024,35.1(0.43 %),"-2,900",-0.1,"2,400",0.08,"5,300",0.18,"4,667,013",45.02%,bic
05/09/2024,34.95(-0.29 %),300,0.01,"1,400",0.05,"1,100",0.04,"4,655,413",45.03%,bic
04/09/2024,35.05(-0.71 %),"-11,700",-0.41,"2,300",0.08,"14,000",0.49,"4,656,613",45.03%,bic
30/08/2024,35.3(-0.28 %),"2,300",0.08,"2,500",0.09,200,0.01,"4,656,413",45.03%,bic
29/08/2024,35.4(0.00 %),"5,700",0.21,"8,200",0.3,"2,500",0.09,"4,649,713",45.04%,bic
28/08/2024,35.4(-1.67 %),"5,000",0.18,"14,200",0.5,"9,200",0.33,"4,653,313",45.03%,bic
27/08/2024,36(-0.83 %),"2,200",0.08,"6,800",0.24,"4,600",0.16,"4,641,913",45.04%,bic
26/08/2024,36.3(-0.82 %),"-13,000",-0.47,"12,600",0.46,"25,600",0.93,"4,648,413",45.04%,bic
23/08/2024,36.6(0.55 %),"1,300",0.05,"1,600",0.06,300,0.01,"4,636,713",45.05%,bic
22/08/2024,36.4(-1.09 %),"2,700",0.1,"27,000",0.98,"24,300",0.88,"4,635,813",45.05%,bic
21/08/2024,36.8(0.27 %),"-2,500",-0.09,0,0.0,"2,500",0.09,"4,599,413",45.08%,bic
20/08/2024,36.7(0.14 %),"-55,600",-2.02,"7,800",0.28,"63,400",2.3,"4,546,813",45.12%,bic
19/08/2024,36.65(-0.68 %),"-27,800",-1.01,"1,400",0.05,"29,200",1.06,"4,546,813",45.12%,bic
16/08/2024,36.9(3.07 %),"-26,600",-0.96,"4,600",0.17,"31,200",1.13,"4,538,713",45.13%,bic
15/08/2024,35.8(-2.98 %),"-9,500",-0.34,0,0.0,"9,500",0.34,"4,514,413",45.15%,bic
14/08/2024,36.9(-0.40 %),"-28,500",-1.04,400,0.01,"28,900",1.05,"4,490,213",45.17%,bic
13/08/2024,37.05(-0.67 %),"-13,000",-0.47,"11,200",0.41,"24,200",0.88,"4,468,413",45.19%,bic
12/08/2024,37.3(1.36 %),"-6,200",-0.22,"16,000",0.59,"22,200",0.82,"4,479,613",45.18%,bic
09/08/2024,36.8(1.10 %),"1,300",0.05,"1,300",0.05,0,0.0,"4,495,513",45.17%,bic
08/08/2024,36.4(0.83 %),0,-0.0,100,0.0,100,0.0,"4,496,813",45.17%,bic
07/08/2024,36.1(-1.10 %),"2,700",0.1,"2,700",0.1,0,0.0,"4,484,413",45.18%,bic
06/08/2024,36.5(4.58 %),"7,300",0.25,"19,800",0.7,"12,500",0.45,"4,483,113",45.18%,bic
05/08/2024,34.9(-6.93 %),"13,800",0.5,"17,800",0.64,"4,000",0.14,"4,479,713",45.18%,bic
02/08/2024,37.5(-0.53 %),"-20,900",-0.76,"2,300",0.08,"23,200",0.85,"4,489,213",45.17%,bic
