date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,10 ( 0 %),64,"109,300","1,707.81",38,"104,000","2,737","5,300",bli
11/09/2024,10.2 ( 0 %),59,"102,800","1,742.37",25,"68,900","2,756","33,900",bli
10/09/2024,10.3 ( 0 %),65,"99,700","1,533.85",31,"89,700","2,894","10,000",bli
09/09/2024,10.5 ( 0.96 %),60,"98,700","1,645",27,"48,500","1,796","50,200",bli
06/09/2024,10.6 ( 6 %),79,"134,100","1,697.47",22,"72,400","3,291","61,700",bli
05/09/2024,10.5 ( 0 %),104,"127,500","1,225.96",29,"79,100","2,728","48,400",bli
04/09/2024,10.6 ( 0.95 %),62,"100,400","1,619.35",37,"98,700","2,668","1,700",bli
30/08/2024,10.8 ( 1.89 %),47,"50,200","1,068.09",24,"58,000","2,417","-7,800",bli
29/08/2024,10.7 ( 7 %),76,"92,100","1,211.84",34,"82,800","2,435","9,300",bli
28/08/2024,10.5 ( -3.67 %),119,"165,900","1,394.12",61,"158,000","2,590","7,900",bli
27/08/2024,11 ( 0 %),21,"17,200",819.05,33,"52,900","1,603","-35,700",bli
26/08/2024,11 ( 0 %),23,"14,000",608.7,25,"32,400","1,296","-18,400",bli
23/08/2024,11 ( 0 %),27,"43,500","1,611.11",23,"44,200","1,922",-700,bli
22/08/2024,11 ( 0 %),35,"48,700","1,391.43",39,"59,600","1,528","-10,900",bli
21/08/2024,11.1 ( 0.91 %),33,"34,100","1,033.33",32,"51,300","1,603","-17,200",bli
20/08/2024,11.2 ( 1.82 %),30,"45,100","1,503.33",46,"80,800","1,757","-35,700",bli
19/08/2024,11.2 ( 2.75 %),39,"41,600","1,066.67",42,"48,400","1,152","-6,800",bli
16/08/2024,11.2 ( 2.75 %),48,"91,500","1,906.25",38,"41,600","1,095","49,900",bli
15/08/2024,10.9 ( -0.91 %),60,"46,100",768.33,51,"72,500","1,422","-26,400",bli
14/08/2024,11.1 ( 0 %),41,"36,600",892.68,49,"123,500","2,520","-86,900",bli
13/08/2024,11.1 ( 0 %),26,"21,800",838.46,20,"40,000","2,000","-18,200",bli
12/08/2024,11.3 ( 0.89 %),20,"21,600","1,080",22,"58,700","2,668","-37,100",bli
09/08/2024,11.3 ( 0.89 %),24,"22,400",933.33,20,"27,800","1,390","-5,400",bli
08/08/2024,11.2 ( 0 %),21,"21,000","1,000",21,"59,800","2,848","-38,800",bli
07/08/2024,11.3 ( 0.89 %),27,"19,100",707.41,17,"28,200","1,659","-9,100",bli
06/08/2024,11.3 ( 1.8 %),30,"29,600",986.67,20,"37,400","1,870","-7,800",bli
05/08/2024,11.2 ( 0 %),36,"25,900",719.44,29,"51,100","1,762","-25,200",bli
