date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,11.6 ( 0 %),0,0,0,4,"1,000",250,"-1,000",bmj
11/09/2024,11.6 ( 0 %),0,0,0,7,"5,700",814,"-5,700",bmj
10/09/2024,11.6 ( 0 %),0,0,0,8,"8,500","1,062","-8,500",bmj
09/09/2024,11.6 ( 0 %),0,0,0,10,"4,400",440,"-4,400",bmj
06/09/2024,11.6 ( 0 %),0,0,0,10,"4,500",450,"-4,500",bmj
05/09/2024,11.6 ( 0 %),0,0,0,7,"1,900",271,"-1,900",bmj
04/09/2024,11.6 ( 0 %),0,0,0,6,"2,400",400,"-2,400",bmj
30/08/2024,11.6 ( 0 %),0,0,0,8,"2,800",350,"-2,800",bmj
29/08/2024,11.6 ( 0 %),0,0,0,9,"3,700",411,"-3,700",bmj
28/08/2024,11.6 ( 0 %),0,0,0,16,"11,700",731,"-11,700",bmj
27/08/2024,11.6 ( 0 %),0,0,0,9,"4,900",544,"-4,900",bmj
26/08/2024,11.6 ( 14.85 %),4,700,175,12,"10,800",900,"-10,100",bmj
23/08/2024,10.1 ( 0 %),2,600,300,2,700,350,-100,bmj
22/08/2024,10.1 ( 0 %),2,600,300,3,"2,700",900,"-2,100",bmj
21/08/2024,10.1 ( 0 %),2,100,50,1,600,600,-500,bmj
20/08/2024,10.1 ( 0 %),0,0,0,5,"3,100",620,"-3,100",bmj
19/08/2024,10.1 ( 0 %),3,"10,400","3,466.67",2,"6,900","3,450","3,500",bmj
16/08/2024,10.1 ( 0 %),1,0,0,6,"8,300","1,383","-8,300",bmj
15/08/2024,10.1 ( 0 %),2,200,100,3,"1,800",600,"-1,600",bmj
14/08/2024,10.1 ( 7.45 %),5,"2,800",560,4,"2,600",650,200,bmj
13/08/2024,9.9 ( 5.32 %),10,"3,700",370,6,"8,400","1,400","-4,700",bmj
12/08/2024,10 ( 13.64 %),19,"7,800",410.53,6,"7,800","1,300",0,bmj
09/08/2024,8.8 ( -14.56 %),1,100,100,9,"2,300",256,"-2,200",bmj
08/08/2024,10.3 ( 0 %),0,0,0,4,"2,000",500,"-2,000",bmj
07/08/2024,10.3 ( 0 %),1,"10,000","10,000",6,"1,500",250,"8,500",bmj
06/08/2024,10.3 ( 13.19 %),8,"2,900",362.5,9,"10,200","1,133","-7,300",bmj
05/08/2024,9.1 ( -14.95 %),9,"10,300","1,144.44",11,"14,900","1,355","-4,600",bmj
02/08/2024,10.7 ( 0 %),0,0,0,6,"2,400",400,"-2,400",bmj
01/08/2024,10.7 ( 0 %),0,0,0,6,"6,000","1,000","-6,000",bmj
31/07/2024,10.7 ( 0 %),0,0,0,5,"1,900",380,"-1,900",bmj
30/07/2024,10.7 ( 0 %),0,0,0,7,"5,400",771,"-5,400",bmj
29/07/2024,10.7 ( 0 %),0,0,0,10,"4,900",490,"-4,900",bmj
26/07/2024,10.7 ( 7 %),8,"2,100",262.5,10,"11,900","1,190","-9,800",bmj
25/07/2024,10 ( 1.01 %),8,"2,300",287.5,8,"2,400",300,-100,bmj
24/07/2024,10 ( 0 %),5,"2,700",540,11,"5,700",518,"-3,000",bmj
23/07/2024,10 ( 3.09 %),7,"2,200",314.29,7,"5,000",714,"-2,800",bmj
22/07/2024,9.7 ( 2.11 %),9,"4,000",444.44,4,"2,900",725,"1,100",bmj
19/07/2024,9.2 ( -3.16 %),13,"17,200","1,323.08",13,"11,100",854,"6,100",bmj
18/07/2024,10 ( 9.89 %),13,"5,500",423.08,8,"3,600",450,"1,900",bmj
17/07/2024,9.9 ( -1 %),14,"16,800","1,200",11,"8,900",809,"7,900",bmj
16/07/2024,10.8 ( -4.42 %),4,"2,300",575,19,"8,400",442,"-6,100",bmj
15/07/2024,11.3 ( 0 %),0,0,0,14,"2,100",150,"-2,100",bmj
12/07/2024,11.3 ( 5.61 %),5,"2,200",440,14,"3,900",279,"-1,700",bmj
11/07/2024,10.7 ( 13.83 %),13,"7,400",569.23,6,"1,900",317,"5,500",bmj
10/07/2024,9.5 ( -5 %),14,"18,500","1,321.43",10,"5,600",560,"12,900",bmj
09/07/2024,11.3 ( 14.14 %),20,"6,900",345,16,"20,900","1,306","-14,000",bmj
08/07/2024,10 ( -9.09 %),5,"1,500",300,8,"2,200",275,-700,bmj
05/07/2024,11 ( 0 %),2,600,300,4,"3,000",750,"-2,400",bmj
04/07/2024,11 ( 0 %),2,600,300,5,"4,200",840,"-3,600",bmj
03/07/2024,11 ( 0 %),2,600,300,4,"1,800",450,"-1,200",bmj
02/07/2024,11 ( 0 %),4,"1,700",425,4,"1,900",475,-200,bmj
01/07/2024,11 ( 0 %),5,"12,600","2,520",4,"2,300",575,"10,300",bmj
28/06/2024,11 ( 11.11 %),8,"19,700","2,462.5",3,"1,900",633,"17,800",bmj
27/06/2024,9.9 ( 0 %),10,"15,700","1,570",3,"18,800","6,267","-3,100",bmj
26/06/2024,9.9 ( 0 %),13,"7,200",553.85,3,"1,300",433,"5,900",bmj
25/06/2024,9.9 ( 0 %),20,"16,300",815,2,"1,100",550,"15,200",bmj
24/06/2024,9.5 ( -4.04 %),13,"16,300","1,253.85",3,"19,600","6,533","-3,300",bmj
21/06/2024,9.5 ( -11.21 %),27,"26,600",985.19,12,"28,500","2,375","-1,900",bmj
20/06/2024,10.7 ( 0 %),7,"11,500","1,642.86",8,"20,600","2,575","-9,100",bmj
19/06/2024,10.7 ( -14.4 %),18,"4,500",250,28,"14,900",532,"-10,400",bmj
18/06/2024,12.5 ( 13.64 %),6,"2,600",433.33,9,"21,600","2,400","-19,000",bmj
17/06/2024,11 ( 0 %),8,"13,400","1,675",6,"2,700",450,"10,700",bmj
14/06/2024,10.7 ( -6.96 %),15,"8,300",553.33,20,"12,500",625,"-4,200",bmj
13/06/2024,11 ( 7.84 %),30,"51,600","1,720",22,"16,400",745,"35,200",bmj
12/06/2024,10.2 ( 14.61 %),14,"17,400","1,242.86",1,100,100,"17,300",bmj
11/06/2024,11.2 ( 12 %),16,"19,100","1,193.75",5,"4,500",900,"14,600",bmj
10/06/2024,10 ( 1.01 %),13,"5,300",407.69,4,"20,000","5,000","-14,700",bmj
07/06/2024,9.9 ( 3.13 %),10,"7,800",780,7,"3,500",500,"4,300",bmj
06/06/2024,9.6 ( -6.8 %),15,"16,400","1,093.33",6,"21,100","3,517","-4,700",bmj
05/06/2024,10.3 ( 0 %),14,"6,100",435.71,10,"2,500",250,"3,600",bmj
04/06/2024,9.7 ( -5.83 %),12,"12,300","1,025",7,"4,500",643,"7,800",bmj
03/06/2024,9.7 ( -14.16 %),12,"17,500","1,458.33",8,"5,300",662,"12,200",bmj
31/05/2024,11.3 ( 7.62 %),3,"23,000","7,666.67",5,"20,000","4,000","3,000",bmj
30/05/2024,10.5 ( 0 %),4,"15,000","3,750",3,"3,500","1,167","11,500",bmj
29/05/2024,10.6 ( 1.92 %),6,"24,300","4,050",10,"14,300","1,430","10,000",bmj
28/05/2024,10.4 ( 9.47 %),2,"10,100","5,050",3,"3,000","1,000","7,100",bmj
27/05/2024,9.5 ( 0 %),3,"12,000","4,000",5,"5,900","1,180","6,100",bmj
24/05/2024,9.5 ( -7.77 %),5,"11,200","2,240",9,"6,000",667,"5,200",bmj
23/05/2024,10.3 ( 0 %),2,"2,100","1,050",8,"10,400","1,300","-8,300",bmj
22/05/2024,10.3 ( 9.57 %),3,"2,100",700,2,"4,400","2,200","-2,300",bmj
21/05/2024,10.3 ( 0.98 %),11,"17,000","1,545.45",7,"9,100","1,300","7,900",bmj
20/05/2024,10.2 ( 0 %),2,"2,000","1,000",7,"8,300","1,186","-6,300",bmj
17/05/2024,10.2 ( 0 %),2,"11,000","5,500",6,"9,300","1,550","1,700",bmj
16/05/2024,10.2 ( 0 %),5,"12,200","2,440",6,"8,800","1,467","3,400",bmj
15/05/2024,9.5 ( 0 %),8,"4,800",600,5,"2,000",400,"2,800",bmj
14/05/2024,10.4 ( 11.83 %),9,"6,100",677.78,6,"3,900",650,"2,200",bmj
13/05/2024,9.3 ( -2.11 %),6,"15,300","2,550",5,"5,500","1,100","9,800",bmj
10/05/2024,9.5 ( 1.06 %),11,"13,300","1,209.09",5,"4,800",960,"8,500",bmj
09/05/2024,9.3 ( -13.08 %),4,"1,200",300,8,"7,200",900,"-6,000",bmj
08/05/2024,10.7 ( 0 %),3,"1,300",433.33,8,"10,500","1,312","-9,200",bmj
07/05/2024,10.7 ( 0 %),1,"1,000","1,000",7,"5,300",757,"-4,300",bmj
06/05/2024,10.5 ( -4.55 %),4,"6,000","1,500",10,"7,900",790,"-1,900",bmj
03/05/2024,10.1 ( -8.18 %),1,100,100,8,"4,700",588,"-4,600",bmj
02/05/2024,10.1 ( -8.18 %),1,100,100,7,"6,300",900,"-6,200",bmj
26/04/2024,11 ( 0 %),1,"1,000","1,000",7,"6,100",871,"-5,100",bmj
25/04/2024,11 ( 0 %),3,300,100,5,"6,700","1,340","-6,400",bmj
24/04/2024,11 ( 0 %),2,300,150,4,"5,600","1,400","-5,300",bmj
23/04/2024,11 ( 0 %),2,200,100,5,"8,600","1,720","-8,400",bmj
22/04/2024,11 ( 0 %),0,0,0,6,"4,400",733,"-4,400",bmj
19/04/2024,11 ( 0 %),1,100,100,7,"9,100","1,300","-9,000",bmj
17/04/2024,11 ( 0 %),1,100,100,4,"4,700","1,175","-4,600",bmj
16/04/2024,11 ( 0 %),1,100,100,9,"23,300","2,589","-23,200",bmj
