date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,9.7(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
11/09/2024,9.7(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
10/09/2024,9.7(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
09/09/2024,9.7(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
06/09/2024,9.9(2.06 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
05/09/2024,9.9(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
04/09/2024,9.9(10.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
30/08/2024,9(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
29/08/2024,9(-1.10 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
28/08/2024,9.1(-9.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
27/08/2024,10(8.70 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
26/08/2024,9.2(-3.16 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
23/08/2024,9.5(3.26 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
22/08/2024,9.2(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
21/08/2024,9.2(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
20/08/2024,9.2(3.37 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
19/08/2024,8.9(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
16/08/2024,8.9(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
15/08/2024,8.9(-2.20 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
14/08/2024,9.1(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
13/08/2024,9.1(9.64 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
12/08/2024,8.3(-6.74 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
09/08/2024,8.9(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
08/08/2024,8.9(9.88 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
07/08/2024,8.1(-8.99 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
06/08/2024,8.9(9.88 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
05/08/2024,8.1(1.25 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
02/08/2024,8(-5.88 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
01/08/2024,8.5(-9.57 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
31/07/2024,9.4(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
30/07/2024,9.4(9.30 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
29/07/2024,8.6(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
24/07/2024,8.3(9.21 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
23/07/2024,7.6(-7.32 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
22/07/2024,8.2(-7.87 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
19/07/2024,8.9(-9.18 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
18/07/2024,9.8(-1.01 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
17/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
16/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
15/07/2024,10(-0.99 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
12/07/2024,10.1(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
11/07/2024,10.1(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
10/07/2024,10.1(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
08/07/2024,10.1(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
04/07/2024,9.8(7.69 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
03/07/2024,9.1(9.64 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
02/07/2024,8.3(-8.79 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
01/07/2024,9.1(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
28/06/2024,9.1(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
27/06/2024,9.1(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
26/06/2024,9.1(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
25/06/2024,9.1(5.81 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
24/06/2024,8.6(-9.47 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
21/06/2024,9.5(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
20/06/2024,9.5(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
19/06/2024,9.5(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
18/06/2024,9.5(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
17/06/2024,0(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
14/06/2024,0(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
13/06/2024,9.5(5.56 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
12/06/2024,9(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
11/06/2024,9(-10.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
10/06/2024,10(7.53 %),0,0.0,0,0,0,0.0,"1,810,240",0%,bpc
07/06/2024,9.3(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
06/06/2024,9.3(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
05/06/2024,9.3(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",0%,bpc
04/06/2024,9.3(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",0%,bpc
03/06/2024,9.3(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",0%,bpc
31/05/2024,9.3(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
30/05/2024,9.3(1.09 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
29/05/2024,9.2(0.00 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
28/05/2024,9.2(6.98 %),0,0.0,0,0,0,0.0,"1,810,240",1.36%,bpc
