date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,12.3(0.00 %),0,0,0,0,0,0,"-1,000",0%,bsg
11/09/2024,12.3(0.00 %),0,0,0,0,0,0,"-1,000",0%,bsg
10/09/2024,12.3(-0.81 %),0,0,0,0,0,0,"-1,000",0%,bsg
09/09/2024,12.4(5.98 %),0,0,0,0,0,0,"-1,000",0%,bsg
06/09/2024,12.5(0.81 %),0,0,0,0,0,0,"-1,000",0%,bsg
05/09/2024,12.4(0.00 %),0,0,0,0,0,0,"-1,000",0%,bsg
04/09/2024,12.4(0.00 %),0,0,0,0,0,0,"-1,000",0%,bsg
30/08/2024,12.4(0.00 %),0,0,0,0,0,0,"-1,000",0%,bsg
29/08/2024,12.4(0.81 %),0,0,0,0,0,0,"-1,000",0%,bsg
28/08/2024,12.3(0.00 %),0,0,0,0,0,0,"-1,000",0%,bsg
27/08/2024,12.3(0.00 %),0,0,0,0,0,0,"-1,000",0%,bsg
26/08/2024,12.3(-0.81 %),0,0,0,0,0,0,"-1,000",0%,bsg
23/08/2024,12.4(-0.80 %),0,0,0,0,0,0,"-1,000",0%,bsg
22/08/2024,12.5(9.65 %),0,0,0,0,0,0,"-1,000",0%,bsg
21/08/2024,12.5(1.63 %),0,0,0,0,0,0,"-1,000",0%,bsg
20/08/2024,12.3(0.00 %),0,0,0,0,0,0,-1,0%,bsg
19/08/2024,12.3(-0.81 %),0,0,0,0,0,0,-1,0%,bsg
16/08/2024,12.5(0.81 %),0,0,0,0,0,0,-1,0%,bsg
15/08/2024,12.4(2.48 %),0,0,0,0,0,0,-1,0%,bsg
14/08/2024,12.1(1.68 %),0,0,0,0,0,0,-1,0%,bsg
13/08/2024,12.4(3.33 %),0,0,0,0,0,0,-1,0%,bsg
12/08/2024,12(0.00 %),0,0,0,0,0,0,-1,0%,bsg
09/08/2024,12(2.56 %),0,0,0,0,0,0,"-1,000",0%,bsg
08/08/2024,12.2(3.39 %),0,0,0,0,0,0,"-1,000",0%,bsg
