date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,14.0,--,-0.5(-3.45 %),700,0.01,0,0,14.0,14.0,14.0,bst
11/09/2024,14.5,--,0(0.00 %),450,0.01,0,0,14.5,14.5,14.5,bst
10/09/2024,14.5,--,0(0.00 %),5,0.0,0,0,14.5,14.5,14.5,bst
09/09/2024,14.5,--,0.5(3.57 %),"1,600",0.02,0,0,14.0,14.5,14.0,bst
06/09/2024,14.0,--,0.2(1.45 %),200,0.0,0,0,13.8,14.0,13.8,bst
05/09/2024,13.8,--,0(0.00 %),0,0.0,0,0,13.8,13.8,13.8,bst
04/09/2024,13.8,--,0(0.00 %),0,0.0,0,0,13.8,13.8,13.8,bst
30/08/2024,13.8,--,0(0.00 %),0,0.0,0,0,13.8,13.8,13.8,bst
29/08/2024,13.8,--,0(0.00 %),0,0.0,0,0,13.8,13.8,13.8,bst
28/08/2024,13.8,--,0(0.00 %),200,0.0,0,0,14.1,14.1,13.8,bst
27/08/2024,13.8,--,0(0.00 %),200,0.0,0,0,13.8,13.8,13.8,bst
26/08/2024,13.8,--,0(0.00 %),0,0.0,0,0,13.8,13.8,13.8,bst
23/08/2024,13.8,--,-0.7(-4.83 %),107,0.0,0,0,13.8,13.8,13.8,bst
22/08/2024,14.5,--,0(0.00 %),0,0.0,0,0,14.5,14.5,14.5,bst
21/08/2024,14.5,--,0.7(5.07 %),101,0.0,0,0,14.5,14.5,14.5,bst
20/08/2024,13.8,--,0(0.00 %),0,0.0,0,0,13.8,13.8,13.8,bst
19/08/2024,13.8,--,0(0.00 %),0,0.0,0,0,13.8,13.8,13.8,bst
16/08/2024,13.8,--,0(0.00 %),0,0.0,0,0,13.8,13.8,13.8,bst
15/08/2024,13.8,--,0(0.00 %),0,0.0,0,0,13.8,13.8,13.8,bst
14/08/2024,13.8,--,-0.9(-6.12 %),100,0.0,0,0,13.8,13.8,13.8,bst
13/08/2024,14.7,--,0(0.00 %),0,0.0,0,0,14.7,14.7,14.7,bst
12/08/2024,14.7,--,0(0.00 %),0,0.0,0,0,14.7,14.7,14.7,bst
09/08/2024,14.7,--,0(0.00 %),0,0.0,0,0,14.7,14.7,14.7,bst
08/08/2024,14.7,--,0(0.00 %),0,0.0,0,0,14.7,14.7,14.7,bst
07/08/2024,14.7,--,0(0.00 %),0,0.0,0,0,14.7,14.7,14.7,bst
06/08/2024,14.7,--,0(0.00 %),200,0.0,0,0,14.7,14.7,14.7,bst
05/08/2024,14.7,--,0(0.00 %),100,0.0,0,0,14.7,14.7,14.7,bst
02/08/2024,14.7,--,0(0.00 %),100,0.0,0,0,14.7,14.7,14.7,bst
01/08/2024,14.7,--,0(0.00 %),100,0.0,0,0,14.7,14.7,14.7,bst
31/07/2024,14.7,--,0(0.00 %),0,0.0,0,0,14.7,14.7,14.7,bst
30/07/2024,14.7,--,-0.5(-3.29 %),400,0.01,0,0,14.9,14.9,14.7,bst
29/07/2024,15.2,--,-0.1(-0.65 %),100,0.0,0,0,15.2,15.2,15.2,bst
26/07/2024,15.3,--,-0.1(-0.65 %),700,0.01,0,0,15.3,15.3,15.3,bst
25/07/2024,15.4,--,0.2(1.32 %),108,0.0,0,0,15.4,15.4,15.4,bst
24/07/2024,15.2,--,0(0.00 %),10,0.0,0,0,15.2,15.2,15.2,bst
23/07/2024,15.2,--,0(0.00 %),0,0.0,0,0,15.2,15.2,15.2,bst
22/07/2024,15.2,--,1.3(9.35 %),110,0.0,0,0,15.2,15.2,15.2,bst
19/07/2024,13.9,--,0(0.00 %),4,0.0,0,0,13.9,13.9,13.9,bst
18/07/2024,13.9,--,0(0.00 %),0,0.0,0,0,13.9,13.9,13.9,bst
17/07/2024,13.9,--,0(0.00 %),0,0.0,0,0,13.9,13.9,13.9,bst
16/07/2024,13.9,--,0(0.00 %),0,0.0,0,0,13.9,13.9,13.9,bst
15/07/2024,13.9,--,0(0.00 %),0,0.0,0,0,13.9,13.9,13.9,bst
