date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,13.5,--,0(0.00 %),0,0.0,0,0.0,13.5,13.5,13.5,bt1
11/09/2024,13.5,--,0.2(1.50 %),"30,300",0.41,0,0.0,13.5,13.5,13.5,bt1
10/09/2024,13.3,--,0(0.00 %),0,0.0,0,0.0,13.3,13.3,13.3,bt1
09/09/2024,13.3,--,0(0.00 %),0,0.0,0,0.0,13.3,13.3,13.3,bt1
06/09/2024,13.3,--,0(0.00 %),200,0.0,0,0.0,13.3,13.3,13.3,bt1
05/09/2024,13.3,--,-0.3(-2.21 %),300,0.0,0,0.0,13.3,13.3,13.3,bt1
04/09/2024,13.6,--,0(0.00 %),0,0.0,0,0.0,13.6,13.6,13.6,bt1
30/08/2024,13.6,--,0(0.00 %),0,0.0,0,0.0,13.6,13.6,13.6,bt1
29/08/2024,13.6,--,0.1(0.74 %),200,0.0,0,0.0,13.6,13.6,13.6,bt1
28/08/2024,13.5,--,0(0.00 %),0,0.0,0,0.0,13.5,13.5,13.5,bt1
27/08/2024,13.5,--,0(0.00 %),220,0.0,0,0.0,13.5,13.5,13.5,bt1
26/08/2024,13.5,--,0(0.00 %),0,0.0,0,0.0,13.5,13.5,13.5,bt1
23/08/2024,13.5,--,0(0.00 %),0,0.0,0,0.0,13.5,13.5,13.5,bt1
22/08/2024,13.5,--,0(0.00 %),1,0.0,0,0.0,13.5,13.5,13.5,bt1
21/08/2024,13.5,--,0(0.00 %),0,0.0,0,0.0,13.5,13.5,13.5,bt1
20/08/2024,13.5,--,0(0.00 %),0,0.0,0,0.0,13.5,13.5,13.5,bt1
19/08/2024,13.5,--,0.2(1.50 %),100,0.0,0,0.0,13.5,13.5,13.5,bt1
16/08/2024,13.3,--,0(0.00 %),0,0.0,0,0.0,13.3,13.3,13.3,bt1
15/08/2024,13.3,--,0(0.00 %),0,0.0,0,0.0,13.3,13.3,13.3,bt1
14/08/2024,13.3,--,0(0.00 %),0,0.0,0,0.0,13.3,13.3,13.3,bt1
13/08/2024,13.3,--,0(0.00 %),1,0.0,0,0.0,13.3,13.3,13.3,bt1
12/08/2024,13.3,--,0(0.00 %),0,0.0,0,0.0,13.3,13.3,13.3,bt1
09/08/2024,13.3,--,0(0.00 %),0,0.0,0,0.0,13.3,13.3,13.3,bt1
08/08/2024,13.3,--,0(0.00 %),0,0.0,0,0.0,13.3,13.3,13.3,bt1
07/08/2024,13.3,--,0(0.00 %),200,0.0,0,0.0,13.3,13.3,13.3,bt1
06/08/2024,13.3,--,-0.1(-0.75 %),600,0.01,0,0.0,13.3,13.3,13.3,bt1
05/08/2024,13.4,--,0(0.00 %),0,0.0,0,0.0,13.4,13.4,13.4,bt1
02/08/2024,13.4,--,0(0.00 %),51,0.0,0,0.0,13.4,13.4,13.4,bt1
01/08/2024,13.4,--,-0.6(-4.29 %),"1,000",0.01,0,0.0,13.4,13.4,13.4,bt1
31/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
30/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
29/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
26/07/2024,14.0,--,0(0.00 %),10,0.0,0,0.0,14.0,14.0,14.0,bt1
25/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
24/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
23/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
22/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
19/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
18/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
17/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
16/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
15/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
12/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
11/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
10/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
09/07/2024,14.0,--,0(0.00 %),0,0.0,0,0.0,14.0,14.0,14.0,bt1
