date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,7.7(-13.48 %),0,0,0,0,0,0,"583,100",0%,btg
11/09/2024,8.9(7.23 %),0,0,0,0,0,0,"583,100",0%,btg
10/09/2024,8.3(13.70 %),0,0,0,0,0,0,"583,100",0%,btg
09/09/2024,7.3(-8.75 %),0,0,0,0,0,0,"583,100",0%,btg
06/09/2024,8(-11.11 %),0,0,0,0,0,0,"583,100",0%,btg
05/09/2024,9(7.14 %),0,0,0,0,0,0,"583,100",0%,btg
04/09/2024,8.4(3.70 %),0,0,0,0,0,0,"583,100",0%,btg
30/08/2024,8.1(1.25 %),0,0,0,0,0,0,"583,100",0%,btg
29/08/2024,8(14.29 %),0,0,0,0,0,0,"583,100",0%,btg
28/08/2024,7(-14.63 %),0,0,0,0,0,0,"583,100",0%,btg
27/08/2024,8.2(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
26/08/2024,8.2(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
23/08/2024,8.2(13.89 %),0,0,0,0,0,0,"583,100",0%,btg
22/08/2024,7.2(14.29 %),0,0,0,0,0,0,"583,100",0%,btg
21/08/2024,6.3(14.55 %),0,0,0,0,0,0,"583,100",0%,btg
20/08/2024,5.5(-37.50 %),0,0,0,0,0,0,"5,831",0%,btg
19/08/2024,8.8(0.00 %),0,0,0,0,0,0,"5,831",0%,btg
16/08/2024,8.8(0.00 %),0,0,0,0,0,0,"5,831",0%,btg
15/08/2024,8.8(0.00 %),0,0,0,0,0,0,"5,831",0%,btg
14/08/2024,8.8(0.00 %),0,0,0,0,0,0,"5,831",0%,btg
13/08/2024,8.8(0.00 %),0,0,0,0,0,0,"5,831",0%,btg
12/08/2024,8.8(0.00 %),0,0,0,0,0,0,"5,831",0%,btg
09/08/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
08/08/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
07/08/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
06/08/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
05/08/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
02/08/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
01/08/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
31/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
30/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
29/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
24/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
23/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
22/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
19/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
18/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
17/07/2024,0(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
16/07/2024,0(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
15/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
12/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
11/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
10/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
08/07/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
04/07/2024,8.8(0.00 %),0,0,0,0,0,0,"5,831",0%,btg
03/07/2024,8.8(0.00 %),0,0,0,0,0,0,"5,831",48.51%,btg
02/07/2024,8.8(0.00 %),0,0,0,0,0,0,"5,831",0%,btg
01/07/2024,8.8(0.00 %),0,0,0,0,0,0,"5,831",0%,btg
28/06/2024,8.8(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
27/06/2024,8.8(-13.73 %),0,0,0,0,0,0,"583,100",0%,btg
26/06/2024,10.2(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
25/06/2024,10.2(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
24/06/2024,10.2(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
21/06/2024,10.2(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
20/06/2024,10.2(-15.00 %),0,0,0,0,0,0,"583,100",0%,btg
19/06/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
18/06/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
17/06/2024,0(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
14/06/2024,0(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
13/06/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
12/06/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
11/06/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
10/06/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
07/06/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
06/06/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
05/06/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
04/06/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
03/06/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
31/05/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
30/05/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
29/05/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
28/05/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
27/05/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
24/05/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
23/05/2024,12(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
22/05/2024,12(14.29 %),0,0,0,0,0,0,"583,100",0%,btg
21/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
20/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
17/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
16/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
15/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
14/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
13/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
10/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
09/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
08/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
07/05/2024,10.5(0.00 %),0,0,0,0,0,0,"5,831",0%,btg
06/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
03/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
02/05/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
26/04/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
25/04/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
24/04/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
23/04/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
22/04/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
19/04/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
17/04/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
16/04/2024,10.5(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
15/04/2024,10.5(12.90 %),0,0,0,0,0,0,"583,100",0%,btg
12/04/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
11/04/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
10/04/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
09/04/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
08/04/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
05/04/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
04/04/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
03/04/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
02/04/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
01/04/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
29/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
28/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
27/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
26/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
25/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
22/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
21/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
20/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
19/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
18/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
15/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
14/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
13/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
12/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
11/03/2024,9.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
08/03/2024,9.3(13.41 %),0,0,0,0,0,0,"583,100",0%,btg
07/03/2024,8.2(7.89 %),0,0,0,0,0,0,"583,100",0%,btg
06/03/2024,7.6(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
05/03/2024,7.6(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
04/03/2024,7.6(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
01/03/2024,7.6(1.33 %),0,0,0,0,0,0,"583,100",0%,btg
29/02/2024,7.5(1.35 %),0,0,0,0,0,0,"583,100",0%,btg
28/02/2024,7.4(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
27/02/2024,7.4(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
26/02/2024,7.4(1.37 %),0,0,0,0,0,0,"583,100",0%,btg
23/02/2024,7.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
22/02/2024,7.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
21/02/2024,7.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
20/02/2024,7.3(0.00 %),0,0,0,0,0,0,"583,100",0%,btg
