date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,5.3 ( 0 %),17,"38,700","2,276.47",24,"91,600","3,817","-52,900",bts
11/09/2024,5.3 ( 0 %),17,"33,300","1,958.82",21,"42,600","2,029","-9,300",bts
10/09/2024,5.3 ( 0 %),19,"9,000",473.68,25,"53,100","2,124","-44,100",bts
09/09/2024,5.3 ( 0 %),25,"49,800","1,992",30,"63,600","2,120","-13,800",bts
06/09/2024,5.3 ( -1.85 %),33,"64,900","1,966.67",33,"63,100","1,912","1,800",bts
05/09/2024,5.4 ( 0 %),29,"48,900","1,686.21",27,"70,700","2,619","-21,800",bts
04/09/2024,5.4 ( 0 %),20,"20,500","1,025",37,"111,400","3,011","-90,900",bts
30/08/2024,5.4 ( 0 %),43,"43,400","1,009.3",58,"110,000","1,897","-66,600",bts
29/08/2024,5.4 ( 0 %),24,"19,200",800,38,"98,200","2,584","-79,000",bts
28/08/2024,5.4 ( 0 %),21,"20,500",976.19,42,"128,800","3,067","-108,300",bts
27/08/2024,5.4 ( 0 %),25,"34,600","1,384",44,"108,100","2,457","-73,500",bts
26/08/2024,5.4 ( 0 %),27,"22,100",818.52,43,"105,000","2,442","-82,900",bts
23/08/2024,5.4 ( 0 %),22,"31,000","1,409.09",29,"117,800","4,062","-86,800",bts
22/08/2024,5.4 ( -1.82 %),29,"29,100","1,003.45",40,"185,100","4,628","-156,000",bts
21/08/2024,5.5 ( 1.85 %),32,"39,600","1,237.5",41,"65,500","1,598","-25,900",bts
20/08/2024,5.4 ( 1.89 %),45,"84,300","1,873.33",48,"97,700","2,035","-13,400",bts
19/08/2024,5.3 ( -1.85 %),48,"26,500",552.08,46,"84,200","1,830","-57,700",bts
16/08/2024,5.4 ( 0 %),33,"26,500",803.03,42,"139,800","3,329","-113,300",bts
15/08/2024,5.4 ( 0 %),17,"15,200",894.12,33,"85,400","2,588","-70,200",bts
14/08/2024,5.4 ( 0 %),23,"12,100",526.09,35,"59,400","1,697","-47,300",bts
13/08/2024,5.4 ( 0 %),29,"19,200",662.07,53,"93,300","1,760","-74,100",bts
12/08/2024,5.4 ( 0 %),19,"13,000",684.21,32,"89,200","2,788","-76,200",bts
09/08/2024,5.4 ( 1.89 %),36,"18,800",522.22,32,"70,600","2,206","-51,800",bts
08/08/2024,5.3 ( -1.85 %),28,"17,300",617.86,34,"87,800","2,582","-70,500",bts
07/08/2024,5.4 ( 1.89 %),29,"26,000",896.55,28,"55,500","1,982","-29,500",bts
06/08/2024,5.3 ( 1.92 %),39,"22,300",571.79,20,"55,800","2,790","-33,500",bts
05/08/2024,5.2 ( -1.89 %),37,"40,900","1,105.41",36,"98,500","2,736","-57,600",bts
02/08/2024,5.3 ( 0 %),50,"91,600","1,832",37,"115,400","3,119","-23,800",bts
01/08/2024,5.3 ( 0 %),44,"27,800",631.82,41,"63,600","1,551","-35,800",bts
31/07/2024,5.3 ( -3.64 %),46,"33,700",732.61,36,"90,000","2,500","-56,300",bts
30/07/2024,5.5 ( 0 %),32,"32,200","1,006.25",36,"120,700","3,353","-88,500",bts
29/07/2024,5.5 ( 1.85 %),54,"50,500",935.19,31,"130,100","4,197","-79,600",bts
26/07/2024,5.4 ( -1.82 %),33,"28,100",851.52,34,"102,600","3,018","-74,500",bts
25/07/2024,5.5 ( 0 %),32,"41,000","1,281.25",29,"104,800","3,614","-63,800",bts
24/07/2024,5.5 ( 0 %),28,"10,800",385.71,33,"71,200","2,158","-60,400",bts
23/07/2024,5.5 ( 0 %),31,"47,000","1,516.13",30,"103,300","3,443","-56,300",bts
22/07/2024,5.5 ( 1.85 %),44,"51,500","1,170.45",26,"76,700","2,950","-25,200",bts
19/07/2024,5.4 ( -1.82 %),49,"64,500","1,316.33",49,"121,000","2,469","-56,500",bts
18/07/2024,5.5 ( -1.79 %),37,"34,500",932.43,48,"100,800","2,100","-66,300",bts
17/07/2024,5.6 ( 0 %),55,"57,800","1,050.91",51,"125,300","2,457","-67,500",bts
16/07/2024,5.6 ( 0 %),63,"119,600","1,898.41",96,"186,500","1,943","-66,900",bts
15/07/2024,5.6 ( 0 %),54,"68,200","1,262.96",50,"86,400","1,728","-18,200",bts
12/07/2024,5.6 ( 0 %),69,"110,100","1,595.65",68,"176,400","2,594","-66,300",bts
11/07/2024,5.6 ( 0 %),73,"105,500","1,445.21",75,"158,900","2,119","-53,400",bts
10/07/2024,5.6 ( 1.82 %),98,"180,900","1,845.92",93,"153,400","1,649","27,500",bts
09/07/2024,5.5 ( 3.77 %),112,"172,500","1,540.18",87,"134,200","1,543","38,300",bts
08/07/2024,5.3 ( -1.85 %),116,"197,000","1,698.28",97,"227,400","2,344","-30,400",bts
05/07/2024,5.4 ( 0 %),66,"135,600","2,054.55",61,"147,200","2,413","-11,600",bts
04/07/2024,5.4 ( -1.82 %),74,"101,500","1,371.62",81,"159,800","1,973","-58,300",bts
03/07/2024,5.5 ( 0 %),62,"108,000","1,741.94",60,"159,100","2,652","-51,100",bts
02/07/2024,5.5 ( 0 %),51,"80,800","1,584.31",71,"209,600","2,952","-128,800",bts
