date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,38.8,--,0(0.00 %),0,0.0,0,0,38.8,38.8,38.8,btt
11/09/2024,38.8,--,-0.1(-0.26 %),200,0.01,0,0,38.8,38.8,38.8,btt
10/09/2024,38.9,--,-2.9(-6.94 %),600,0.02,0,0,38.9,38.9,38.9,btt
09/09/2024,41.8,--,0(0.00 %),0,0.0,0,0,41.8,41.8,41.8,btt
06/09/2024,41.8,--,0(0.00 %),0,0.0,0,0,41.8,41.8,41.8,btt
05/09/2024,41.8,--,0(0.00 %),0,0.0,0,0,41.8,41.8,41.8,btt
04/09/2024,41.8,--,2.65(6.77 %),400,0.02,0,0,41.8,41.8,41.8,btt
30/08/2024,42.5,39.15,0(0.00 %),"1,300",0.06,0,0,42.55,42.7,42.5,btt
29/08/2024,42.5,39.15,0.6(1.43 %),"1,400",0.06,0,0,41.9,42.5,41.9,btt
28/08/2024,41.9,38.6,2.7(6.89 %),"4,800",0.2,0,0,41.6,41.9,41.6,btt
27/08/2024,39.2,36.11,-2.3(-5.54 %),"1,300",0.05,0,0,41.7,41.7,39.2,btt
26/08/2024,41.5,38.23,-0.5(-1.19 %),500,0.02,0,0,41.05,41.5,41.05,btt
23/08/2024,42.0,38.69,1(2.44 %),"3,000",0.13,0,0,41.95,42.0,41.95,btt
22/08/2024,41.0,37.77,0(0.00 %),"1,400",0.06,0,0,41.5,41.5,41.0,btt
21/08/2024,41.0,37.77,2.15(5.53 %),"3,400",0.14,0,0,41.0,41.55,40.0,btt
20/08/2024,38.85,35.79,2.5(6.88 %),"1,800",0.07,0,0,38.8,38.85,38.8,btt
19/08/2024,36.35,33.49,2.35(6.91 %),"2,500",0.09,0,0,35.8,36.35,35.8,btt
16/08/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
15/08/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
14/08/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
13/08/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
12/08/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
09/08/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
08/08/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
07/08/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
06/08/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
05/08/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
02/08/2024,34.0,31.32,0(0.00 %),100,0.0,0,0,34.0,34.0,34.0,btt
01/08/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
31/07/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
30/07/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
29/07/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
26/07/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
25/07/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
24/07/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
23/07/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
22/07/2024,34.0,31.32,-1.9(-5.29 %),100,0.0,0,0,34.0,34.0,34.0,btt
19/07/2024,35.9,33.07,0(0.00 %),0,0.0,0,0,35.9,35.9,35.9,btt
18/07/2024,35.9,33.07,0(0.00 %),0,0.0,0,0,35.9,35.9,35.9,btt
17/07/2024,35.9,33.07,0(0.00 %),0,0.0,0,0,35.9,35.9,35.9,btt
16/07/2024,35.9,33.07,0(0.00 %),0,0.0,0,0,35.9,35.9,35.9,btt
15/07/2024,35.9,33.07,0(0.00 %),0,0.0,0,0,35.9,35.9,35.9,btt
12/07/2024,35.9,33.07,0(0.00 %),0,0.0,0,0,35.9,35.9,35.9,btt
11/07/2024,35.9,33.07,0(0.00 %),100,0.0,0,0,35.9,35.9,35.9,btt
10/07/2024,35.9,33.07,1.9(5.59 %),900,0.03,0,0,34.5,35.9,34.5,btt
09/07/2024,34.0,31.32,-2.5(-6.85 %),"1,000",0.03,0,0,34.0,34.0,34.0,btt
08/07/2024,36.5,33.62,0(0.00 %),0,0.0,0,0,36.5,36.5,36.5,btt
05/07/2024,36.5,33.62,0.5(1.39 %),100,0.0,0,0,36.5,36.5,36.5,btt
04/07/2024,36.0,33.16,0.5(1.41 %),100,0.0,0,0,36.0,36.0,36.0,btt
03/07/2024,35.5,32.7,0(0.00 %),600,0.02,0,0,35.5,35.5,35.5,btt
02/07/2024,35.5,32.7,0(0.00 %),0,0.0,0,0,35.5,35.5,35.5,btt
01/07/2024,35.5,32.7,0(0.00 %),0,0.0,0,0,35.5,35.5,35.5,btt
28/06/2024,35.5,32.7,2(5.97 %),"2,000",0.07,0,0,35.5,35.8,35.5,btt
27/06/2024,33.5,30.86,-2.5(-6.94 %),500,0.02,0,0,33.5,33.5,33.5,btt
26/06/2024,36.0,33.16,0(0.00 %),0,0.0,0,0,36.0,36.0,36.0,btt
25/06/2024,36.0,33.16,0(0.00 %),0,0.0,0,0,36.0,36.0,36.0,btt
24/06/2024,36.0,33.16,0(0.00 %),0,0.0,0,0,36.0,36.0,36.0,btt
21/06/2024,36.0,33.16,0(0.00 %),0,0.0,0,0,36.0,36.0,36.0,btt
20/06/2024,36.0,33.16,0(0.00 %),0,0.0,0,0,36.0,36.0,36.0,btt
19/06/2024,36.0,33.16,0(0.00 %),0,0.0,0,0,36.0,36.0,36.0,btt
18/06/2024,36.0,33.16,0(0.00 %),0,0.0,0,0,36.0,36.0,36.0,btt
17/06/2024,36.0,33.16,0(0.00 %),0,0.0,0,0,36.0,36.0,36.0,btt
14/06/2024,36.0,33.16,0(0.00 %),0,0.0,0,0,36.0,36.0,36.0,btt
13/06/2024,36.0,33.16,0(0.00 %),400,0.01,0,0,36.0,36.0,36.0,btt
12/06/2024,36.0,33.16,-0.35(-0.96 %),600,0.02,0,0,35.9,36.0,35.9,btt
11/06/2024,36.35,33.49,0(0.00 %),0,0.0,0,0,36.35,36.35,36.35,btt
10/06/2024,36.35,33.49,2.35(6.91 %),200,0.01,0,0,36.35,36.35,36.35,btt
07/06/2024,34.0,31.32,0(0.00 %),"1,800",0.06,0,0,34.0,34.0,34.0,btt
06/06/2024,34.0,31.32,0(0.00 %),0,0.0,0,0,34.0,34.0,34.0,btt
05/06/2024,34.0,31.32,0.8(2.41 %),600,0.02,0,0,34.0,34.0,34.0,btt
04/06/2024,33.2,30.58,-0.5(-1.48 %),"1,600",0.05,0,0,33.2,33.2,33.2,btt
03/06/2024,33.7,31.04,0.7(2.12 %),600,0.02,0,0,31.5,33.7,31.5,btt
31/05/2024,33.0,30.4,0(0.00 %),0,0.0,0,0,33.0,33.0,33.0,btt
30/05/2024,33.0,30.4,0(0.00 %),0,0.0,0,0,33.0,33.0,33.0,btt
29/05/2024,33.0,30.4,0(0.00 %),0,0.0,0,0,33.0,33.0,33.0,btt
28/05/2024,33.0,30.4,0(0.00 %),0,0.0,0,0,33.0,33.0,33.0,btt
27/05/2024,33.0,30.4,0(0.00 %),0,0.0,0,0,33.0,33.0,33.0,btt
24/05/2024,33.0,30.4,0(0.00 %),"2,000",0.07,0,0,33.0,33.0,32.0,btt
23/05/2024,33.0,30.4,0(0.00 %),400,0.01,0,0,33.0,33.0,33.0,btt
22/05/2024,33.0,30.4,0.3(0.92 %),300,0.01,0,0,33.0,33.0,33.0,btt
21/05/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
20/05/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
17/05/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
16/05/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
15/05/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
14/05/2024,32.7,30.12,0(0.00 %),100,0.0,0,0,32.7,32.7,32.7,btt
13/05/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
10/05/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
09/05/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
08/05/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
07/05/2024,32.7,30.12,0(0.00 %),100,0.0,0,0,32.7,32.7,32.7,btt
06/05/2024,32.7,30.12,1.6(5.14 %),100,0.0,0,0,32.7,32.7,32.7,btt
03/05/2024,31.1,28.65,0(0.00 %),0,0.0,0,0,31.1,31.1,31.1,btt
02/05/2024,31.1,28.65,0(0.00 %),0,0.0,0,0,31.1,31.1,31.1,btt
26/04/2024,31.1,28.65,0(0.00 %),0,0.0,0,0,31.1,31.1,31.1,btt
25/04/2024,31.1,28.65,0(0.00 %),0,0.0,0,0,31.1,31.1,31.1,btt
24/04/2024,31.1,28.65,0(0.00 %),0,0.0,0,0,31.1,31.1,31.1,btt
23/04/2024,31.1,28.65,0(0.00 %),0,0.0,0,0,31.1,31.1,31.1,btt
22/04/2024,31.1,28.65,0(0.00 %),0,0.0,0,0,31.1,31.1,31.1,btt
19/04/2024,31.1,28.65,0(0.00 %),0,0.0,0,0,31.1,31.1,31.1,btt
17/04/2024,31.1,28.65,-0.9(-2.81 %),"2,600",0.08,0,0,31.1,31.1,31.1,btt
16/04/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
15/04/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
12/04/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
11/04/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
10/04/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
09/04/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
08/04/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
05/04/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
04/04/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
03/04/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
02/04/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
01/04/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
29/03/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
28/03/2024,32.0,29.48,-0.5(-1.54 %),100,0.0,0,0,32.0,32.0,32.0,btt
27/03/2024,32.5,29.94,-0.2(-0.61 %),300,0.01,0,0,32.7,32.7,32.5,btt
26/03/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
25/03/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
22/03/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
21/03/2024,32.7,30.12,0(0.00 %),0,0.0,0,0,32.7,32.7,32.7,btt
20/03/2024,32.7,30.12,0.7(2.19 %),700,0.02,0,0,30.1,32.7,30.1,btt
19/03/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
18/03/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
15/03/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
14/03/2024,32.0,29.48,0(0.00 %),0,0.0,0,0,32.0,32.0,32.0,btt
13/03/2024,32.0,29.48,0.5(1.59 %),400,0.01,0,0,32.7,32.7,32.0,btt
12/03/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
11/03/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
08/03/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
07/03/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
06/03/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
05/03/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
04/03/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
01/03/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
29/02/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
28/02/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
27/02/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
26/02/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
23/02/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
22/02/2024,31.5,29.02,0(0.00 %),"1,000",0.03,0,0,31.5,31.5,31.5,btt
21/02/2024,31.5,29.02,0(0.00 %),600,0.02,0,0,31.5,31.5,31.5,btt
20/02/2024,31.5,29.02,0(0.00 %),200,0.01,0,0,31.7,31.7,31.5,btt
19/02/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
16/02/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
15/02/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
07/02/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
06/02/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
05/02/2024,31.5,29.02,0(0.00 %),0,0.0,0,0,31.5,31.5,31.5,btt
02/02/2024,31.5,29.02,1.5(5.00 %),100,0.0,0,0,31.5,31.5,31.5,btt
01/02/2024,30.0,27.64,0(0.00 %),0,0.0,0,0,30.0,30.0,30.0,btt
31/01/2024,30.0,27.64,0(0.00 %),0,0.0,0,0,30.0,30.0,30.0,btt
30/01/2024,30.0,27.64,0(0.00 %),0,0.0,0,0,30.0,30.0,30.0,btt
29/01/2024,30.0,27.64,0(0.00 %),0,0.0,0,0,30.0,30.0,30.0,btt
26/01/2024,30.0,27.64,0(0.00 %),0,0.0,0,0,30.0,30.0,30.0,btt
