date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,38.8(0.00 %),0,0,0,0,0,0,"-663,043",4.91%,btt
11/09/2024,38.8(-0.26 %),0,0,0,0,0,0,"-663,043",4.91%,btt
10/09/2024,38.9(-6.94 %),0,0,0,0,0,0,"-663,043",4.91%,btt
09/09/2024,41.8(0.00 %),0,0,0,0,0,0,"-663,043",4.91%,btt
06/09/2024,41.8(0.00 %),0,0,0,0,0,0,"-663,043",4.91%,btt
05/09/2024,41.8(0.00 %),0,0,0,0,0,0,"-663,043",4.91%,btt
04/09/2024,41.8(6.77 %),0,0,0,0,0,0,"-663,043",4.91%,btt
30/08/2024,42.5(0.00 %),0,0,0,0,0,0,"-663,043",4.91%,btt
29/08/2024,42.5(1.43 %),0,0,0,0,0,0,"-663,043",4.91%,btt
28/08/2024,41.9(6.89 %),0,0,0,0,0,0,"-663,043",4.91%,btt
27/08/2024,39.2(-5.54 %),0,0,0,0,0,0,"-663,043",4.91%,btt
26/08/2024,41.5(-1.19 %),0,0,0,0,0,0,"-663,043",4.91%,btt
23/08/2024,42(2.44 %),0,0,0,0,0,0,"-663,043",4.91%,btt
22/08/2024,41(0.00 %),0,0,0,0,0,0,"-663,043",4.91%,btt
21/08/2024,41(5.53 %),0,0,0,0,0,0,"-663,143",4.91%,btt
20/08/2024,38.85(6.88 %),-100,0,0,0,100,0,"-663,143",4.91%,btt
19/08/2024,36.35(6.91 %),0,0,0,0,0,0,"-663,143",4.91%,btt
16/08/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
15/08/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
14/08/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
13/08/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
12/08/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
09/08/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
08/08/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
07/08/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
06/08/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
05/08/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
02/08/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
01/08/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
31/07/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
30/07/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
29/07/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
24/07/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
23/07/2024,34(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
22/07/2024,34(-5.29 %),0,0,0,0,0,0,"-663,143",4.91%,btt
19/07/2024,35.9(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
18/07/2024,35.9(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
17/07/2024,0(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
16/07/2024,0(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
15/07/2024,35.9(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
12/07/2024,35.9(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
11/07/2024,35.9(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
10/07/2024,35.9(5.59 %),0,0,0,0,0,0,"-663,143",4.91%,btt
08/07/2024,36.5(0.00 %),0,0,0,0,0,0,"-663,143",4.91%,btt
04/07/2024,36(1.41 %),-100,0,0,0,100,0,"-663,243",4.91%,btt
03/07/2024,35.5(0.00 %),0,0,0,0,0,0,0,4.91%,btt
02/07/2024,35.5(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
01/07/2024,35.5(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
28/06/2024,35.5(5.97 %),0,0,0,0,0,0,"-663,243",4.91%,btt
27/06/2024,33.5(-6.94 %),0,0,0,0,0,0,"-663,243",4.91%,btt
26/06/2024,36(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
25/06/2024,36(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
24/06/2024,36(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
21/06/2024,36(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
20/06/2024,36(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
19/06/2024,36(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
18/06/2024,36(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
17/06/2024,0(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
14/06/2024,0(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
13/06/2024,36(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
12/06/2024,36(-0.96 %),0,0,0,0,0,0,"-663,243",4.91%,btt
11/06/2024,36.35(0.00 %),0,0,0,0,0,0,0,4.91%,btt
10/06/2024,36.35(6.91 %),0,0,0,0,0,0,0,51.26%,btt
07/06/2024,34(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
06/06/2024,34(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
05/06/2024,34(2.41 %),0,0,0,0,0,0,0,51.26%,btt
04/06/2024,33.2(-1.48 %),0,0,0,0,0,0,0,51.26%,btt
03/06/2024,33.7(2.12 %),0,0,0,0,0,0,0,51.26%,btt
31/05/2024,33(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
30/05/2024,33(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
29/05/2024,33(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
28/05/2024,33(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
27/05/2024,33(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
24/05/2024,33(0.00 %),0,0,0,0,0,0,0,51.26%,btt
23/05/2024,33(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
22/05/2024,33(0.92 %),0,0,0,0,0,0,"-663,243",4.91%,btt
21/05/2024,32.7(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
20/05/2024,32.7(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
17/05/2024,32.7(0.00 %),0,0,0,0,0,0,"-663,243",4.91%,btt
16/05/2024,32.7(0.00 %),0,0,0,0,0,0,0,51.26%,btt
15/05/2024,32.7(0.00 %),0,0,0,0,0,0,0,51.26%,btt
