date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,15.2 ( 0 %),1,200,200,1,300,300,-100,btu
11/09/2024,15.2 ( 0 %),1,200,200,2,400,200,-200,btu
10/09/2024,15.2 ( 0 %),1,200,200,2,400,200,-200,btu
09/09/2024,15.2 ( 0 %),1,200,200,3,600,200,-400,btu
06/09/2024,15.2 ( 0 %),1,200,200,2,400,200,-200,btu
05/09/2024,15.2 ( 0 %),1,200,200,1,300,300,-100,btu
04/09/2024,14.5 ( -6.45 %),3,500,166.67,4,600,150,-100,btu
30/08/2024,15.5 ( 10.71 %),3,"1,200",400,1,400,400,800,btu
29/08/2024,14 ( 0 %),2,"5,100","2,550",1,100,100,"5,000",btu
28/08/2024,14.5 ( 0 %),3,200,66.67,3,400,133,-200,btu
27/08/2024,14.5 ( 0 %),4,500,125,3,700,233,-200,btu
26/08/2024,14.5 ( -12.12 %),1,100,100,3,"2,500",833,"-2,400",btu
23/08/2024,16.5 ( 0 %),0,0,0,2,"2,500","1,250","-2,500",btu
22/08/2024,16.5 ( 10 %),2,400,200,2,"2,600","1,300","-2,200",btu
21/08/2024,15 ( -14.29 %),2,300,150,3,"2,900",967,"-2,600",btu
20/08/2024,17.5 ( 0 %),1,200,200,2,"2,700","1,350","-2,500",btu
19/08/2024,17.5 ( 0 %),0,0,0,2,"2,700","1,350","-2,700",btu
16/08/2024,17.5 ( 0 %),0,0,0,2,"2,700","1,350","-2,700",btu
15/08/2024,17.5 ( 0 %),0,0,0,2,"2,700","1,350","-2,700",btu
14/08/2024,17.5 ( 0 %),0,0,0,2,"2,700","1,350","-2,700",btu
13/08/2024,17.5 ( 1.74 %),1,100,100,2,"2,800","1,400","-2,700",btu
12/08/2024,17.2 ( 0 %),0,0,0,1,800,800,-800,btu
09/08/2024,17.2 ( 0 %),0,0,0,1,"2,000","2,000","-2,000",btu
08/08/2024,17.2 ( 0 %),0,0,0,0,0,0,0,btu
07/08/2024,17.2 ( 0 %),0,0,0,0,0,0,0,btu
06/08/2024,17.2 ( 0 %),0,0,0,2,900,450,-900,btu
05/08/2024,17.2 ( 0 %),0,0,0,1,0,0,0,btu
02/08/2024,17.2 ( 0 %),0,0,0,3,"1,000",333,"-1,000",btu
01/08/2024,17.2 ( 0 %),0,0,0,2,"1,100",550,"-1,100",btu
31/07/2024,17.2 ( 4.24 %),1,100,100,2,"1,200",600,"-1,100",btu
30/07/2024,16.5 ( 0 %),0,0,0,1,900,900,-900,btu
29/07/2024,16.5 ( 6.45 %),1,100,100,1,"1,000","1,000",-900,btu
26/07/2024,15.5 ( 0 %),0,0,0,2,"3,000","1,500","-3,000",btu
25/07/2024,15.5 ( 0 %),0,0,0,1,"1,000","1,000","-1,000",btu
24/07/2024,15.5 ( 0 %),0,0,0,1,"1,000","1,000","-1,000",btu
23/07/2024,15.5 ( 0 %),0,0,0,1,"1,000","1,000","-1,000",btu
22/07/2024,15.5 ( 0 %),0,0,0,1,"1,000","1,000","-1,000",btu
19/07/2024,15.5 ( 0 %),1,300,300,3,"8,000","2,667","-7,700",btu
18/07/2024,15.5 ( 0 %),0,0,0,2,"2,800","1,400","-2,800",btu
17/07/2024,16.5 ( 0 %),2,200,100,2,"2,000","1,000","-1,800",btu
16/07/2024,16.5 ( 0 %),5,"2,400",480,2,"5,200","2,600","-2,800",btu
15/07/2024,16.5 ( 3.12 %),2,100,50,2,"5,200","2,600","-5,100",btu
12/07/2024,16 ( 0 %),2,"3,100","1,550",0,0,0,"3,100",btu
11/07/2024,16 ( 8.11 %),4,"2,000",500,1,700,700,"1,300",btu
10/07/2024,14.8 ( 0 %),1,0,0,1,700,700,-700,btu
09/07/2024,14.8 ( 0 %),1,0,0,1,700,700,-700,btu
08/07/2024,14.8 ( 0 %),0,0,0,1,700,700,-700,btu
05/07/2024,14.8 ( 0 %),3,200,66.67,2,800,400,-600,btu
04/07/2024,14.8 ( 0 %),2,"1,200",600,6,"4,800",800,"-3,600",btu
03/07/2024,14.8 ( 0 %),1,200,200,2,800,400,-600,btu
02/07/2024,14.8 ( 0 %),1,200,200,1,100,100,100,btu
01/07/2024,14.8 ( 0 %),2,"10,000","5,000",1,100,100,"9,900",btu
28/06/2024,14.8 ( 0 %),0,0,0,1,100,100,-100,btu
27/06/2024,14.8 ( 0 %),5,"7,400","1,480",5,"2,500",500,"4,900",btu
26/06/2024,14.8 ( 0 %),1,100,100,3,900,300,-800,btu
25/06/2024,14.8 ( 0 %),2,"1,800",900,5,"1,700",340,100,btu
24/06/2024,14.8 ( -7.5 %),2,300,150,3,900,300,-600,btu
21/06/2024,16 ( 0 %),1,400,400,2,800,400,-400,btu
20/06/2024,16 ( 0 %),0,0,0,3,900,300,-900,btu
19/06/2024,16 ( 0 %),0,0,0,2,800,400,-800,btu
18/06/2024,16 ( 0 %),1,0,0,2,800,400,-800,btu
17/06/2024,16 ( 0 %),0,0,0,1,100,100,-100,btu
14/06/2024,16 ( 0 %),1,"6,000","6,000",4,"2,900",725,"3,100",btu
13/06/2024,16 ( 0 %),1,100,100,2,800,400,-700,btu
12/06/2024,16 ( 0 %),0,0,0,2,200,100,-200,btu
11/06/2024,16 ( 0 %),0,0,0,3,900,300,-900,btu
10/06/2024,16 ( 0 %),1,100,100,1,100,100,0,btu
07/06/2024,16 ( 0 %),1,"2,000","2,000",2,800,400,"1,200",btu
06/06/2024,16 ( 0 %),1,100,100,2,800,400,-700,btu
05/06/2024,16 ( 0 %),1,100,100,3,900,300,-800,btu
04/06/2024,16 ( 14.29 %),2,600,300,1,800,800,-200,btu
03/06/2024,14 ( 3.7 %),1,100,100,2,900,450,-800,btu
31/05/2024,16 ( 0 %),3,"1,200",400,3,"4,000","1,333","-2,800",btu
30/05/2024,16 ( 0 %),1,300,300,1,900,900,-600,btu
29/05/2024,16 ( 0 %),1,300,300,1,900,900,-600,btu
28/05/2024,16 ( 0 %),4,"50,900","12,725",1,900,900,"50,000",btu
