date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,12.3(0.00 %),0,0,0,0,0,0,-30,0%,btv
11/09/2024,12.3(0.00 %),0,0,0,0,0,0,-30,0%,btv
10/09/2024,12.3(0.00 %),0,0,0,0,0,0,-30,0%,btv
09/09/2024,12.3(-1.60 %),0,0,0,0,0,0,-30,0%,btv
06/09/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
05/09/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
04/09/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
30/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
29/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
28/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
27/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
26/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
23/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
22/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
21/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
20/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
19/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
16/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
15/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
14/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
13/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
12/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
09/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
08/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
07/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
06/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
05/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
02/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
01/08/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
31/07/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
30/07/2024,12.5(0.00 %),0,0,0,0,0,0,-30,0%,btv
29/07/2024,12.5(10.62 %),0,0,0,0,0,0,-30,0%,btv
24/07/2024,11.3(0.00 %),0,0,0,0,0,0,-30,0%,btv
23/07/2024,11.5(1.77 %),0,0,0,0,0,0,-30,0%,btv
22/07/2024,11.5(1.77 %),0,0,0,0,0,0,-30,0%,btv
19/07/2024,11.5(3.60 %),0,0,0,0,0,0,-30,0%,btv
18/07/2024,11.1(0.00 %),0,0,0,0,0,0,-30,0%,btv
17/07/2024,0(0.00 %),0,0,0,0,0,0,-30,0%,btv
16/07/2024,0(0.00 %),0,0,0,0,0,0,-30,0%,btv
15/07/2024,13.7(-4.86 %),0,0,0,0,0,0,-30,0%,btv
12/07/2024,14.4(14.29 %),0,0,0,0,0,0,-30,0%,btv
11/07/2024,12.6(14.55 %),0,0,0,0,0,0,-30,0%,btv
10/07/2024,11(-5.98 %),0,0,0,0,0,0,-30,0%,btv
08/07/2024,10.1(-13.68 %),0,0,0,0,0,0,-30,0%,btv
04/07/2024,10.1(-1.94 %),0,0,0,0,0,0,-30,0%,btv
03/07/2024,10.1(-4.72 %),0,0,0,0,0,0,0,49.09%,btv
02/07/2024,10.6(-11.67 %),0,0,0,0,0,0,-30,0%,btv
01/07/2024,10.9(-13.49 %),0,0,0,0,0,0,-30,0%,btv
28/06/2024,12.6(0.00 %),0,0,0,0,0,0,-30,0%,btv
27/06/2024,12.6(0.00 %),0,0,0,0,0,0,-30,0%,btv
26/06/2024,12.6(0.00 %),0,0,0,0,0,0,-30,0%,btv
25/06/2024,12.6(0.00 %),0,0,0,0,0,0,-30,0%,btv
