date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,46.8(-9.83 %),0,0.0,0,0.0,0,0.0,"2,545,381",21.81%,btw
11/09/2024,51.9(-9.90 %),-100,-0.01,0,0.0,100,0.01,"2,545,281",21.81%,btw
10/09/2024,57.6(6.67 %),900,0.04,"1,000",0.05,100,0.0,"2,545,281",21.81%,btw
09/09/2024,54(8.22 %),0,0.0,0,0.0,0,0.0,"2,546,181",21.8%,btw
06/09/2024,49.9(-4.59 %),900,0.04,"1,000",0.05,100,0.0,"2,546,081",21.8%,btw
05/09/2024,52.3(9.19 %),400,0.02,500,0.02,100,0.0,"2,546,981",21.79%,btw
04/09/2024,47.9(-2.24 %),-100,-0.0,0,0.0,100,0.0,"2,547,381",21.78%,btw
30/08/2024,49(9.13 %),900,0.04,"1,000",0.04,100,0.0,"2,547,281",21.79%,btw
29/08/2024,45.8(9.83 %),-100,-0.0,0,0.0,100,0.0,"2,548,281",21.77%,btw
28/08/2024,41.7(9.74 %),500,0.02,500,0.02,0,0.0,"2,548,281",21.77%,btw
27/08/2024,38(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
26/08/2024,38(4.40 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
23/08/2024,36.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
22/08/2024,36.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
21/08/2024,36.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
20/08/2024,36.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
19/08/2024,36.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
16/08/2024,36.4(0.83 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
15/08/2024,36.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
14/08/2024,36.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
13/08/2024,36.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
12/08/2024,36.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
09/08/2024,36.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
08/08/2024,36.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
07/08/2024,36.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,681",21.77%,btw
06/08/2024,36.1(-0.28 %),0,0.0,100,0.0,100,0.0,"2,548,681",21.77%,btw
05/08/2024,36.2(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
02/08/2024,36.2(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
01/08/2024,36.2(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
31/07/2024,36.2(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
30/07/2024,36.2(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
29/07/2024,36.2(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,781",21.77%,btw
24/07/2024,40.1(9.86 %),0,0.0,0,0.0,0,0.0,"2,548,681",21.77%,btw
23/07/2024,36.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,548,681",21.77%,btw
22/07/2024,36.5(-3.44 %),0,0.0,0,0.0,0,0.0,"2,548,681",21.77%,btw
19/07/2024,37.8(-2.33 %),"3,000",0.11,"3,000",0.11,0,0.0,"2,548,581",21.77%,btw
18/07/2024,38.7(-9.37 %),-100,-0.0,0,0.0,100,0.0,"2,551,581",21.74%,btw
17/07/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,581",21.74%,btw
16/07/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,581",21.74%,btw
15/07/2024,38.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,581",21.74%,btw
12/07/2024,38.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,581",21.74%,btw
11/07/2024,38.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,581",21.74%,btw
10/07/2024,38.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,581",21.74%,btw
08/07/2024,38.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,581",21.74%,btw
04/07/2024,38.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,581",21.74%,btw
03/07/2024,38.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,581",21.74%,btw
02/07/2024,38.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,581",21.74%,btw
01/07/2024,38.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,581",21.74%,btw
28/06/2024,38.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,481",21.74%,btw
27/06/2024,38.9(-8.90 %),-100,-0.0,0,0.0,100,0.0,"2,551,481",21.74%,btw
26/06/2024,42.7(9.77 %),0,0.0,0,0.0,0,0.0,"2,551,481",21.74%,btw
25/06/2024,38.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,381",21.74%,btw
24/06/2024,38.9(-9.32 %),-100,-0.0,0,0.0,100,0.0,"2,551,381",21.74%,btw
21/06/2024,42.9(10.00 %),0,0.0,0,0.0,0,0.0,"2,551,381",21.74%,btw
20/06/2024,39(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,381",21.74%,btw
19/06/2024,39(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,381",21.74%,btw
18/06/2024,39(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,381",21.74%,btw
17/06/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,381",21.74%,btw
14/06/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,381",21.74%,btw
13/06/2024,39(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,381",21.74%,btw
12/06/2024,39(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,381",21.74%,btw
11/06/2024,39(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,381",21.74%,btw
10/06/2024,39(3.17 %),0,0.0,0,0.0,0,0.0,"2,551,381",0%,btw
07/06/2024,37.8(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,381",21.74%,btw
06/06/2024,37.8(0.00 %),100,0.0,100,0.0,0,0.0,"2,546,881",21.79%,btw
05/06/2024,37.8(0.00 %),-200,-0.01,"4,300",0.16,"4,500",0.17,"2,546,981",0%,btw
04/06/2024,37.8(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,281",0%,btw
03/06/2024,37.8(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,281",0%,btw
31/05/2024,37.8(0.27 %),600,0.02,600,0.02,0,0.0,"2,551,281",21.74%,btw
30/05/2024,37.7(-0.26 %),0,0.0,0,0.0,0,0.0,"2,551,881",21.74%,btw
29/05/2024,37.8(5.00 %),0,0.0,0,0.0,0,0.0,"2,551,881",21.74%,btw
28/05/2024,36(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,881",21.74%,btw
27/05/2024,36(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,881",21.74%,btw
24/05/2024,36(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,881",0%,btw
23/05/2024,36(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,881",21.74%,btw
22/05/2024,36(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,881",21.74%,btw
21/05/2024,36(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,881",21.74%,btw
20/05/2024,36(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,781",21.74%,btw
17/05/2024,36(-3.23 %),-100,-0.0,0,0.0,100,0.0,"2,551,681",21.74%,btw
16/05/2024,38.5(0.00 %),-100,-0.0,0,0.0,100,0.0,"2,551,581",0%,btw
15/05/2024,38.5(0.00 %),-100,-0.0,0,0.0,100,0.0,"2,551,581",0%,btw
14/05/2024,38.5(9.69 %),0,0.0,0,0.0,0,0.0,"2,551,581",0%,btw
13/05/2024,35.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,551,581",21.74%,btw
10/05/2024,35.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",21.75%,btw
09/05/2024,35.1(-3.84 %),"-1,000",-0.04,0,0.0,"1,000",0.04,"2,550,581",21.75%,btw
08/05/2024,36.5(-2.67 %),0,0.0,0,0.0,0,0.0,"2,550,581",21.75%,btw
07/05/2024,37.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",21.75%,btw
06/05/2024,37.5(3.31 %),0,0.0,0,0.0,0,0.0,"2,550,581",21.75%,btw
03/05/2024,36.3(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",21.75%,btw
02/05/2024,36.3(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",21.75%,btw
26/04/2024,36.3(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",21.75%,btw
25/04/2024,36.3(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",0%,btw
24/04/2024,36.3(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",0%,btw
23/04/2024,36.3(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",21.75%,btw
22/04/2024,36.3(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",21.75%,btw
19/04/2024,36.3(-9.02 %),0,0.0,0,0.0,0,0.0,"2,550,581",0%,btw
17/04/2024,39.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",0%,btw
16/04/2024,39.9(6.12 %),0,0.0,0,0.0,0,0.0,"2,550,581",0%,btw
15/04/2024,37.6(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",0%,btw
12/04/2024,37.6(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",21.75%,btw
11/04/2024,37.6(0.00 %),100,0.0,100,0.0,0,0.0,"2,550,581",21.75%,btw
10/04/2024,37.6(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,681",0%,btw
09/04/2024,37.6(9.62 %),0,0.0,0,0.0,0,0.0,"2,550,681",0%,btw
08/04/2024,34.3(0.00 %),0,0.0,0,0.0,0,0.0,"2,550,581",0%,btw
