date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
11/09/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
10/09/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
09/09/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
06/09/2024,2.2 ( 0 %),8,"52,800","6,600",25,"60,900","2,436","-8,100",bvg
05/09/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
04/09/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
30/08/2024,2.2 ( 4.76 %),20,"64,800","3,240",40,"105,500","2,638","-40,700",bvg
29/08/2024,2.1 ( 0 %),0,0,0,0,0,0,0,bvg
28/08/2024,2.1 ( 0 %),0,0,0,0,0,0,0,bvg
27/08/2024,2.1 ( 0 %),0,0,0,0,0,0,0,bvg
26/08/2024,2.1 ( 0 %),0,0,0,0,0,0,0,bvg
23/08/2024,2.1 ( 5 %),27,"104,600","3,874.07",30,"56,200","1,873","48,400",bvg
22/08/2024,2 ( 0 %),0,0,0,0,0,0,0,bvg
21/08/2024,2 ( 0 %),0,0,0,0,0,0,0,bvg
20/08/2024,2 ( 0 %),0,0,0,0,0,0,0,bvg
19/08/2024,2 ( 0 %),0,0,0,0,0,0,0,bvg
16/08/2024,2 ( 0 %),23,"114,100","4,960.87",21,"44,000","2,095","70,100",bvg
15/08/2024,2 ( 0 %),0,0,0,0,0,0,0,bvg
14/08/2024,2 ( 0 %),0,0,0,0,0,0,0,bvg
13/08/2024,2 ( 0 %),0,0,0,0,0,0,0,bvg
12/08/2024,2 ( 0 %),0,0,0,0,0,0,0,bvg
09/08/2024,2 ( 0 %),27,"70,900","2,625.93",29,"68,900","2,376","2,000",bvg
08/08/2024,2 ( 0 %),0,0,0,0,0,0,0,bvg
07/08/2024,2 ( 0 %),0,0,0,0,0,0,0,bvg
06/08/2024,2 ( 0 %),0,0,0,0,0,0,0,bvg
05/08/2024,2 ( 0 %),0,0,0,0,0,0,0,bvg
02/08/2024,2 ( -9.09 %),23,"73,100","3,178.26",30,"138,800","4,627","-65,700",bvg
01/08/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
31/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
30/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
29/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
26/07/2024,2.2 ( 0 %),20,"61,300","3,065",34,"122,700","3,609","-61,400",bvg
25/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
24/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
23/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
22/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
19/07/2024,2.2 ( 0 %),17,"108,400","6,376.47",27,"115,000","4,259","-6,600",bvg
18/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
17/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
16/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
15/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
12/07/2024,2.1 ( -4.55 %),30,"224,800","7,493.33",47,"163,200","3,472","61,600",bvg
11/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
10/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
09/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
08/07/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
05/07/2024,2.2 ( -4.35 %),26,"114,800","4,415.38",52,"140,400","2,700","-25,600",bvg
04/07/2024,2.3 ( 0 %),0,0,0,0,0,0,0,bvg
03/07/2024,2.3 ( 0 %),0,0,0,0,0,0,0,bvg
02/07/2024,2.3 ( 0 %),0,0,0,0,0,0,0,bvg
01/07/2024,2.3 ( 0 %),0,0,0,0,0,0,0,bvg
28/06/2024,2.2 ( -4.35 %),22,"162,800","7,400",44,"224,000","5,091","-61,200",bvg
27/06/2024,2.3 ( 0 %),0,0,0,0,0,0,0,bvg
26/06/2024,2.3 ( 0 %),0,0,0,0,0,0,0,bvg
25/06/2024,2.3 ( 0 %),0,0,0,0,0,0,0,bvg
24/06/2024,2.3 ( 0 %),0,0,0,0,0,0,0,bvg
21/06/2024,2.3 ( 0 %),27,"324,700","12,025.93",81,"311,400","3,844","13,300",bvg
20/06/2024,2.3 ( 0 %),0,0,0,0,0,0,0,bvg
19/06/2024,2.3 ( 0 %),0,0,0,0,0,0,0,bvg
18/06/2024,2.3 ( 0 %),0,0,0,0,0,0,0,bvg
17/06/2024,2.3 ( 0 %),0,0,0,0,0,0,0,bvg
14/06/2024,2.2 ( 0 %),30,"305,800","10,193.33",77,"353,100","4,586","-47,300",bvg
13/06/2024,2.2 ( 0 %),0,0,0,0,0,0,0,bvg
