date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,17.6(0.00 %),0,0.0,0,0,0,0.0,"9,459,459",0.08%,c21
11/09/2024,17.6(0.00 %),0,0.0,0,0,0,0.0,"9,459,459",0.08%,c21
10/09/2024,17.6(-0.56 %),0,0.0,0,0,0,0.0,"9,459,459",0.08%,c21
09/09/2024,17.7(-7.33 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
06/09/2024,19.8(3.66 %),-3,-0.0,0,0,3,0.0,"9,459,456",0.08%,c21
05/09/2024,19.8(14.45 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
04/09/2024,17.3(-8.47 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
30/08/2024,18.9(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
29/08/2024,18.9(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
28/08/2024,18.9(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
27/08/2024,18.9(-3.08 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
26/08/2024,19(11.76 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
23/08/2024,17(14.86 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
22/08/2024,14.8(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
21/08/2024,14.8(-10.84 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
20/08/2024,16.6(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
19/08/2024,16.6(14.48 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
16/08/2024,14.5(-13.69 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
15/08/2024,16.8(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
14/08/2024,16.5(-0.60 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
13/08/2024,16.6(-9.29 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
12/08/2024,18.6(1.64 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
09/08/2024,18.6(14.81 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
08/08/2024,16.2(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
07/08/2024,16.2(-6.36 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
06/08/2024,17.3(-1.70 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
05/08/2024,17.6(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
02/08/2024,17.6(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
01/08/2024,17.6(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
31/07/2024,17.6(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
30/07/2024,17.6(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
29/07/2024,17.6(0.00 %),0,0.0,0,0,0,0.0,"9,459,456",0.08%,c21
24/07/2024,17.6(-4.86 %),-900,-0.02,0,0,900,0.02,"9,458,556",0.08%,c21
23/07/2024,18.5(0.00 %),0,0.0,0,0,0,0.0,"9,458,556",0.08%,c21
22/07/2024,18.5(0.00 %),0,0.0,0,0,0,0.0,"9,458,556",0.08%,c21
19/07/2024,18.5(0.00 %),0,0.0,0,0,0,0.0,"9,458,556",0.08%,c21
18/07/2024,18.5(0.00 %),0,0.0,0,0,0,0.0,"9,458,556",0.08%,c21
17/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"9,458,556",0.08%,c21
16/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"9,458,556",0.08%,c21
15/07/2024,18.5(2.78 %),0,0.0,0,0,0,0.0,"9,458,556",0.08%,c21
12/07/2024,18(0.00 %),0,0.0,0,0,0,0.0,"9,458,556",0.08%,c21
11/07/2024,17.9(-4.79 %),0,0.0,0,0,0,0.0,"9,458,556",0.08%,c21
10/07/2024,18.8(0.00 %),0,0.0,0,0,0,0.0,"9,458,556",0.08%,c21
08/07/2024,16.7(-6.70 %),0,0.0,0,0,0,0.0,"9,458,556",0.08%,c21
