date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,48.6,--,-0.2(-0.41 %),"21,902",1.06,0,0.0,48.8,48.8,48.3,cap
11/09/2024,48.8,--,0(0.00 %),"8,234",0.4,0,0.0,48.8,48.8,48.3,cap
10/09/2024,48.8,--,-0.2(-0.41 %),"42,140",2.05,0,0.0,48.6,49.0,48.4,cap
09/09/2024,49.0,--,-0.1(-0.20 %),"16,545",0.81,0,0.0,49.2,49.2,48.5,cap
06/09/2024,49.1,--,-0.4(-0.81 %),"9,562",0.47,0,0.0,49.3,49.4,49.1,cap
05/09/2024,49.5,--,0.1(0.20 %),"6,953",0.34,0,0.0,49.8,49.8,49.4,cap
04/09/2024,49.4,--,-0.6(-1.20 %),"17,947",0.89,0,0.0,50.0,50.0,49.0,cap
30/08/2024,50.0,--,-0.2(-0.40 %),"5,810",0.29,0,0.0,50.3,50.3,50.0,cap
29/08/2024,50.2,--,-0.1(-0.20 %),"8,000",0.4,0,0.0,50.3,50.4,50.0,cap
28/08/2024,50.3,--,0.6(1.21 %),"30,750",1.54,0,0.0,49.7,50.3,49.7,cap
27/08/2024,49.7,--,0.2(0.40 %),"9,063",0.45,0,0.0,49.5,50.0,49.5,cap
26/08/2024,49.5,--,-0.3(-0.60 %),"16,169",0.8,0,0.0,49.8,49.8,49.5,cap
23/08/2024,49.8,--,-0.4(-0.80 %),"10,601",0.53,0,0.0,50.2,50.2,49.8,cap
22/08/2024,50.2,--,0.4(0.80 %),"35,516",1.78,0,0.0,50.0,50.3,49.8,cap
21/08/2024,49.8,--,-0.4(-0.80 %),"16,000",0.8,0,0.0,50.2,50.2,49.8,cap
20/08/2024,50.2,--,0.3(0.60 %),"55,506",2.78,0,0.0,49.9,50.5,49.6,cap
19/08/2024,49.9,--,0(0.00 %),"7,253",0.36,0,0.0,50.4,50.4,49.8,cap
16/08/2024,49.9,--,0.1(0.20 %),"39,326",1.97,0,0.0,49.5,50.5,49.3,cap
15/08/2024,49.8,--,-0.1(-0.20 %),"4,090",0.2,0,0.0,49.9,49.9,48.9,cap
14/08/2024,49.9,--,0.1(0.20 %),"3,212",0.16,0,0.0,49.8,50.0,49.8,cap
13/08/2024,49.8,--,0.1(0.20 %),"9,178",0.46,0,0.0,49.7,50.2,49.7,cap
12/08/2024,49.7,--,-0.1(-0.20 %),"22,264",1.11,0,0.0,49.8,50.5,49.7,cap
09/08/2024,49.8,--,-1.2(-2.35 %),"16,679",0.83,0,0.0,50.3,51.0,49.5,cap
08/08/2024,51.0,--,3(6.25 %),"20,288",1.01,0,0.0,48.6,51.0,48.5,cap
07/08/2024,48.0,--,0.4(0.84 %),"21,281",1.01,0,0.0,47.6,48.0,47.0,cap
06/08/2024,47.6,--,-0.4(-0.83 %),"37,291",1.77,0,0.0,48.0,48.0,47.0,cap
05/08/2024,48.0,--,-1.5(-3.03 %),"31,883",1.55,0,0.0,49.0,49.5,48.0,cap
02/08/2024,49.5,--,-0.5(-1.00 %),"18,826",0.93,0,0.0,49.5,49.9,49.1,cap
01/08/2024,50.0,--,-0.4(-0.79 %),"29,014",1.45,0,0.0,50.4,50.4,49.3,cap
31/07/2024,50.4,--,-0.1(-0.20 %),"38,332",1.93,0,0.0,50.5,50.5,50.0,cap
30/07/2024,50.5,--,-0.5(-0.98 %),"13,800",0.7,0,0.0,51.0,51.1,50.2,cap
29/07/2024,51.0,--,1(2.00 %),"37,630",1.89,0,0.0,50.0,51.0,50.0,cap
26/07/2024,50.0,--,-0.6(-1.19 %),"66,663",3.32,0,0.0,50.6,50.6,49.0,cap
25/07/2024,50.6,--,-0.7(-1.36 %),"38,581",1.95,0,0.0,51.0,51.0,50.2,cap
24/07/2024,51.3,--,0.6(1.18 %),"36,240",1.83,0,0.0,50.7,51.3,50.1,cap
23/07/2024,50.7,--,-0.4(-0.78 %),"56,859",2.89,0,0.0,51.5,51.5,50.5,cap
22/07/2024,51.1,--,-1.2(-2.29 %),"76,365",3.91,0,0.0,52.0,52.0,50.9,cap
19/07/2024,52.3,--,0(0.00 %),"13,100",0.69,0,0.0,52.3,52.6,52.2,cap
18/07/2024,52.3,--,-0.5(-0.95 %),"23,800",1.24,0,0.0,52.6,52.6,52.0,cap
17/07/2024,52.8,--,-0.9(-1.68 %),"40,032",2.13,0,0.0,53.7,53.7,52.0,cap
16/07/2024,53.7,--,0.1(0.19 %),"28,363",1.52,0,0.0,53.6,53.8,53.5,cap
15/07/2024,53.6,--,-0.3(-0.56 %),"22,463",1.2,0,0.0,53.9,53.9,53.3,cap
12/07/2024,53.9,--,-0.6(-1.10 %),"37,678",2.04,0,0.0,54.4,54.5,53.9,cap
11/07/2024,54.5,--,0(0.00 %),"33,709",1.83,0,0.0,54.5,55.0,54.1,cap
10/07/2024,54.5,--,1(1.87 %),"53,781",2.92,0,0.0,54.0,55.0,53.5,cap
09/07/2024,53.5,--,1.5(2.88 %),"59,782",3.15,0,0.0,52.2,53.5,52.1,cap
08/07/2024,52.0,--,0.3(0.58 %),"33,962",1.76,0,0.0,51.7,52.1,51.7,cap
05/07/2024,51.7,--,-0.4(-0.77 %),"29,101",1.51,0,0.0,52.0,52.0,51.6,cap
04/07/2024,52.1,--,0(0.00 %),"42,104",2.19,0,0.0,52.3,52.3,51.8,cap
03/07/2024,52.1,--,0.1(0.19 %),"23,975",1.25,0,0.0,53.0,53.0,52.0,cap
02/07/2024,52.0,--,0.5(0.97 %),"39,751",2.07,0,0.0,51.5,52.8,51.5,cap
01/07/2024,51.5,--,-0.6(-1.15 %),"66,618",3.43,0,0.0,52.1,52.1,51.3,cap
28/06/2024,52.1,--,-0.7(-1.33 %),"47,048",2.47,0,0.0,52.8,52.9,51.9,cap
27/06/2024,52.8,--,1(1.93 %),"91,173",4.74,0,0.0,51.8,52.8,51.4,cap
26/06/2024,51.8,--,-0.8(-1.52 %),"45,842",2.39,0,0.0,52.8,52.8,51.8,cap
25/06/2024,52.6,--,-0.8(-1.50 %),"61,331",3.21,0,0.0,53.4,53.4,51.3,cap
24/06/2024,53.4,--,-1.7(-3.09 %),"84,357",4.56,0,0.0,55.1,55.1,53.2,cap
21/06/2024,55.1,--,-0.4(-0.72 %),"41,586",2.29,0,0.0,55.1,55.2,54.9,cap
20/06/2024,55.5,--,-0.1(-0.18 %),"52,954",2.92,0,0.0,55.6,55.6,55.0,cap
19/06/2024,55.6,--,0(0.00 %),"26,316",1.46,0,0.0,55.6,56.0,55.2,cap
18/06/2024,55.6,--,0.2(0.36 %),"25,640",1.42,0,0.0,56.0,56.0,55.2,cap
17/06/2024,55.4,--,-0.3(-0.54 %),"25,474",1.41,0,0.0,55.6,56.0,55.0,cap
14/06/2024,55.7,--,-0.1(-0.18 %),"37,091",2.07,0,0.0,55.8,56.1,55.5,cap
13/06/2024,55.8,--,0.6(1.09 %),"34,074",1.9,0,0.0,55.2,56.2,55.2,cap
12/06/2024,55.2,--,-1(-1.78 %),"79,326",4.37,0,0.0,56.0,56.0,54.3,cap
11/06/2024,56.2,--,-0.7(-1.23 %),"52,106",2.94,0,0.0,57.0,57.1,56.0,cap
10/06/2024,56.9,--,-0.8(-1.39 %),"29,424",1.69,0,0.0,57.7,57.8,56.8,cap
07/06/2024,57.7,--,0(0.00 %),"21,240",1.22,0,0.0,57.7,57.8,57.3,cap
06/06/2024,57.7,--,0.1(0.17 %),"15,434",0.89,0,0.0,57.6,57.8,57.4,cap
05/06/2024,57.6,--,-0.3(-0.52 %),"50,457",2.9,0,0.0,57.9,57.9,57.2,cap
04/06/2024,57.9,--,-0.1(-0.17 %),"28,483",1.65,0,0.0,58.0,58.3,57.8,cap
03/06/2024,58.0,--,1(1.75 %),"34,815",2.02,0,0.0,57.0,58.3,57.0,cap
31/05/2024,57.0,--,0.3(0.53 %),"57,661",3.29,0,0.0,56.7,58.5,56.7,cap
30/05/2024,56.7,--,-1.2(-2.07 %),"70,234",3.98,0,0.0,57.9,57.9,55.9,cap
29/05/2024,57.9,--,-0.6(-1.03 %),"58,630",3.4,0,0.0,58.5,58.5,57.8,cap
28/05/2024,58.5,--,-0.8(-1.35 %),"80,633",4.73,0,0.0,59.3,59.3,58.2,cap
27/05/2024,59.3,--,-0.8(-1.33 %),"66,602",3.98,0,0.0,60.1,60.1,59.0,cap
24/05/2024,60.1,--,-0.2(-0.33 %),"61,705",3.71,0,0.0,60.3,60.8,60.0,cap
23/05/2024,60.3,--,-0.5(-0.82 %),"56,915",3.44,0,0.0,60.8,61.2,60.2,cap
22/05/2024,60.8,--,-1.7(-2.72 %),"198,688",12.17,0,0.0,62.5,62.5,60.5,cap
21/05/2024,62.5,--,-0.2(-0.32 %),"54,739",3.43,0,0.0,62.9,62.9,62.5,cap
20/05/2024,62.7,--,0.6(0.97 %),"24,674",1.55,0,0.0,62.1,62.9,62.1,cap
17/05/2024,62.1,--,-0.1(-0.16 %),"24,821",1.54,0,0.0,62.2,62.3,61.9,cap
16/05/2024,62.2,--,0.1(0.16 %),"20,271",1.26,0,0.0,62.1,62.5,62.0,cap
15/05/2024,62.1,--,-0.4(-0.64 %),"60,425",3.75,0,0.0,62.3,62.4,61.7,cap
14/05/2024,62.5,--,0.1(0.16 %),"19,220",1.2,"20,000",1.32,62.4,62.5,62.2,cap
13/05/2024,62.4,--,0.1(0.16 %),"15,448",0.96,0,0.0,62.3,62.5,62.1,cap
10/05/2024,62.3,--,0(0.00 %),"17,950",1.12,0,0.0,62.3,62.6,62.2,cap
09/05/2024,62.3,--,0(0.00 %),"44,243",2.76,0,0.0,62.2,62.5,62.1,cap
08/05/2024,62.3,--,-0.2(-0.32 %),"23,550",1.46,0,0.0,62.5,62.5,62.0,cap
07/05/2024,62.5,--,0(0.00 %),"58,280",3.63,0,0.0,62.5,62.9,62.0,cap
06/05/2024,62.5,--,0.1(0.16 %),"32,933",2.05,0,0.0,62.3,62.5,62.0,cap
03/05/2024,62.4,--,0.4(0.65 %),"20,412",1.27,0,0.0,62.0,62.5,62.0,cap
02/05/2024,62.0,--,-0.5(-0.80 %),"30,300",1.89,0,0.0,62.5,62.5,62.0,cap
26/04/2024,62.5,--,-0.4(-0.64 %),"15,779",0.99,0,0.0,62.5,62.9,62.0,cap
25/04/2024,62.9,--,-0.1(-0.16 %),"50,969",3.19,0,0.0,63.0,63.1,62.0,cap
24/04/2024,63.0,--,0.5(0.80 %),"18,776",1.18,0,0.0,63.0,63.1,62.5,cap
23/04/2024,62.5,--,-0.9(-1.42 %),"22,560",1.41,0,0.0,63.9,63.9,62.1,cap
22/04/2024,63.4,--,0.4(0.63 %),"57,835",3.62,0,0.0,62.8,63.7,61.0,cap
19/04/2024,63.0,--,-1.5(-2.33 %),"61,842",3.89,0,0.0,64.5,64.5,62.0,cap
17/04/2024,64.5,--,0.5(0.78 %),"41,199",2.66,0,0.0,64.0,64.8,64.0,cap
16/04/2024,64.0,--,1(1.59 %),"42,817",2.72,0,0.0,63.0,64.0,63.0,cap
15/04/2024,63.0,--,-1.9(-2.93 %),"37,591",2.42,0,0.0,65.0,66.0,63.0,cap
12/04/2024,64.9,--,0.4(0.62 %),"13,842",0.89,0,0.0,64.5,65.0,64.4,cap
11/04/2024,64.5,--,-1.3(-1.98 %),"17,419",1.13,0,0.0,65.8,65.8,64.3,cap
10/04/2024,65.8,--,-0.6(-0.90 %),"66,415",4.44,0,0.0,66.4,68.9,65.8,cap
09/04/2024,66.4,--,5.9(9.75 %),"109,306",7.0,0,0.0,60.4,66.4,60.0,cap
08/04/2024,60.5,--,-0.9(-1.47 %),"29,414",1.79,0,0.0,61.4,61.4,60.5,cap
05/04/2024,61.4,--,-0.7(-1.13 %),"16,744",1.03,0,0.0,62.1,62.1,61.2,cap
