date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,48.6(-0.41 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
11/09/2024,48.8(0.00 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
10/09/2024,48.8(-0.41 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
09/09/2024,49(-0.20 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
06/09/2024,49.1(-0.81 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
05/09/2024,49.5(0.20 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
04/09/2024,49.4(-1.20 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
30/08/2024,50(-0.40 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
29/08/2024,50.2(-0.20 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
28/08/2024,50.3(1.21 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
27/08/2024,49.7(0.40 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
26/08/2024,49.5(-0.60 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
23/08/2024,49.8(-0.80 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
22/08/2024,50.2(0.80 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
21/08/2024,49.8(-0.80 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
20/08/2024,50.2(0.60 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
19/08/2024,49.9(0.00 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
16/08/2024,49.9(0.20 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
15/08/2024,49.8(-0.20 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
14/08/2024,49.9(0.20 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
13/08/2024,49.8(0.20 %),0,0.0,0,0,0,0.0,"-171,625",1.12%,cap
12/08/2024,49.7(-0.20 %),0,0.0,0,0,0,0.0,"-171,695",1.12%,cap
09/08/2024,49.8(-2.35 %),-70,-0.0,0,0,70,0.0,"-171,710",1.12%,cap
08/08/2024,51(6.25 %),-15,-0.0,0,0,15,0.0,"-171,710",1.12%,cap
07/08/2024,48(0.84 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
06/08/2024,47.6(-0.83 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
05/08/2024,48(-3.03 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
02/08/2024,49.5(-1.00 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
01/08/2024,50(-0.79 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
31/07/2024,50.4(-0.20 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
30/07/2024,50.5(-0.98 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
29/07/2024,51(2.00 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
24/07/2024,51.3(1.18 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
23/07/2024,50.7(-0.78 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
22/07/2024,51.1(-2.29 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
19/07/2024,52.3(0.00 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
18/07/2024,52.3(-0.95 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
17/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
16/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
15/07/2024,53.6(-0.56 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
12/07/2024,53.9(-1.10 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
11/07/2024,54.5(0.00 %),0,0.0,0,0,0,0.0,"-171,710",1.12%,cap
10/07/2024,54.5(1.87 %),0,0.0,0,0,0,0.0,"-171,748",1.12%,cap
08/07/2024,52(0.58 %),-100,-0.01,0,0,100,0.01,"-171,848",1.13%,cap
04/07/2024,52.1(0.00 %),0,0.0,0,0,0,0.0,"-171,848",1.13%,cap
03/07/2024,52.1(0.19 %),0,0.0,0,0,0,0.0,0,38.28%,cap
02/07/2024,52(0.97 %),0,0.0,0,0,0,0.0,"-171,848",1.13%,cap
