date,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
2024-09-12,13200,0.13,16400,0.16,3200,0.03,374316526,2.08,aaa
2024-09-11,41800,0.4,55200,0.53,13400,0.13,374237426,2.1,aaa
2024-09-10,-75200,-0.74,20300,0.2,95500,0.94,374276626,2.09,aaa
2024-09-09,0,0.0,0,0.0,0,0.0,374233926,2.1,aaa
2024-09-06,-37000,-0.37,26000,0.26,63000,0.63,374180826,2.12,aaa
2024-09-05,-31900,-0.34,114100,1.16,146000,1.5,374122026,2.13,aaa
2024-09-04,35500,0.36,120300,1.22,84800,0.85,374196726,2.11,aaa
2024-08-30,-12300,-0.12,27100,0.27,39400,0.4,374201126,2.11,aaa
2024-08-29,-96500,-0.98,11000,0.11,107500,1.09,374154926,2.12,aaa
2024-08-28,-59300,-0.61,6000,0.06,65300,0.67,374132326,2.13,aaa
2024-08-27,67100,0.68,100700,1.03,33600,0.34,370486626,3.08,aaa
2024-08-26,-3326500,-33.74,325200,3.32,3651700,37.06,369856626,3.25,aaa
2024-08-23,-617200,-6.37,113500,1.16,730700,7.54,370181826,3.16,aaa
2024-08-22,42400,0.45,42400,0.45,0,0.0,370295326,3.13,aaa
2024-08-21,69100,0.74,69100,0.74,0,0.0,370332926,3.12,aaa
2024-08-20,688900,7.37,693700,7.42,4800,0.05,371040226,2.94,aaa
2024-08-19,-46900,-0.5,1100,0.01,48000,0.52,371040226,2.94,aaa
2024-08-16,23000,0.24,30500,0.32,7500,0.08,371040526,2.94,aaa
2024-08-15,31900,0.33,32700,0.33,800,0.01,371062426,2.93,aaa
2024-08-14,-6200,-0.06,2400,0.03,8600,0.09,371052926,2.94,aaa
2024-08-13,-41200,-0.43,1000,0.01,42200,0.44,370896026,2.98,aaa
2024-08-12,-101600,-1.06,57700,0.6,159300,1.66,370791926,3.0,aaa
2024-08-09,52200,0.52,157300,1.63,105100,1.11,370785226,3.01,aaa
2024-08-08,74300,0.76,138700,1.44,64400,0.68,370927826,2.97,aaa
2024-08-07,242900,2.57,257600,2.73,14700,0.16,370923726,2.97,aaa
2024-08-06,-91100,-0.98,51700,0.56,142800,1.53,371134961,2.91,aaa
