date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,7.28,--,0(0.00 %),500,0,0,0,7.28,7.28,6.91
11/09/2024,7.28,--,0.28(4.00 %),"9,900",0.07,0,0,7.19,7.35,7.05
10/09/2024,7,--,0.2(2.94 %),400,0,0,0,6.81,7,6.81
09/09/2024,6.8,--,-0.3(-4.23 %),"7,300",0.05,0,0,6.8,7,6.62
06/09/2024,7.1,--,-0.25(-3.40 %),"1,200",0.01,0,0,7.35,7.35,7.1
05/09/2024,7.35,--,0.24(3.38 %),"2,800",0.02,0,0,7.11,7.39,7.11
04/09/2024,7.11,--,-0.14(-1.93 %),"1,900",0.01,0,0,7.2,7.22,7.1
30/08/2024,7.25,--,0(0.00 %),"1,900",0.01,0,0,7.13,7.25,7.13
29/08/2024,7.25,--,-0.05(-0.68 %),800,0.01,0,0,7.3,7.3,7.25
28/08/2024,7.3,--,-0.1(-1.35 %),"2,000",0.01,0,0,7.3,7.3,7.3
27/08/2024,7.4,--,0(0.00 %),0,0,0,0,7.4,7.4,7.4
26/08/2024,7.4,--,-0.02(-0.27 %),"1,700",0.01,0,0,7.42,7.42,7.4
23/08/2024,7.42,--,0.02(0.27 %),800,0.01,0,0,7.45,7.45,7.42
22/08/2024,7.4,--,-0.08(-1.07 %),"1,700",0.01,0,0,7.48,7.48,7.22
21/08/2024,7.48,--,-0.12(-1.58 %),"4,100",0.03,0,0,7.56,7.6,7.48
20/08/2024,7.6,--,0(0.00 %),700,0.01,0,0,7.6,7.6,7.59
19/08/2024,7.6,--,-0.05(-0.65 %),"14,100",0.1,0,0,7.63,7.65,7.12
16/08/2024,7.65,--,-0.25(-3.16 %),"2,900",0.02,0,0,7.5,7.65,7.35
15/08/2024,7.9,--,0.41(5.47 %),900,0.01,0,0,7.99,7.99,7.9
14/08/2024,7.49,--,0.19(2.60 %),"3,900",0.03,0,0,7.3,7.49,7.28
13/08/2024,7.3,--,0.28(3.99 %),700,0.01,0,0,7.48,7.48,7.3
12/08/2024,7.02,--,-0.44(-5.90 %),"3,400",0.02,0,0,7.46,7.5,7
09/08/2024,7.46,--,0(0.00 %),"1,700",0.01,0,0,7.46,7.47,7.46
08/08/2024,7.46,--,0.01(0.13 %),400,0,0,0,7.69,7.69,7.46
07/08/2024,7.45,--,0.01(0.13 %),800,0.01,0,0,7.5,7.69,7.45
06/08/2024,7.44,--,-0.08(-1.06 %),700,0.01,0,0,7.52,7.52,7.44
05/08/2024,7.52,--,-0.17(-2.21 %),"3,200",0.02,0,0,7.6,7.6,7.52
02/08/2024,7.69,--,-0.1(-1.28 %),"1,600",0.01,0,0,7.4,7.7,7.4
01/08/2024,7.79,--,-0.06(-0.76 %),"2,900",0.02,0,0,7.84,7.84,7.79
31/07/2024,7.85,--,0.05(0.64 %),200,0,0,0,7.8,7.85,7.8
30/07/2024,7.8,--,-0.14(-1.76 %),"11,900",0.09,0,0,7.94,7.94,7.7
29/07/2024,7.94,--,-0.06(-0.75 %),"9,700",0.08,0,0,8,8,7.8
26/07/2024,8,--,-0.05(-0.62 %),"4,600",0.04,0,0,8.01,8.04,8
25/07/2024,8.05,--,-0.05(-0.62 %),"4,900",0.04,0,0,8.07,8.07,8.05
24/07/2024,8.1,--,-0.15(-1.82 %),"7,000",0.06,0,0,8.39,8.39,8.1
23/07/2024,8.25,--,0.18(2.23 %),"8,500",0.06,0,0,8.07,8.25,7.51
22/07/2024,8.07,--,-0.03(-0.37 %),300,0,0,0,8.06,8.07,8.06
19/07/2024,8.1,--,-0.12(-1.46 %),"51,000",0.41,0,0,8.23,8.3,8.07
18/07/2024,8.22,--,-0.15(-1.79 %),"7,300",0.06,0,0,8.37,8.37,8.1
17/07/2024,8.37,--,0.32(3.98 %),"50,200",0.41,0,0,8.06,8.5,8.06
