date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,4.31,--,0.11(2.62 %),"795,200",3.36,0,0,4.25,4.44,4.18
11/09/2024,4.2,--,-0.05(-1.18 %),"185,200",0.78,0,0,4.26,4.27,4.18
10/09/2024,4.25,--,0.03(0.71 %),"290,600",1.23,0,0,4.23,4.27,4.2
09/09/2024,4.22,--,-0.02(-0.47 %),"254,700",1.08,0,0,4.25,4.25,4.21
06/09/2024,4.24,--,-0.05(-1.17 %),"104,700",0.45,0,0,4.3,4.3,4.21
05/09/2024,4.29,--,0.02(0.47 %),"93,100",0.4,0,0,4.37,4.37,4.26
04/09/2024,4.27,--,-0.03(-0.70 %),"176,800",0.75,0,0,4.3,4.3,4.24
30/08/2024,4.3,--,-0.08(-1.83 %),"196,100",0.85,0,0,4.32,4.4,4.3
29/08/2024,4.38,--,-0.03(-0.68 %),"215,700",0.95,0,0,4.42,4.45,4.38
28/08/2024,4.41,--,0.08(1.85 %),"435,400",1.93,0,0,4.34,4.54,4.34
27/08/2024,4.33,--,0.03(0.70 %),"221,500",0.96,0,0,4.34,4.37,4.3
26/08/2024,4.3,--,-0.05(-1.15 %),"340,000",1.46,0,0,4.32,4.34,4.28
23/08/2024,4.35,--,-0.02(-0.46 %),"134,400",0.59,0,0,4.4,4.4,4.33
22/08/2024,4.37,--,-0.02(-0.46 %),"145,100",0.63,0,0,4.4,4.41,4.33
21/08/2024,4.39,--,0.04(0.92 %),"84,700",0.37,0,0,4.42,4.42,4.33
20/08/2024,4.35,--,-0.01(-0.23 %),"345,100",1.49,0,0,4.39,4.39,4.27
19/08/2024,4.36,--,-0.07(-1.58 %),"114,600",0.5,0,0,4.45,4.45,4.34
16/08/2024,4.43,--,0.14(3.26 %),"296,500",1.29,0,0,4.3,4.45,4.29
15/08/2024,4.29,--,0.05(1.18 %),"259,600",1.11,0,0,4.25,4.33,4.25
14/08/2024,4.24,--,-0.03(-0.70 %),"142,900",0.61,0,0,4.28,4.31,4.2
13/08/2024,4.27,--,-0.03(-0.70 %),"133,000",0.57,0,0,4.31,4.31,4.26
12/08/2024,4.3,--,0(0.00 %),"142,900",0.62,0,0,4.3,4.33,4.28
09/08/2024,4.3,--,0.02(0.47 %),"128,200",0.55,0,0,4.35,4.35,4.29
08/08/2024,4.28,--,0.01(0.23 %),"173,300",0.74,0,0,4.27,4.31,4.25
07/08/2024,4.27,--,0(0.00 %),"78,800",0.34,0,0,4.26,4.32,4.25
06/08/2024,4.27,--,0.02(0.47 %),"300,800",1.27,0,0,4.2,4.28,4.2
05/08/2024,4.25,--,-0.31(-6.80 %),"492,600",2.13,0,0,4.45,4.5,4.25
02/08/2024,4.56,--,-0.02(-0.44 %),"312,400",1.41,0,0,4.58,4.58,4.45
01/08/2024,4.58,--,-0.15(-3.17 %),"280,000",1.3,0,0,4.73,4.75,4.57
31/07/2024,4.73,--,0.02(0.42 %),"154,500",0.73,0,0,4.74,4.76,4.69
30/07/2024,4.71,--,0(0.00 %),"294,000",1.39,0,0,4.72,4.79,4.7
29/07/2024,4.71,--,-0.11(-2.28 %),"176,600",0.84,0,0,4.83,4.86,4.7
26/07/2024,4.82,--,0.05(1.05 %),"147,800",0.72,0,0,4.78,4.94,4.78
25/07/2024,4.77,--,-0.05(-1.04 %),"182,600",0.87,0,0,4.81,4.81,4.75
24/07/2024,4.82,--,-0.05(-1.03 %),"239,800",1.14,0,0,4.94,4.94,4.53
23/07/2024,4.87,--,-0.03(-0.61 %),"223,400",1.09,0,0,4.95,4.95,4.87
22/07/2024,4.9,--,-0.11(-2.20 %),"539,700",2.66,0,0,5.01,5.01,4.87
19/07/2024,5.01,--,-0.06(-1.18 %),"347,800",1.74,0,0,5.09,5.09,4.99
18/07/2024,5.07,--,0.04(0.80 %),"222,400",1.12,0,0,5.09,5.1,5
17/07/2024,5.03,--,-0.09(-1.76 %),"278,800",1.42,0,0,5.15,5.16,5
16/07/2024,5.12,--,-0.04(-0.78 %),"193,900",1,0,0,5.15,5.16,5.12
15/07/2024,5.16,--,0(0.00 %),"129,900",0.67,0,0,5.15,5.21,5.12
12/07/2024,5.16,--,-0.03(-0.58 %),"121,100",0.63,0,0,5.17,5.18,5.15
11/07/2024,5.19,--,0.06(1.17 %),"157,700",0.82,0,0,5.13,5.21,5.13
10/07/2024,5.13,--,-0.02(-0.39 %),"185,800",0.95,0,0,5.16,5.18,5.11
09/07/2024,5.15,--,0.02(0.39 %),"204,800",1.05,0,0,5.16,5.16,5.12
08/07/2024,5.13,--,-0.01(-0.19 %),"129,800",0.67,0,0,5.11,5.21,5.11
05/07/2024,5.14,--,-0.08(-1.53 %),"302,800",1.56,0,0,5.22,5.23,5.14
04/07/2024,5.22,--,0.03(0.58 %),"231,400",1.21,0,0,5.19,5.25,5.19
03/07/2024,5.19,--,-0.01(-0.19 %),"120,300",0.62,0,0,5.21,5.22,5.16
02/07/2024,5.2,--,0.02(0.39 %),"85,600",0.45,0,0,5.2,5.23,5.18
01/07/2024,5.18,--,0.06(1.17 %),"145,000",0.75,0,0,5.12,5.2,5.12
28/06/2024,5.12,--,-0.08(-1.54 %),"261,300",1.34,0,0,5.2,5.2,5.1
27/06/2024,5.2,--,-0.02(-0.38 %),"335,700",1.73,0,0,5.21,5.22,5.13
26/06/2024,5.22,--,-0.04(-0.76 %),"292,700",1.53,0,0,5.27,5.29,5.2
25/06/2024,5.26,--,0(0.00 %),"170,600",0.9,0,0,5.25,5.3,5.23
24/06/2024,5.26,--,-0.03(-0.57 %),"293,600",1.55,0,0,5.29,5.35,5.25
21/06/2024,5.29,--,0.05(0.95 %),"208,200",1.1,0,0,5.25,5.3,5.24
20/06/2024,5.24,--,-0.06(-1.13 %),"443,100",2.33,0,0,5.3,5.3,5.21
19/06/2024,5.3,--,-0.03(-0.56 %),"291,300",1.55,0,0,5.42,5.42,5.28
18/06/2024,5.33,--,0.01(0.19 %),"328,700",1.75,0,0,5.33,5.37,5.3
17/06/2024,5.32,--,-0.08(-1.48 %),"334,600",1.79,0,0,5.32,5.41,5.3
14/06/2024,5.4,--,-0.04(-0.74 %),"520,900",2.82,0,0,5.44,5.51,5.39
13/06/2024,5.44,--,-0.04(-0.73 %),"314,300",1.71,0,0,5.48,5.49,5.41
12/06/2024,5.48,--,0(0.00 %),"316,300",1.73,0,0,5.49,5.55,5.43
11/06/2024,5.48,--,-0.02(-0.36 %),"516,300",2.84,0,0,5.5,5.57,5.44
10/06/2024,5.5,--,-0.07(-1.26 %),"544,500",3.02,0,0,5.67,5.69,5.48
07/06/2024,5.57,--,0.07(1.27 %),"687,700",3.85,0,0,5.51,5.69,5.51
06/06/2024,5.5,--,0.14(2.61 %),"1,403,100",7.77,0,0,5.36,5.62,5.36
05/06/2024,5.36,--,-0.01(-0.19 %),"426,700",2.28,0,0,5.37,5.38,5.32
04/06/2024,5.37,--,0.01(0.19 %),"380,500",2.04,0,0,5.39,5.39,5.32
03/06/2024,5.36,--,0.04(0.75 %),"334,700",1.8,0,0,5.33,5.41,5.33
31/05/2024,5.32,--,-0.05(-0.93 %),"381,600",2.05,0,0,5.37,5.42,5.32
30/05/2024,5.37,--,-0.05(-0.92 %),"433,700",2.34,0,0,5.41,5.42,5.36
29/05/2024,5.42,--,0.14(2.65 %),"704,000",3.8,0,0,5.29,5.54,5.28
28/05/2024,5.28,--,0.02(0.38 %),"400,800",2.12,0,0,5.27,5.33,5.26
27/05/2024,5.26,--,0(0.00 %),"232,900",1.23,0,0,5.3,5.35,5.21
24/05/2024,5.26,--,-0.13(-2.41 %),"469,200",2.5,0,0,5.39,5.39,5.26
23/05/2024,5.39,--,0(0.00 %),"489,600",2.64,0,0,5.4,5.44,5.35
22/05/2024,5.39,--,0.01(0.19 %),"475,200",2.57,0,0,5.38,5.46,5.37
21/05/2024,5.38,--,0.01(0.19 %),"356,100",1.91,0,0,5.37,5.39,5.34
20/05/2024,5.37,--,0.08(1.51 %),"370,200",1.98,0,0,5.29,5.39,5.29
17/05/2024,5.29,--,-0.04(-0.75 %),"361,500",1.91,0,0,5.33,5.37,5.24
16/05/2024,5.33,--,0.03(0.57 %),"306,400",1.63,0,0,5.31,5.38,5.28
15/05/2024,5.3,--,-0.05(-0.93 %),"598,500",3.17,0,0,5.35,5.42,5.24
14/05/2024,5.35,--,-0.04(-0.74 %),"340,300",1.83,0,0,5.4,5.42,5.34
13/05/2024,5.39,--,0.08(1.51 %),"694,700",3.78,0,0,5.32,5.55,5.31
10/05/2024,5.31,--,0.15(2.91 %),"529,100",2.8,0,0,5.17,5.45,5.17
09/05/2024,5.16,--,-0.02(-0.39 %),"187,800",0.97,0,0,5.17,5.2,5.15
08/05/2024,5.18,--,0(0.00 %),"246,500",1.27,0,0,5.23,5.23,5.11
07/05/2024,5.18,--,0.01(0.19 %),"257,500",1.34,0,0,5.17,5.26,5.14
06/05/2024,5.17,--,0.08(1.57 %),"196,700",1.01,0,0,5.1,5.19,5.1
03/05/2024,5.09,--,0.01(0.20 %),"242,600",1.23,0,0,5.05,5.09,5.05
02/05/2024,5.08,--,0.04(0.79 %),"165,900",0.84,0,0,5.04,5.1,5.04
26/04/2024,5.04,--,0(0.00 %),"219,600",1.11,0,0,5.03,5.09,5.01
25/04/2024,5.04,--,-0.05(-0.98 %),"189,200",0.95,0,0,5.12,5.12,5.02
24/04/2024,5.09,--,0.13(2.62 %),"174,900",0.89,0,0,4.97,5.1,4.97
23/04/2024,4.96,--,-0.09(-1.78 %),"301,200",1.51,0,0,5.1,5.1,4.95
22/04/2024,5.05,--,0.1(2.02 %),"185,100",0.94,0,0,5.24,5.24,5.02
19/04/2024,4.95,--,-0.17(-3.32 %),"602,900",3.02,0,0,5.16,5.16,4.9
17/04/2024,5.12,--,-0.01(-0.19 %),"323,700",1.68,0,0,5.13,5.24,5.12
16/04/2024,5.13,--,-0.19(-3.57 %),"785,500",4.04,0,0,5.37,5.37,5.05
15/04/2024,5.32,--,-0.34(-6.01 %),"604,400",3.33,0,0,5.65,5.67,5.32
12/04/2024,5.66,--,-0.09(-1.57 %),"393,800",2.23,0,0,5.75,5.79,5.6
11/04/2024,5.75,--,0.28(5.12 %),"507,700",2.84,0,0,5.46,5.8,5.4
10/04/2024,5.47,--,0.05(0.92 %),"159,900",0.88,0,0,5.46,5.54,5.45
09/04/2024,5.42,--,-0.14(-2.52 %),"783,000",4.26,0,0,5.56,5.62,5.18
08/04/2024,5.56,--,-0.1(-1.77 %),"460,800",2.58,0,0,5.65,5.67,5.5
05/04/2024,5.66,--,-0.07(-1.22 %),"580,000",3.28,0,0,5.73,5.73,5.62
04/04/2024,5.73,--,-0.07(-1.21 %),"398,700",2.31,0,0,5.86,5.86,5.72
03/04/2024,5.8,--,0.15(2.65 %),"1,337,400",7.73,0,0,5.64,5.9,5.62
02/04/2024,5.65,--,-0.02(-0.35 %),"482,600",2.72,0,0,5.63,5.67,5.6
01/04/2024,5.67,--,-0.03(-0.53 %),"590,800",3.36,0,0,5.72,5.76,5.66
29/03/2024,5.7,--,-0.01(-0.18 %),"314,300",1.79,0,0,5.72,5.73,5.67
28/03/2024,5.71,--,-0.03(-0.52 %),"302,900",1.74,0,0,5.79,5.81,5.7
27/03/2024,5.74,--,0.03(0.53 %),"196,700",1.13,0,0,5.69,5.76,5.69
26/03/2024,5.71,--,-0.01(-0.17 %),"329,700",1.88,0,0,5.75,5.75,5.67
25/03/2024,5.72,--,-0.02(-0.35 %),"428,300",2.46,0,0,5.81,5.81,5.7
22/03/2024,5.74,--,-0.02(-0.35 %),"514,200",2.98,0,0,5.79,5.86,5.74
21/03/2024,5.76,--,0.02(0.35 %),"482,800",2.77,0,0,5.79,5.79,5.71
20/03/2024,5.74,--,0.06(1.06 %),"313,400",1.79,0,0,5.74,5.74,5.68
19/03/2024,5.68,--,-0.02(-0.35 %),"352,900",2.01,0,0,5.7,5.74,5.65
18/03/2024,5.7,--,-0.08(-1.38 %),"918,900",5.23,0,0,5.78,5.83,5.6
15/03/2024,5.78,--,-0.04(-0.69 %),"510,900",2.95,0,0,5.82,5.82,5.75
14/03/2024,5.82,--,-0.03(-0.51 %),"372,500",2.17,0,0,5.89,5.89,5.81
13/03/2024,5.85,--,0.06(1.04 %),"549,000",3.17,0,0,5.79,5.85,5.75
12/03/2024,5.79,--,0.01(0.17 %),"495,800",2.86,0,0,5.78,5.81,5.74
11/03/2024,5.78,--,-0.1(-1.70 %),"520,800",3.05,0,0,5.9,5.95,5.78
08/03/2024,5.88,--,-0.08(-1.34 %),"824,000",4.87,0,0,5.99,6,5.85
07/03/2024,5.96,--,0(0.00 %),"506,500",3.02,0,0,5.97,5.99,5.93
06/03/2024,5.96,--,0(0.00 %),"655,200",3.96,0,0,6,6.1,5.96
05/03/2024,5.96,--,0(0.00 %),"332,700",1.98,0,0,5.99,5.99,5.94
04/03/2024,5.96,--,0.01(0.17 %),"702,900",4.19,0,0,5.98,5.99,5.94
01/03/2024,5.95,--,0(0.00 %),"386,100",2.29,0,0,5.99,5.99,5.92
29/02/2024,5.95,--,0.02(0.34 %),"598,000",3.55,0,0,5.96,6.01,5.91
28/02/2024,5.93,--,-0.08(-1.33 %),"731,900",4.36,0,0,6.01,6.05,5.93
27/02/2024,6.01,--,-0.03(-0.50 %),"529,600",3.18,0,0,6.04,6.05,5.97
26/02/2024,6.04,--,0(0.00 %),"294,600",1.77,0,0,5.96,6.04,5.96
23/02/2024,6.04,--,-0.1(-1.63 %),"1,050,500",6.48,0,0,6.2,6.31,6.02
22/02/2024,6.14,--,0.12(1.99 %),"1,157,700",7.08,0,0,6,6.2,6
21/02/2024,6.02,--,0(0.00 %),"344,800",2.07,0,0,6.01,6.02,5.97
20/02/2024,6.02,--,-0.04(-0.66 %),"442,000",2.68,0,0,6.1,6.12,6.01
19/02/2024,6.06,--,0.12(2.02 %),"775,700",4.68,0,0,6,6.07,5.95
16/02/2024,5.94,--,0.06(1.02 %),"355,800",2.11,0,0,5.89,5.95,5.89
15/02/2024,5.88,--,0.05(0.86 %),"247,300",1.45,0,0,5.8,5.93,5.8
07/02/2024,5.83,--,0(0.00 %),"389,100",2.26,0,0,5.83,5.89,5.8
06/02/2024,5.83,--,0.03(0.52 %),"489,700",2.85,0,0,5.8,5.88,5.8
05/02/2024,5.8,--,-0.1(-1.69 %),"522,600",3.06,0,0,5.9,5.93,5.8
02/02/2024,5.9,--,-0.03(-0.51 %),"532,100",3.15,0,0,5.93,5.99,5.89
01/02/2024,5.93,--,0(0.00 %),"523,700",3.1,0,0,5.97,5.97,5.9
31/01/2024,5.93,--,-0.1(-1.66 %),"810,200",4.83,0,0,6.02,6.05,5.9
30/01/2024,6.03,--,0.02(0.33 %),"473,600",2.86,0,0,6.03,6.07,5.98
29/01/2024,6.01,--,0.02(0.33 %),"438,800",2.64,0,0,6.02,6.04,5.99
26/01/2024,5.99,--,0(0.00 %),"362,700",2.18,0,0,5.99,6.04,5.98
25/01/2024,5.99,--,0.02(0.34 %),"288,300",1.73,0,0,5.98,6.05,5.98
24/01/2024,5.97,--,-0.04(-0.67 %),"343,400",2.06,0,0,6.01,6.02,5.95
23/01/2024,6.01,--,0.03(0.50 %),"437,900",2.62,0,0,5.95,6.04,5.95
22/01/2024,5.98,--,-0.12(-1.97 %),"798,200",4.78,0,0,6.08,6.1,5.93
19/01/2024,6.1,--,0.12(2.01 %),"617,500",3.75,0,0,6.01,6.14,6.01
18/01/2024,5.98,--,0(0.00 %),"300,100",1.8,0,0,5.98,6.05,5.95
17/01/2024,5.98,--,0(0.00 %),"276,100",1.66,0,0,5.98,6.07,5.98
16/01/2024,5.98,--,0.03(0.50 %),"398,200",2.37,0,0,5.96,6.02,5.94
15/01/2024,5.95,--,-0.1(-1.65 %),"516,000",3.11,0,0,6.02,6.12,5.95
12/01/2024,6.05,--,0.02(0.33 %),"712,700",4.31,0,0,6,6.2,5.93
11/01/2024,6.03,--,0(0.00 %),"697,000",4.22,0,0,6.08,6.14,5.95
10/01/2024,6.03,--,-0.07(-1.15 %),"834,100",5.05,0,0,6.13,6.13,6
09/01/2024,6.1,--,-0.09(-1.45 %),"831,000",5.06,0,0,6.19,6.19,6
08/01/2024,6.19,--,0.07(1.14 %),"470,000",2.9,0,0,6.15,6.21,6.13
05/01/2024,6.12,--,-0.07(-1.13 %),"792,700",4.86,0,0,6.2,6.27,6.02
04/01/2024,6.19,--,-0.25(-3.88 %),"1,782,800",11.18,0,0,6.45,6.46,6.19
03/01/2024,6.44,--,0.25(4.04 %),"1,952,100",12.56,0,0,6.25,6.54,6.2
