date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,9.68(0.83 %),"13,200",0.13,"16,400",0.16,"3,200",0.03,"374,316,526",2.08%,aaa
11/09/2024,9.6(-1.23 %),"41,800",0.4,"55,200",0.53,"13,400",0.13,"374,237,426",2.1%,aaa
10/09/2024,9.72(-0.82 %),"-75,200",-0.74,"20,300",0.2,"95,500",0.94,"374,276,626",2.09%,aaa
09/09/2024,9.8(-1.01 %),0,0.0,0,0.0,0,0.0,"374,233,926",2.1%,aaa
06/09/2024,9.9(-1.98 %),"-37,000",-0.37,"26,000",0.26,"63,000",0.63,"374,180,826",2.12%,aaa
05/09/2024,10.1(0.00 %),"-31,900",-0.34,"114,100",1.16,"146,000",1.5,"374,122,026",2.13%,aaa
04/09/2024,10.1(0.00 %),"35,500",0.36,"120,300",1.22,"84,800",0.85,"374,196,726",2.11%,aaa
30/08/2024,10.1(0.50 %),"-12,300",-0.12,"27,100",0.27,"39,400",0.4,"374,201,126",2.11%,aaa
29/08/2024,10.05(-0.99 %),"-96,500",-0.98,"11,000",0.11,"107,500",1.09,"374,154,926",2.12%,aaa
28/08/2024,10.15(-0.49 %),"-59,300",-0.61,"6,000",0.06,"65,300",0.67,"374,132,326",2.13%,aaa
27/08/2024,10.2(2.00 %),"67,100",0.68,"100,700",1.03,"33,600",0.34,"370,486,626",3.08%,aaa
26/08/2024,10(-3.38 %),"-3,326,500",-33.74,"325,200",3.32,"3,651,700",37.06,"369,856,626",3.25%,aaa
23/08/2024,10.35(-2.82 %),"-617,200",-6.37,"113,500",1.16,"730,700",7.54,"370,181,826",3.16%,aaa
22/08/2024,10.65(-0.93 %),"42,400",0.45,"42,400",0.45,0,0.0,"370,295,326",3.13%,aaa
21/08/2024,10.75(-0.46 %),"69,100",0.74,"69,100",0.74,0,0.0,"370,332,926",3.12%,aaa
20/08/2024,10.8(1.41 %),"688,900",7.37,"693,700",7.42,"4,800",0.05,"371,040,226",2.94%,aaa
19/08/2024,10.65(0.47 %),"-46,900",-0.5,"1,100",0.01,"48,000",0.52,"371,040,226",2.94%,aaa
16/08/2024,10.6(4.43 %),"23,000",0.24,"30,500",0.32,"7,500",0.08,"371,040,526",2.94%,aaa
15/08/2024,10.15(-2.40 %),"31,900",0.33,"32,700",0.33,800,0.01,"371,062,426",2.93%,aaa
14/08/2024,10.4(-0.95 %),"-6,200",-0.06,"2,400",0.03,"8,600",0.09,"371,052,926",2.94%,aaa
13/08/2024,10.5(0.48 %),"-41,200",-0.43,"1,000",0.01,"42,200",0.44,"370,896,026",2.98%,aaa
12/08/2024,10.45(0.97 %),"-101,600",-1.06,"57,700",0.6,"159,300",1.66,"370,791,926",3%,aaa
09/08/2024,10.35(0.49 %),"52,200",0.52,"157,300",1.63,"105,100",1.11,"370,785,226",3.01%,aaa
08/08/2024,10.3(-4.63 %),"74,300",0.76,"138,700",1.44,"64,400",0.68,"370,927,826",2.97%,aaa
07/08/2024,10.8(-0.46 %),"242,900",2.57,"257,600",2.73,"14,700",0.16,"370,923,726",2.97%,aaa
06/08/2024,10.85(2.84 %),"-91,100",-0.98,"51,700",0.56,"142,800",1.53,"371,134,961",2.91%,aaa
05/08/2024,10.55(-6.64 %),"-2,900",-0.04,"43,400",0.47,"46,300",0.51,"370,981,161",2.95%,aaa
02/08/2024,11.3(0.89 %),"-146,600",-1.64,"58,900",0.66,"205,500",2.3,"370,984,861",2.95%,aaa
01/08/2024,11.2(-3.86 %),"138,600",1.57,"178,300",2.02,"39,700",0.45,"370,855,161",2.99%,aaa
31/07/2024,11.65(-2.92 %),"-175,200",-2.09,"13,400",0.16,"188,600",2.25,"370,201,831",3.16%,aaa
30/07/2024,12(2.56 %),"-121,100",-1.43,"2,700",0.03,"123,800",1.46,"370,091,431",3.19%,aaa
29/07/2024,11.7(0.00 %),"-121,100",-1.43,"2,700",0.03,"123,800",1.46,"370,613,831",3.05%,aaa
24/07/2024,11.65(2.19 %),"166,200",1.87,"244,700",2.76,"78,500",0.89,"370,094,681",3.19%,aaa
23/07/2024,11.4(-2.56 %),"-773,750",-9.16,"5,400",0.06,"779,150",9.22,"369,558,581",3.33%,aaa
22/07/2024,11.7(0.00 %),"-513,600",-6.03,"267,200",3.04,"780,800",9.07,"369,464,581",3.35%,aaa
19/07/2024,11.7(-2.90 %),"-38,200",-0.46,"61,200",0.73,"99,400",1.19,"369,632,981",3.31%,aaa
18/07/2024,12.05(2.99 %),"525,100",6.17,"623,900",7.35,"98,800",1.17,"369,626,481",3.31%,aaa
17/07/2024,0(0.00 %),"834,800",10.12,"902,500",10.95,"67,700",0.83,"370,224,581",3.15%,aaa
16/07/2024,0(0.00 %),"117,500",1.45,"143,300",1.77,"25,800",0.32,"371,013,981",2.95%,aaa
15/07/2024,12.4(2.48 %),"393,100",4.88,"506,200",6.29,"113,100",1.4,"371,124,431",2.92%,aaa
12/07/2024,12.1(0.41 %),"-21,700",-0.26,"11,100",0.13,"32,800",0.4,"370,712,231",3.02%,aaa
11/07/2024,12.05(2.99 %),"-899,700",-10.74,"18,700",0.22,"918,400",10.96,"370,389,431",3.11%,aaa
10/07/2024,11.7(-0.85 %),"-302,400",-3.57,"31,500",0.37,"333,900",3.94,"370,249,831",3.15%,aaa
08/07/2024,11.75(0.86 %),"-51,000",-0.6,"2,600",0.03,"53,600",0.63,"370,198,831",3.16%,aaa
04/07/2024,11.4(-0.87 %),"68,100",0.77,"87,400",0.99,"19,300",0.22,"371,410,531",2.84%,aaa
03/07/2024,11.5(1.77 %),"72,200",0.83,"73,000",0.83,800,0.01,"371,475,475",2.82%,aaa
02/07/2024,11.3(0.89 %),"-10,800",-0.12,"11,700",0.13,"22,500",0.25,"371,451,075",2.83%,aaa
01/07/2024,11.2(1.36 %),"-8,500",-0.09,"88,900",0.99,"97,400",1.08,"370,908,175",2.97%,aaa
28/06/2024,11.05(-3.07 %),"-531,200",-5.89,"23,400",0.26,"554,600",6.15,"369,446,275",3.36%,aaa
27/06/2024,11.4(-0.87 %),"-1,531,500",-17.73,"19,300",0.22,"1,550,800",17.95,"364,872,975",4.55%,aaa
26/06/2024,11.5(0.00 %),"-4,498,700",-52.32,"98,000",1.12,"4,596,700",53.44,"364,698,775",4.6%,aaa
25/06/2024,11.5(2.68 %),"-188,400",-2.14,"5,100",0.06,"193,500",2.2,"364,468,975",4.66%,aaa
