date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,7.28 ( 0 %),30,"32,700","1,090",17,"5,700",335,"27,000"
11/09/2024,7.28 ( 4 %),23,"24,300","1,056.52",44,"28,600",650,"-4,300"
10/09/2024,7 ( 2.94 %),27,"11,900",440.74,14,"7,500",536,"4,400"
09/09/2024,6.8 ( -4.23 %),48,"20,500",427.08,14,"16,000","1,143","4,500"
06/09/2024,7.1 ( -3.4 %),23,"10,000",434.78,17,"9,700",571,300
05/09/2024,7.35 ( 3.38 %),36,"11,000",305.56,32,"17,600",550,"-6,600"
04/09/2024,7.11 ( -1.93 %),28,"7,700",275,26,"8,000",308,-300
30/08/2024,7.25 ( 0 %),26,"14,900",573.08,24,"8,500",354,"6,400"
29/08/2024,7.25 ( -0.68 %),21,"7,900",376.19,17,"11,500",676,"-3,600"
28/08/2024,7.3 ( -1.35 %),26,"13,000",500,25,"9,400",376,"3,600"
27/08/2024,7.4 ( 0 %),20,"7,700",385,12,"9,100",758,"-1,400"
26/08/2024,7.4 ( -0.27 %),17,"6,400",376.47,16,"10,100",631,"-3,700"
23/08/2024,7.42 ( 0.27 %),23,"8,000",347.83,22,"12,100",550,"-4,100"
22/08/2024,7.4 ( -1.07 %),41,"17,600",429.27,24,"13,000",542,"4,600"
21/08/2024,7.48 ( -1.58 %),42,"41,600",990.48,46,"21,400",465,"20,200"
20/08/2024,7.6 ( 0 %),23,"12,900",560.87,25,"20,800",832,"-7,900"
19/08/2024,7.6 ( -0.65 %),89,"57,600",647.19,45,"45,500","1,011","12,100"
16/08/2024,7.65 ( -3.16 %),41,"13,300",324.39,51,"29,200",573,"-15,900"
15/08/2024,7.9 ( 5.47 %),20,"5,900",295,44,"16,400",373,"-10,500"
14/08/2024,7.49 ( 2.6 %),26,"37,900","1,457.69",36,"12,200",339,"25,700"
13/08/2024,7.3 ( 3.99 %),32,"8,500",265.62,24,"7,000",292,"1,500"
12/08/2024,7.02 ( -5.9 %),42,"28,400",676.19,26,"16,000",615,"12,400"
08/08/2024,7.46 ( 0.13 %),13,"5,300",407.69,12,"6,700",558,"-1,400"
07/08/2024,7.45 ( 0.13 %),15,"5,500",366.67,14,"11,500",821,"-6,000"
06/08/2024,7.44 ( -1.06 %),16,"5,500",343.75,12,"5,600",467,-100
05/08/2024,7.52 ( -2.21 %),22,"10,800",490.91,14,"15,900","1,136","-5,100"
