date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,7.1,--,0(0.00 %),"181,116",1.29,0,0,7.1,7.2,7.1
11/09/2024,7,--,-0.2(-2.78 %),"94,224",0.67,0,0,7.2,7.2,7
10/09/2024,7.2,--,0(0.00 %),"289,305",2.08,0,0,7.2,7.3,7.1
09/09/2024,7.2,--,0(0.00 %),"294,495",2.12,0,0,7.2,7.3,7.1
06/09/2024,7.2,--,-0.1(-1.37 %),"124,597",0.9,0,0,7.3,7.3,7.2
05/09/2024,7.3,--,0(0.00 %),"287,164",2.1,"575,000",4.2,7.3,7.4,7.2
04/09/2024,7.3,--,-0.1(-1.35 %),"184,591",1.34,0,0,7.4,7.4,7.2
30/08/2024,7.4,--,-0.1(-1.33 %),"387,414",2.87,0,0,7.5,7.5,7.3
29/08/2024,7.5,--,0.1(1.35 %),"206,439",1.54,0,0,7.4,7.5,7.3
28/08/2024,7.4,--,0(0.00 %),"429,170",3.18,0,0,7.4,7.5,7.3
27/08/2024,7.4,--,0(0.00 %),"191,733",1.42,0,0,7.4,7.5,7.3
26/08/2024,7.4,--,0(0.00 %),"312,945",2.32,0,0,7.4,7.5,7.4
23/08/2024,7.4,--,0(0.00 %),"615,677",4.56,0,0,7.5,7.5,7.3
22/08/2024,7.5,--,0.1(1.35 %),"145,329",1.08,0,0,7.4,7.5,7.4
21/08/2024,7.4,--,0.1(1.37 %),"204,999",1.51,0,0,7.4,7.4,7.3
20/08/2024,7.4,--,0.1(1.37 %),"374,155",2.74,0,0,7.3,7.5,7.2
19/08/2024,7.4,--,0.2(2.78 %),"282,217",2.07,"1,500,000",10.95,7.4,7.4,7.2
16/08/2024,7.4,--,0.6(8.82 %),"659,825",4.73,0,0,6.9,7.4,6.9
15/08/2024,6.8,--,-0.1(-1.45 %),"201,030",1.37,0,0,6.8,6.9,6.7
14/08/2024,6.9,--,0(0.00 %),"303,743",2.09,0,0,6.9,7,6.8
14/08/2024,6.9,--,0(0.00 %),"303,743",2.09,0,0,6.9,7,6.8
13/08/2024,6.9,--,-0.1(-1.43 %),"195,041",1.35,0,0,7,7,6.8
12/08/2024,6.9,--,-0.1(-1.43 %),"115,273",0.8,0,0,7,7,6.9
09/08/2024,7,--,0.2(2.94 %),"450,866",3.14,0,0,6.8,7.1,6.8
08/08/2024,6.8,--,0.1(1.49 %),"308,644",2.1,0,0,6.8,6.9,6.7
07/08/2024,6.8,--,0(0.00 %),"363,524",2.45,0,0,6.7,6.9,6.6
06/08/2024,6.8,--,0(0.00 %),"547,889",3.72,0,0,6.8,6.9,6.7
05/08/2024,6.7,--,-0.5(-6.94 %),"940,500",6.41,"4,000,000",28.8,7.2,7.2,6.6
02/08/2024,7.2,--,-0.1(-1.37 %),"798,445",5.71,0,0,7.1,7.3,7.1
01/08/2024,7.2,--,-0.3(-4.00 %),"593,146",4.32,0,0,7.6,7.6,7.1
31/07/2024,7.6,--,0.1(1.33 %),"232,763",1.75,0,0,7.6,7.6,7.5
30/07/2024,7.5,--,-0.1(-1.32 %),"446,961",3.35,0,0,7.6,7.6,7.4
29/07/2024,7.6,--,0(0.00 %),"107,961",0.83,0,0,7.7,7.8,7.6
26/07/2024,7.7,--,0(0.00 %),"291,866",2.23,0,0,7.7,7.7,7.6
25/07/2024,7.7,--,0.1(1.32 %),"514,852",3.98,0,0,7.7,8.2,7.6
24/07/2024,7.6,--,-0.1(-1.30 %),"623,748",4.71,0,0,7.6,7.7,7.4
23/07/2024,7.6,--,-0.2(-2.56 %),"694,477",5.32,0,0,7.8,7.8,7.6
22/07/2024,7.8,--,-0.2(-2.50 %),"1,176,941",9.21,0,0,8,8,7.7
19/07/2024,8,--,-0.1(-1.23 %),"464,531",3.74,0,0,8.1,8.2,8
18/07/2024,8.2,--,0.1(1.23 %),"446,862",3.62,0,0,8.2,8.2,8
17/07/2024,8.2,--,0(0.00 %),"1,319,429",10.72,0,0,8.2,8.2,8
16/07/2024,8.2,--,0.1(1.23 %),"301,464",2.46,0,0,8.2,8.2,8.1
15/07/2024,8.1,--,0(0.00 %),"252,026",2.04,0,0,8.1,8.2,8.1
12/07/2024,8.2,--,0(0.00 %),"144,938",1.18,0,0,8.3,8.3,8.1
11/07/2024,8.3,--,0.1(1.22 %),"296,971",2.43,0,0,8.2,8.3,8.1
10/07/2024,8.1,--,-0.1(-1.22 %),"282,730",2.32,0,0,8.3,8.3,8.1
09/07/2024,8.3,--,0.2(2.47 %),"362,039",2.96,0,0,8.1,8.3,8
08/07/2024,8.1,--,0(0.00 %),"243,688",1.98,0,0,8.2,8.2,8
05/07/2024,8.2,--,0(0.00 %),"220,288",1.79,0,0,8.2,8.2,8.1
04/07/2024,8.2,--,0(0.00 %),"391,411",3.21,0,0,8.2,8.2,8.1
03/07/2024,8.3,--,0.1(1.22 %),"154,263",1.26,0,0,8.2,8.3,8.1
02/07/2024,8.2,--,0.2(2.50 %),"226,170",1.84,0,0,8.1,8.2,8
01/07/2024,8.1,--,0(0.00 %),"411,811",3.31,0,0,8.1,8.1,8
28/06/2024,8.1,--,-0.1(-1.22 %),"501,638",4.07,0,0,8.2,8.3,8
27/06/2024,8.2,--,0(0.00 %),"208,746",1.71,0,0,8.2,8.3,8.2
26/06/2024,8.2,--,-0.1(-1.20 %),"494,473",4.06,0,0,8.3,8.3,8.2
25/06/2024,8.3,--,0(0.00 %),"450,522",3.73,0,0,8.2,8.3,8.2
24/06/2024,8.3,--,-0.1(-1.19 %),"1,113,928",9.19,0,0,8.4,8.4,8.1
21/06/2024,8.4,--,0(0.00 %),"855,917",7.18,0,0,8.4,8.5,8.3
20/06/2024,8.5,--,0.1(1.19 %),"516,434",4.33,0,0,8.5,8.5,8.3
19/06/2024,8.5,--,0.1(1.19 %),"620,676",5.23,0,0,8.5,8.5,8.4
18/06/2024,8.4,--,0(0.00 %),"322,281",2.71,0,0,8.5,8.5,8.4
17/06/2024,8.5,--,-0.2(-2.30 %),"1,020,835",8.62,0,0,8.5,8.6,8.4
14/06/2024,8.5,--,-0.3(-3.41 %),"2,031,937",17.61,0,0,8.8,9,8.4
13/06/2024,8.8,--,0(0.00 %),"998,499",8.82,0,0,9,9,8.7
12/06/2024,9,--,0.6(7.14 %),"4,284,304",37.9,0,0,8.4,9.1,8.4
11/06/2024,8.5,--,0(0.00 %),"766,051",6.41,0,0,8.5,8.5,8.3
10/06/2024,8.4,--,0(0.00 %),"692,816",5.86,0,0,8.4,8.5,8.4
07/06/2024,8.5,--,0.1(1.19 %),"392,810",3.3,0,0,8.4,8.5,8.3
06/06/2024,8.5,--,0(0.00 %),"548,825",4.61,0,0,8.5,8.5,8.3
05/06/2024,8.5,--,0(0.00 %),"765,934",6.5,0,0,8.6,8.6,8.4
04/06/2024,8.6,--,0.1(1.18 %),"668,676",5.71,"862,500",7.33,8.5,8.6,8.5
03/06/2024,8.6,--,0.2(2.38 %),"1,288,636",10.92,0,0,8.4,8.6,8.4
31/05/2024,8.4,--,0(0.00 %),"523,773",4.4,0,0,8.4,8.5,8.3
30/05/2024,8.4,--,-0.1(-1.18 %),"551,128",4.61,"8,781,250",74.64,8.4,8.5,8.3
29/05/2024,8.5,--,0(0.00 %),"496,607",4.22,0,0,8.6,8.6,8.4
28/05/2024,8.6,--,0.2(2.38 %),"534,208",4.55,0,0,8.4,8.6,8.4
27/05/2024,8.4,--,-0.1(-1.18 %),"519,969",4.36,0,0,8.5,8.5,8.3
24/05/2024,8.5,--,-0.1(-1.16 %),"1,047,224",8.88,0,0,8.6,8.7,8.3
23/05/2024,8.7,--,0(0.00 %),"827,574",7.08,0,0,8.7,8.7,8.5
22/05/2024,8.7,--,0.1(1.16 %),"1,155,669",10,0,0,8.6,8.8,8.6
