date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,4.31 ( 2.62 %),319,"1,112,400","3,487.15",313,"1,098,200","3,509","14,200"
11/09/2024,4.2 ( -1.18 %),234,"463,600","1,981.2",155,"392,700","2,534","70,900"
10/09/2024,4.25 ( 0.71 %),276,"617,600","2,237.68",157,"451,600","2,876","166,000"
09/09/2024,4.22 ( -0.47 %),236,"455,500","1,930.08",125,"371,100","2,969","84,400"
06/09/2024,4.24 ( -1.17 %),233,"349,800","1,501.29",132,"285,300","2,161","64,500"
05/09/2024,4.29 ( 0.47 %),206,"345,300","1,676.21",161,"320,800","1,993","24,500"
04/09/2024,4.27 ( -0.7 %),281,"574,600","2,044.84",137,"434,200","3,169","140,400"
30/08/2024,4.3 ( -1.83 %),288,"413,700","1,436.46",132,"630,000","4,773","-216,300"
29/08/2024,4.38 ( -0.68 %),187,"504,600","2,698.4",234,"611,000","2,611","-106,400"
28/08/2024,4.41 ( 1.85 %),312,"923,500","2,959.94",462,"860,800","1,863","62,700"
27/08/2024,4.33 ( 0.7 %),220,"484,900","2,204.09",191,"412,100","2,158","72,800"
26/08/2024,4.3 ( -1.15 %),440,"849,600","1,930.91",164,"592,500","3,613","257,100"
23/08/2024,4.35 ( -0.46 %),257,"362,400","1,410.12",192,"445,700","2,321","-83,300"
22/08/2024,4.37 ( -0.46 %),290,"537,900","1,854.83",206,"536,500","2,604","1,400"
21/08/2024,4.39 ( 0.92 %),250,"405,900","1,623.6",191,"548,800","2,873","-142,900"
20/08/2024,4.35 ( -0.23 %),456,"900,900","1,975.66",223,"984,700","4,416","-83,800"
19/08/2024,4.36 ( -1.58 %),254,"293,800","1,156.69",195,"683,400","3,505","-389,600"
16/08/2024,4.43 ( 3.26 %),298,"1,068,900","3,586.91",310,"902,800","2,912","166,100"
15/08/2024,4.29 ( 1.18 %),221,"475,900","2,153.39",210,"484,500","2,307","-8,600"
14/08/2024,4.24 ( -0.7 %),221,"284,500","1,287.33",130,"368,200","2,832","-83,700"
13/08/2024,4.27 ( -0.7 %),210,"275,100","1,310",100,"460,700","4,607","-185,600"
12/08/2024,4.3 ( 0 %),159,"280,400","1,763.52",151,"394,500","2,613","-114,100"
08/08/2024,4.28 ( 0.23 %),208,"461,500","2,218.75",167,"424,900","2,544","36,600"
07/08/2024,4.27 ( 0 %),208,"280,800","1,350",142,"371,100","2,613","-90,300"
06/08/2024,4.27 ( 0.47 %),388,"727,700","1,875.52",227,"803,400","3,539","-75,700"
05/08/2024,4.25 ( -6.8 %),396,"545,900","1,378.54",216,"840,800","3,893","-294,900"
02/08/2024,4.56 ( -0.44 %),428,"686,100","1,603.04",210,"485,900","2,314","200,200"
01/08/2024,4.58 ( -3.17 %),407,"768,900","1,889.19",197,"711,700","3,613","57,200"
31/07/2024,4.73 ( 0.42 %),261,"329,500","1,262.45",157,"533,000","3,395","-203,500"
30/07/2024,4.71 ( 0 %),276,"457,900","1,659.06",202,"592,600","2,934","-134,700"
29/07/2024,4.71 ( -2.28 %),343,"448,100","1,306.41",164,"443,600","2,705","4,500"
26/07/2024,4.82 ( 1.05 %),236,"651,300","2,759.75",268,"338,000","1,261","313,300"
25/07/2024,4.77 ( -1.04 %),323,"550,300","1,703.72",153,"333,600","2,180","216,700"
24/07/2024,4.82 ( -1.03 %),501,"893,600","1,783.63",212,"514,200","2,425","379,400"
22/07/2024,4.9 ( -2.2 %),523,"959,500","1,834.61",240,"1,003,700","4,182","-44,200"
19/07/2024,5.01 ( -1.18 %),329,"684,800","2,081.46",189,"729,400","3,859","-44,600"
18/07/2024,5.07 ( 0.8 %),314,"496,700","1,581.85",270,"571,500","2,117","-74,800"
17/07/2024,0 ( 0 %),362,"485,100","1,340.06",258,"862,800","3,344","-377,700"
16/07/2024,0 ( 0 %),318,"554,500","1,743.71",280,"567,300","2,026","-12,800"
15/07/2024,5.16 ( 0 %),319,"438,100","1,373.35",175,"1,054,000","6,023","-615,900"
12/07/2024,5.16 ( -0.58 %),248,"456,200","1,839.52",214,"518,800","2,424","-62,600"
11/07/2024,5.19 ( 1.17 %),256,"509,400","1,989.84",248,"482,800","1,947","26,600"
10/07/2024,5.13 ( -0.39 %),345,"545,100","1,580",187,"503,100","2,690","42,000"
09/07/2024,5.15 ( 0.39 %),279,"432,200","1,549.1",180,"571,300","3,174","-139,100"
08/07/2024,5.13 ( -0.19 %),294,"468,300","1,592.86",207,"395,100","1,909","73,200"
05/07/2024,5.14 ( -1.53 %),399,"623,900","1,563.66",192,"668,700","3,483","-44,800"
04/07/2024,5.22 ( 0.58 %),202,"448,800","2,221.78",270,"735,100","2,723","-286,300"
03/07/2024,5.19 ( -0.19 %),247,"441,900","1,789.07",161,"457,100","2,839","-15,200"
02/07/2024,5.2 ( 0.39 %),204,"361,400","1,771.57",187,"443,000","2,369","-81,600"
01/07/2024,5.18 ( 1.17 %),214,"417,500","1,950.93",204,"359,100","1,760","58,400"
28/06/2024,5.12 ( -1.54 %),349,"578,200","1,656.73",173,"500,800","2,895","77,400"
27/06/2024,5.2 ( -0.38 %),521,"718,400","1,378.89",197,"709,300","3,601","9,100"
26/06/2024,5.22 ( -0.76 %),420,"735,900","1,752.14",197,"785,900","3,989","-50,000"
25/06/2024,5.26 ( 0 %),267,"506,200","1,895.88",176,"476,300","2,706","29,900"
24/06/2024,5.26 ( -0.57 %),317,"918,700","2,898.11",284,"714,100","2,514","204,600"
