date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,41.8 ( 0 %),6,700,116.67,10,"4,800",480,"-4,100",abt
11/09/2024,41.8 ( 0 %),6,800,133.33,9,"5,800",644,"-5,000",abt
10/09/2024,41.8 ( -0.24 %),9,"1,200",133.33,13,"6,400",492,"-5,200",abt
09/09/2024,41.9 ( -0.24 %),10,"1,800",180,10,"8,400",840,"-6,600",abt
06/09/2024,42 ( 0 %),5,"10,600","2,120",10,"4,200",420,"6,400",abt
05/09/2024,42 ( 0.24 %),11,"2,500",227.27,14,"5,500",393,"-3,000",abt
04/09/2024,41.9 ( 1.7 %),8,"1,900",237.5,12,"2,900",242,"-1,000",abt
30/08/2024,41.2 ( -0.72 %),14,"4,900",350,17,"4,900",288,0,abt
29/08/2024,41.5 ( -1.07 %),14,"3,100",221.43,14,"5,800",414,"-2,700",abt
28/08/2024,41.95 ( -0.12 %),10,"4,200",420,19,"8,600",453,"-4,400",abt
27/08/2024,42 ( 0 %),13,"3,400",261.54,17,"8,300",488,"-4,900",abt
26/08/2024,42 ( 0 %),5,"1,200",240,12,"3,300",275,"-2,100",abt
23/08/2024,42 ( 1.2 %),10,"12,800","1,280",15,"9,100",607,"3,700",abt
22/08/2024,41.5 ( 0.73 %),23,"61,200","2,660.87",17,"30,500","1,794","30,700",abt
21/08/2024,41.2 ( 0.49 %),16,"37,800","2,362.5",15,"6,600",440,"31,200",abt
20/08/2024,41 ( 3.27 %),8,"2,200",275,9,"4,400",489,"-2,200",abt
19/08/2024,39.7 ( 0.25 %),5,"11,200","2,240",15,"9,500",633,"1,700",abt
16/08/2024,39.6 ( -1 %),9,"21,400","2,377.78",7,"10,800","1,543","10,600",abt
15/08/2024,40 ( -5.33 %),6,"18,800","3,133.33",16,"26,400","1,650","-7,600",abt
14/08/2024,42.25 ( 4.45 %),7,"8,700","1,242.86",14,"4,300",307,"4,400",abt
13/08/2024,40.45 ( 0 %),17,"28,500","1,676.47",21,"22,300","1,062","6,200",abt
12/08/2024,40.45 ( 0 %),5,"2,300",460,6,600,100,"1,700",abt
08/08/2024,38.2 ( 0 %),2,500,250,6,"1,600",267,"-1,100",abt
07/08/2024,38.2 ( 0 %),1,200,200,11,"3,300",300,"-3,100",abt
06/08/2024,38.2 ( -0.78 %),7,"2,700",385.71,8,"2,300",288,400,abt
05/08/2024,38.5 ( 0 %),11,"5,000",454.55,7,"2,100",300,"2,900",abt
02/08/2024,38.5 ( -0.77 %),12,"5,000",416.67,16,"5,700",356,-700,abt
01/08/2024,38.8 ( -1.77 %),6,"1,600",266.67,14,"7,600",543,"-6,000",abt
31/07/2024,39.5 ( 0 %),12,"4,800",400,17,"5,600",329,-800,abt
30/07/2024,39.5 ( -1 %),15,"12,100",806.67,15,"8,900",593,"3,200",abt
29/07/2024,39.9 ( 0 %),12,"5,700",475,10,"2,700",270,"3,000",abt
26/07/2024,39.9 ( 5.28 %),29,"13,800",475.86,26,"22,800",877,"-9,000",abt
25/07/2024,37.9 ( 1.07 %),22,"7,400",336.36,21,"7,300",348,100,abt
24/07/2024,37.5 ( 0 %),2,"1,100",550,4,400,100,700,abt
22/07/2024,37.5 ( 0 %),9,"5,300",588.89,10,"2,000",200,"3,300",abt
19/07/2024,37.5 ( -1.32 %),18,"7,300",405.56,13,"3,100",238,"4,200",abt
18/07/2024,38 ( -2.19 %),14,"15,300","1,092.86",18,"2,400",133,"12,900",abt
17/07/2024,0 ( 0 %),19,"16,400",863.16,7,800,114,"15,600",abt
16/07/2024,0 ( 0 %),18,"22,200","1,233.33",12,"5,900",492,"16,300",abt
15/07/2024,39 ( -1.52 %),17,"10,100",594.12,19,"4,400",232,"5,700",abt
12/07/2024,39.6 ( 4.21 %),12,"7,900",658.33,14,"6,000",429,"1,900",abt
11/07/2024,38 ( -1.3 %),21,"26,100","1,242.86",19,"24,000","1,263","2,100",abt
10/07/2024,38.5 ( 0 %),7,"2,500",357.14,6,"4,500",750,"-2,000",abt
09/07/2024,38.5 ( 1.32 %),14,"8,900",635.71,5,"1,300",260,"7,600",abt
08/07/2024,38 ( 1.33 %),26,"12,900",496.15,17,"8,500",500,"4,400",abt
05/07/2024,37.5 ( 0 %),11,"8,700",790.91,7,"1,300",186,"7,400",abt
04/07/2024,37.5 ( 1.35 %),18,"16,400",911.11,9,"3,500",389,"12,900",abt
03/07/2024,37 ( 3.64 %),26,"27,200","1,046.15",26,"16,000",615,"11,200",abt
02/07/2024,35.7 ( 0.85 %),20,"14,400",720,7,"5,300",757,"9,100",abt
01/07/2024,35.4 ( -0.14 %),24,"12,400",516.67,6,"1,500",250,"10,900",abt
28/06/2024,35.45 ( 0 %),18,"8,700",483.33,16,"11,800",738,"-3,100",abt
27/06/2024,35.45 ( -0.14 %),15,"5,100",340,17,"4,500",265,600,abt
26/06/2024,35.5 ( 1.72 %),19,"15,800",831.58,29,"23,000",793,"-7,200",abt
25/06/2024,34.9 ( -0.29 %),12,"5,500",458.33,16,"12,000",750,"-6,500",abt
24/06/2024,35 ( 1.45 %),15,"12,100",806.67,15,"8,600",573,"3,500",abt
21/06/2024,34.5 ( -1.43 %),39,"23,500",602.56,14,"13,600",971,"9,900",abt
20/06/2024,35 ( 0 %),7,"6,400",914.29,7,"8,500","1,214","-2,100",abt
19/06/2024,35 ( 0 %),18,"11,000",611.11,10,"9,000",900,"2,000",abt
18/06/2024,35 ( 0 %),19,"4,900",257.89,16,"7,700",481,"-2,800",abt
17/06/2024,35 ( 0 %),12,"5,700",475,15,"4,100",273,"1,600",abt
14/06/2024,35 ( 0 %),20,"9,400",470,20,"6,200",310,"3,200",abt
13/06/2024,35 ( -4.11 %),11,"5,000",454.55,12,"9,100",758,"-4,100",abt
12/06/2024,36.5 ( 0 %),13,"7,500",576.92,9,"8,600",956,"-1,100",abt
11/06/2024,36.5 ( 0 %),8,"5,000",625,15,"6,400",427,"-1,400",abt
10/06/2024,36.5 ( -0.68 %),18,"6,400",355.56,20,"4,100",205,"2,300",abt
07/06/2024,36.75 ( 3.52 %),46,"18,200",395.65,14,"3,400",243,"14,800",abt
06/06/2024,35.5 ( 2.45 %),20,"7,000",350,9,"8,300",922,"-1,300",abt
05/06/2024,34.65 ( -0.86 %),20,"6,900",345,13,"7,500",577,-600,abt
04/06/2024,34.95 ( -0.57 %),20,"6,600",330,18,"8,400",467,"-1,800",abt
03/06/2024,35.15 ( 0 %),13,"3,500",269.23,6,"1,300",217,"2,200",abt
31/05/2024,35.15 ( 0 %),7,"1,700",242.86,7,"1,700",243,0,abt
30/05/2024,35.15 ( 0 %),7,"4,700",671.43,9,"3,900",433,800,abt
29/05/2024,35.15 ( 1.01 %),18,"11,700",650,7,"3,400",486,"8,300",abt
28/05/2024,34.8 ( -1.42 %),12,"9,200",766.67,17,"7,200",424,"2,000",abt
27/05/2024,35.3 ( 1.44 %),19,"15,500",815.79,16,"7,700",481,"7,800",abt
24/05/2024,34.8 ( -1.69 %),15,"13,800",920,19,"15,900",837,"-2,100",abt
23/05/2024,35.4 ( 0 %),13,"8,800",676.92,14,"4,000",286,"4,800",abt
22/05/2024,35.4 ( 1.14 %),24,"17,400",725,23,"9,300",404,"8,100",abt
21/05/2024,35 ( 3.55 %),21,"11,800",561.9,5,900,180,"10,900",abt
20/05/2024,33.8 ( -3.43 %),29,"14,000",482.76,14,"6,800",486,"7,200",abt
17/05/2024,35 ( 0 %),11,"8,400",763.64,11,"6,000",545,"2,400",abt
16/05/2024,35 ( 0 %),13,"3,300",253.85,14,"7,600",543,"-4,300",abt
15/05/2024,35 ( 5.11 %),21,"23,700","1,128.57",20,"17,900",895,"5,800",abt
14/05/2024,33.3 ( 0.3 %),14,"6,400",457.14,5,"1,800",360,"4,600",abt
13/05/2024,33.2 ( -4.05 %),24,"19,200",800,14,"9,400",671,"9,800",abt
10/05/2024,34.6 ( 0.29 %),16,"11,400",712.5,13,"6,000",462,"5,400",abt
09/05/2024,34.5 ( 0.44 %),27,"19,700",729.63,23,"13,100",570,"6,600",abt
08/05/2024,34.35 ( 0 %),13,"8,300",638.46,11,"6,700",609,"1,600",abt
07/05/2024,34.35 ( 0 %),16,"9,200",575,13,"7,600",585,"1,600",abt
06/05/2024,34.35 ( -0.43 %),22,"13,200",600,15,"5,200",347,"8,000",abt
03/05/2024,34.5 ( 4.55 %),20,"5,600",280,11,"4,900",445,700,abt
02/05/2024,33 ( -2.94 %),16,"6,400",400,8,"3,300",412,"3,100",abt
26/04/2024,34 ( 0 %),11,"5,200",472.73,7,"3,500",500,"1,700",abt
25/04/2024,34 ( 0 %),13,"6,700",515.38,16,"7,400",462,-700,abt
24/04/2024,34 ( 0 %),15,"30,900","2,060",31,"16,700",539,"14,200",abt
23/04/2024,34 ( 0 %),7,"3,000",428.57,19,"5,000",263,"-2,000",abt
22/04/2024,34 ( 3.03 %),15,"8,200",546.67,20,"5,700",285,"2,500",abt
19/04/2024,33 ( -1.79 %),14,"4,500",321.43,20,"3,700",185,800,abt
17/04/2024,33.6 ( -0.15 %),11,"5,000",454.55,16,"10,500",656,"-5,500",abt
16/04/2024,33.65 ( -0.59 %),20,"6,300",315,22,"7,300",332,"-1,000",abt
15/04/2024,33.85 ( 0 %),18,"12,200",677.78,24,"18,300",762,"-6,100",abt
12/04/2024,33.85 ( 0 %),18,"5,700",316.67,16,"8,100",506,"-2,400",abt
11/04/2024,33.85 ( 0 %),15,"4,000",266.67,12,"3,200",267,800,abt
10/04/2024,33.85 ( 1.04 %),17,"15,000",882.35,14,"6,400",457,"8,600",abt
09/04/2024,33.5 ( 0.3 %),15,"9,900",660,23,"4,300",187,"5,600",abt
08/04/2024,33.4 ( 0 %),16,"11,400",712.5,10,"2,400",240,"9,000",abt
05/04/2024,33.4 ( 0 %),14,"13,100",935.71,13,"5,400",415,"7,700",abt
04/04/2024,33.4 ( -1.76 %),31,"16,100",519.35,19,"10,800",568,"5,300",abt
03/04/2024,34 ( 0 %),45,"19,100",424.44,15,"12,700",847,"6,400",abt
02/04/2024,34 ( 0.89 %),22,"7,100",322.73,11,"2,900",264,"4,200",abt
01/04/2024,33.7 ( -1.17 %),42,"18,600",442.86,28,"13,900",496,"4,700",abt
29/03/2024,34.1 ( 0 %),24,"8,900",370.83,16,"6,400",400,"2,500",abt
28/03/2024,34.1 ( -1.16 %),12,"6,600",550,13,"5,200",400,"1,400",abt
27/03/2024,34.5 ( -0.72 %),18,"8,300",461.11,20,"4,000",200,"4,300",abt
26/03/2024,34.75 ( -0.14 %),30,"10,700",356.67,18,"4,700",261,"6,000",abt
25/03/2024,34.8 ( 0.29 %),43,"19,100",444.19,13,"2,700",208,"16,400",abt
22/03/2024,34.7 ( 2.06 %),44,"21,100",479.55,36,"14,200",394,"6,900",abt
21/03/2024,34 ( -0.87 %),36,"30,000",833.33,21,"19,800",943,"10,200",abt
20/03/2024,34.3 ( -2.83 %),31,"12,900",416.13,22,"36,200","1,645","-23,300",abt
19/03/2024,35.3 ( -7.11 %),48,"46,400",966.67,23,"43,800","1,904","2,600",abt
18/03/2024,38 ( 0 %),37,"19,800",535.14,28,"18,400",657,"1,400",abt
15/03/2024,38 ( 0 %),35,"22,000",628.57,15,"10,400",693,"11,600",abt
14/03/2024,38 ( 1.74 %),41,"29,500",719.51,26,"29,300","1,127",200,abt
13/03/2024,37.35 ( -0.4 %),78,"37,800",484.62,17,"22,500","1,324","15,300",abt
12/03/2024,37.5 ( 1.35 %),27,"8,200",303.7,39,"35,500",910,"-27,300",abt
11/03/2024,37 ( -1.2 %),33,"12,200",369.7,21,"8,900",424,"3,300",abt
08/03/2024,37.45 ( -0.53 %),35,"8,200",234.29,36,"12,500",347,"-4,300",abt
07/03/2024,37.65 ( -0.66 %),19,"5,300",278.95,36,"10,300",286,"-5,000",abt
06/03/2024,37.9 ( 4.12 %),32,"25,800",806.25,35,"21,100",603,"4,700",abt
05/03/2024,36.4 ( 0.55 %),46,"14,400",313.04,24,"29,900","1,246","-15,500",abt
04/03/2024,36.2 ( 0 %),33,"15,900",481.82,30,"20,100",670,"-4,200",abt
01/03/2024,36.2 ( 3.43 %),24,"6,800",283.33,22,"6,200",282,600,abt
