date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,24.45,--,0.3(1.24 %),"2,617,700",63.66,"220,000",5.68,24.25,24.5,24.2
11/09/2024,24.15,--,-0.1(-0.41 %),"3,584,100",86.6,"100,001",2.59,24.15,24.25,24.1
10/09/2024,24.25,--,-0.2(-0.82 %),"6,133,500",149.13,"200,002",4.56,24.45,24.55,24.1
09/09/2024,24.45,--,-0.15(-0.61 %),"4,686,500",114.34,"3,235,402",85.06,24.55,24.6,24.3
06/09/2024,24.6,--,0.1(0.41 %),"5,003,500",122.67,"971,000",25.31,24.5,24.6,24.45
05/09/2024,24.5,--,-0.15(-0.61 %),"3,534,700",86.86,"341,900",9.01,24.65,24.7,24.45
04/09/2024,24.65,--,-0.15(-0.60 %),"5,632,900",138.28,"6,080,504",159.71,24.5,24.7,24.45
30/08/2024,24.8,--,0.15(0.61 %),"4,483,800",110.82,"372,904",9.83,24.65,24.8,24.65
29/08/2024,24.65,--,0.15(0.61 %),"8,588,000",212.23,"4,240,001",111.07,24.55,24.9,24.55
28/08/2024,24.5,--,0.05(0.20 %),"5,222,500",127.69,"2,477,905",64.65,24.5,24.55,24.4
27/08/2024,24.45,--,0(0.00 %),"4,154,700",101.56,"883,401",22.33,24.45,24.5,24.4
26/08/2024,24.45,--,0(0.00 %),"4,921,300",120.39,"2,199,200",57.51,24.55,24.55,24.4
23/08/2024,24.45,--,0.05(0.20 %),"3,892,900",94.89,"2,230,006",58.18,24.4,24.5,24.25
22/08/2024,24.4,--,0(0.00 %),"6,789,100",165.57,"1,000,004",26.1,24.5,24.55,24.3
21/08/2024,24.4,--,0.3(1.24 %),"6,556,900",159.1,"1,200,000",30.25,24.05,24.4,24.05
20/08/2024,24.1,--,0.05(0.21 %),"5,413,000",130.53,"2,165,701",55.66,24.05,24.3,24
19/08/2024,24.05,--,0.05(0.21 %),"3,836,600",92.21,"3,459,928",88.45,24,24.15,23.95
16/08/2024,24,--,0.5(2.13 %),"6,516,200",155.32,"1,385,000",30.47,23.5,24,23.5
15/08/2024,23.5,--,-0.05(-0.21 %),"2,655,100",62.43,"1,284,100",31.55,23.55,23.6,23.45
14/08/2024,23.55,--,-0.05(-0.21 %),"3,316,800",78.41,3,0,23.7,23.8,23.55
14/08/2024,23.55,--,-0.05(-0.21 %),"3,316,800",78.41,3,0,23.7,23.8,23.55
13/08/2024,23.6,--,-0.2(-0.84 %),"2,850,000",67.48,"235,001",5.97,23.55,23.8,23.5
12/08/2024,23.8,--,0.2(0.85 %),"4,197,300",98.71,"2,041,304",51.28,23.6,23.8,23.3
09/08/2024,23.6,--,0.35(1.51 %),"3,006,900",70.62,"235,000",5.1,23.4,23.6,23.3
08/08/2024,23.25,--,-0.15(-0.64 %),"3,649,600",85.16,"2,172,101",53.2,23.25,23.5,23.25
07/08/2024,23.4,--,-0.1(-0.43 %),"4,400,300",103.07,"810,700",20.3,23.6,23.6,23.3
06/08/2024,23.5,--,0.3(1.29 %),"8,020,900",188.03,"286,001",6.86,23.5,23.65,23.25
05/08/2024,23.2,--,-0.75(-3.13 %),"20,086,500",471.88,"11,249,103",287.98,23.6,23.85,23.15
02/08/2024,23.95,--,0(0.00 %),"13,706,000",326.48,"100,000",2.56,23.9,24,23.65
01/08/2024,23.95,--,-0.6(-2.44 %),"9,174,700",221.88,"2,854,302",73.35,24.5,24.6,23.95
31/07/2024,24.55,--,0.4(1.66 %),"8,548,700",208.48,0,0,24.2,24.55,24.1
30/07/2024,24.15,--,0(0.00 %),"5,489,200",132,"1,735,000",43.99,24,24.15,23.95
29/07/2024,24.15,--,0.05(0.21 %),"4,102,600",99.07,"241,116",6.19,24.3,24.3,24.05
26/07/2024,24.1,--,0.05(0.21 %),"3,447,400",82.97,"235,000",6.02,24.1,24.15,24
25/07/2024,24.05,--,-0.15(-0.62 %),"7,155,800",171.37,"1,374,900",34.33,24.15,24.15,23.8
24/07/2024,24.2,--,0.2(0.83 %),"12,248,400",294.34,"235,001",5.29,24,24.4,23.8
23/07/2024,24,--,-0.75(-3.03 %),"15,105,000",367.99,"1,500,000",39.67,24.8,24.9,24
22/07/2024,24.75,--,-0.35(-1.39 %),"15,146,800",377.45,"2,608,401",69.81,25.1,25.2,24.65
19/07/2024,25.1,--,0.3(1.21 %),"17,067,800",428.19,"1,400,001",37.1,24.8,25.3,24.65
18/07/2024,24.8,--,0.3(1.22 %),"10,659,400",263.93,"1,055,801",26.3,24.5,25.1,24.5
17/07/2024,24.5,--,0.4(1.66 %),"28,890,400",713.2,"300,001",7.73,24.3,25.2,24.2
16/07/2024,24.1,--,0.15(0.63 %),"6,992,700",168.97,"9,026,000",204.51,24,24.3,23.95
15/07/2024,23.95,--,-0.05(-0.21 %),"4,481,500",107.48,"1,500,001",38.48,24,24.05,23.9
12/07/2024,24,--,-0.15(-0.62 %),"7,151,400",171.82,"7,512,200",170.32,24.1,24.15,23.8
11/07/2024,24.15,--,-0.1(-0.41 %),"4,990,300",120.89,0,0,24.35,24.35,24.15
10/07/2024,24.25,--,-0.05(-0.21 %),"6,470,200",157.38,"5,201,300",119.43,24.5,24.5,24.25
09/07/2024,24.3,--,0.05(0.21 %),"7,986,400",193.7,"698,801",18.1,24.15,24.4,24.05
08/07/2024,24.25,--,-0.05(-0.21 %),"4,943,500",119.48,"7,466,800",184.91,24.3,24.35,24.1
05/07/2024,24.3,--,0.15(0.62 %),"6,335,000",152.72,"1,000,001",25.8,24.15,24.3,24
04/07/2024,24.15,--,-0.1(-0.41 %),"6,368,100",153.58,"1,220,001",31.58,24.3,24.35,23.95
03/07/2024,24.25,--,0.2(0.83 %),"5,848,800",141.32,"3,120,000",71.8,24.15,24.4,23.95
02/07/2024,24.05,--,0.25(1.05 %),"5,696,300",136.59,"320,000",7.43,23.8,24.1,23.7
01/07/2024,23.8,--,0(0.00 %),"3,933,500",93.14,0,0,23.8,23.85,23.6
28/06/2024,23.8,--,-0.15(-0.63 %),"5,751,000",137.25,"8,221,830",200.36,23.8,24,23.75
27/06/2024,23.95,--,-0.15(-0.62 %),"4,901,400",117.04,"181,900",4.42,24,24.1,23.8
26/06/2024,24.1,--,0.05(0.21 %),"10,135,100",241.59,"1,944,600",49.67,24,24.1,23.6
25/06/2024,24.05,--,-0.05(-0.21 %),"6,698,400",160.67,"2,036,001",51.49,24,24.2,23.9
24/06/2024,24.1,--,-0.45(-1.83 %),"14,215,300",342.72,"336,800",8.06,24.6,24.6,23.9
21/06/2024,24.55,--,-0.25(-1.01 %),"5,122,000",125.91,0,0,24.85,24.85,24.5
20/06/2024,24.8,--,0.15(0.61 %),"10,170,900",250.32,"335,500",8.39,24.55,24.85,24.4
19/06/2024,24.65,--,0.1(0.41 %),"7,612,500",185.92,"197,000",5.17,24.55,24.7,24.25
18/06/2024,24.55,--,0(0.00 %),"5,724,600",140.54,"430,000",10.9,24.7,24.7,24.4
17/06/2024,24.55,--,-0.05(-0.20 %),"6,368,600",155.4,0,0,24.6,24.6,24.25
14/06/2024,24.6,--,-0.2(-0.81 %),"11,038,000",273.26,"497,000",12.45,24.7,24.9,24.6
13/06/2024,24.8,--,0.25(1.02 %),"11,713,500",288.63,"1,302,900",34.2,24.55,24.9,24.4
12/06/2024,24.55,--,0.4(1.66 %),"10,388,900",250.96,"1,254,700",32.11,24.15,24.55,23.9
11/06/2024,24.15,--,-0.25(-1.02 %),"9,200,500",222.93,"1,100,000",28.71,24.4,24.45,24.1
10/06/2024,24.4,--,-0.2(-0.81 %),"7,670,900",187.55,"1,714,000",45.02,24.6,24.7,24.3
07/06/2024,24.6,--,0.25(1.03 %),"5,887,100",143.89,"900,001",23.45,24.55,24.65,24.3
06/06/2024,24.35,--,0(0.00 %),"8,027,700",195.62,0,0,24.4,24.5,24.3
05/06/2024,24.35,--,-0.15(-0.61 %),"10,785,200",264.02,"534,700",13.75,24.75,24.75,24.3
04/06/2024,24.5,--,-0.3(-1.21 %),"9,722,200",239.44,"202,000",5.21,24.8,24.8,24.45
03/06/2024,24.8,--,0.15(0.61 %),"16,242,700",401.8,"1,562,800",40.05,24.85,24.95,24.6
31/05/2024,24.65,--,-0.05(-0.20 %),"11,122,400",276.87,"1,000,001",26.4,25,25.3,24.65
30/05/2024,29.4,24.7,0.15(0.51 %),"13,111,100",382.78,0,0,29.15,29.4,28.85
29/05/2024,29.25,24.57,-0.4(-1.35 %),"13,447,000",396.37,"1,649,401",48.55,29.7,29.75,29.25
28/05/2024,29.65,24.91,0.2(0.68 %),"10,686,700",314.99,2,0,29.7,29.7,29.3
27/05/2024,29.45,24.74,0.2(0.68 %),"7,535,500",222.16,"2,100,002",57.23,29.5,29.85,29.25
24/05/2024,29.25,24.57,0.8(2.81 %),"33,848,200",994.9,"1,000,001",30.4,28.45,30.2,28.25
23/05/2024,28.45,23.9,0.5(1.79 %),"10,449,700",295.47,"170,000",5.08,28,28.5,28
22/05/2024,27.95,23.48,-0.25(-0.89 %),"9,283,100",260.53,"1,375,400",41.47,28.2,28.25,27.9
21/05/2024,28.2,23.69,-0.05(-0.18 %),"10,824,000",303.65,"1,449,400",43.38,28.25,28.3,27.85
20/05/2024,28.25,23.73,0(0.00 %),"9,333,300",264.81,"753,983",22.42,28.5,28.55,28.2
17/05/2024,28.25,23.73,0(0.00 %),"8,504,100",240.65,"877,700",25.43,28.25,28.4,28.2
16/05/2024,28.25,23.73,0.55(1.99 %),"30,203,800",851.43,"74,101",2.19,28,28.4,27.8
15/05/2024,27.7,23.27,-0.05(-0.18 %),"7,803,400",216.79,"455,600",13.15,27.85,27.85,27.7
14/05/2024,27.75,23.31,0.05(0.18 %),"4,470,600",124.17,"1,485,000",41.3,27.7,27.9,27.65
13/05/2024,27.7,23.27,0(0.00 %),"5,551,200",154.14,"345,651",10.23,28,28,27.65
10/05/2024,27.7,23.27,0.1(0.36 %),"4,909,800",135.43,0,0,27.6,27.7,27.45
09/05/2024,27.6,23.18,0.05(0.18 %),"4,100,900",113.38,"107,900",3.14,27.6,27.8,27.5
08/05/2024,27.55,23.14,-0.1(-0.36 %),"4,037,700",111.04,"3,000,001",88.65,27.5,27.65,27.3
07/05/2024,27.65,23.23,0.05(0.18 %),"4,300,700",118.71,0,0,27.75,27.8,27.5
06/05/2024,27.6,23.18,0.1(0.36 %),"7,445,000",205.03,0,0,27.5,27.7,27.35
03/05/2024,27.5,23.1,0.5(1.85 %),"8,718,800",237.83,0,0,27.1,27.5,27.1
02/05/2024,27,22.68,0.15(0.56 %),"4,797,900",129.18,"27,200",0.78,26.85,27.15,26.8
26/04/2024,26.85,22.55,0.05(0.19 %),"5,444,000",145.72,0,0,26.8,27,26.6
25/04/2024,26.8,22.51,-0.25(-0.92 %),"5,141,600",138.13,"375,900",10.86,27,27.05,26.75
24/04/2024,27.05,22.72,0.4(1.50 %),"6,681,200",180.18,"20,000",0.57,26.8,27.1,26.7
23/04/2024,26.65,22.39,-0.15(-0.56 %),"8,540,500",228.26,"142,131",4.07,26.8,26.95,26.55
22/04/2024,26.8,22.51,0.2(0.75 %),"6,313,700",169.32,"915,687",26.05,26.9,26.95,26.7
19/04/2024,26.6,22.34,-0.15(-0.56 %),"10,862,500",289.23,"692,500",19.81,26.6,26.8,26.45
17/04/2024,26.75,22.47,-0.4(-1.47 %),"10,479,700",282.49,"2,112,501",61.37,27.2,27.25,26.75
16/04/2024,27.15,22.81,0.3(1.12 %),"17,350,400",467.65,"1,000,000",28.7,26.85,27.15,26.75
15/04/2024,26.85,22.55,-1.15(-4.11 %),"16,253,800",444.48,"3,250,000",97.34,27.8,28,26.85
12/04/2024,28,23.52,0.85(3.13 %),"9,767,600",268.8,"205,288,892","5,963.64",27.2,28,27
11/04/2024,27.15,22.81,0.05(0.18 %),"11,286,500",304.86,0,0,27,27.15,26.9
10/04/2024,27.1,22.76,-0.2(-0.73 %),"5,122,000",140.05,0,0,27.45,27.6,27.1
09/04/2024,27.3,22.93,0.15(0.55 %),"5,371,500",146.04,"20,000",0.58,27.15,27.3,27.05
08/04/2024,27.15,22.81,0(0.00 %),"6,869,300",186.2,0,0,27.15,27.25,26.95
05/04/2024,27.15,22.81,-0.4(-1.45 %),"12,289,500",335.09,"150,000",4.42,27.3,27.4,27.1
04/04/2024,27.55,23.14,-0.45(-1.61 %),"11,155,900",310.19,"223,600",6.7,28.05,28.05,27.55
03/04/2024,28,23.52,-0.4(-1.41 %),"10,199,400",286.72,"2,000,003",60.7,28.2,28.4,27.9
02/04/2024,28.4,23.86,-0.05(-0.18 %),"10,409,700",292.89,"3,700,000",112.48,28.3,28.4,27.9
01/04/2024,28.45,23.9,-0.05(-0.18 %),"6,174,900",174.92,"1,320,000",40.16,28.2,28.5,28.1
29/03/2024,28.5,23.94,0.15(0.53 %),"13,489,800",383.42,"2,929,901",88.57,28.4,28.65,28.15
28/03/2024,28.35,23.81,0.35(1.25 %),"12,423,400",352.52,"48,907,186","1,462.32",28.3,28.6,28.2
27/03/2024,28,23.52,0.05(0.18 %),"5,958,200",165.96,"366,600",10.75,27.95,28.05,27.6
26/03/2024,27.95,23.48,0.45(1.64 %),"6,283,500",173.54,"79,901",2.07,27.6,27.95,27.35
25/03/2024,27.5,23.1,-0.65(-2.31 %),"10,187,100",283.07,"2,588,600",77.09,28.05,28.05,27.5
22/03/2024,28.15,23.65,0.15(0.54 %),"22,676,200",643.42,"145,349,800","4,019.34",28.25,28.95,27.9
21/03/2024,28,23.52,0.5(1.82 %),"12,818,200",355.62,"417,800",11.31,27.7,28,27.55
20/03/2024,27.5,23.1,0.65(2.42 %),"14,002,400",383.24,"339,800",8.91,26.85,27.7,26.8
19/03/2024,26.85,22.55,-0.05(-0.19 %),"7,121,300",191.16,"149,201",3.76,26.8,27.05,26.75
18/03/2024,26.9,22.6,-0.45(-1.65 %),"14,119,300",379.81,"150,001",4.39,27.2,27.35,26.7
15/03/2024,27.35,22.97,0.1(0.37 %),"7,822,800",212.43,"1,180,000",29.97,27.25,27.4,27
14/03/2024,27.25,22.89,-0.4(-1.45 %),"8,224,300",224.78,1,0,27.6,27.6,27.05
13/03/2024,27.65,23.23,0.9(3.36 %),"8,935,300",242.88,0,0,26.75,27.65,26.75
12/03/2024,26.75,22.47,0(0.00 %),"8,312,600",222.32,0,0,26.65,26.85,26.6
11/03/2024,26.75,22.47,-0.3(-1.11 %),"12,015,800",323.07,"950,000",27.46,27.05,27.1,26.65
08/03/2024,27.05,22.72,-0.45(-1.64 %),"23,017,000",624.87,"2,000,000",58.8,27.5,27.65,27
07/03/2024,27.5,23.1,-0.1(-0.36 %),"10,165,800",279.67,1,0,27.6,27.7,27.4
06/03/2024,27.7,23.27,-0.25(-0.89 %),"7,041,200",196.48,"100,001",2.6,28,28.15,27.55
05/03/2024,27.95,23.48,0.15(0.54 %),"6,332,600",175.7,"150,000",4.22,27.8,28,27.55
04/03/2024,27.8,23.35,0(0.00 %),"13,216,500",366.12,"700,002",20.79,27.8,28.2,27.4
01/03/2024,27.8,23.35,-0.2(-0.71 %),"10,193,800",282.35,"1,000,001",29.95,28,28,27.55
29/02/2024,28,23.52,0(0.00 %),"9,951,400",278.32,0,0,28.1,28.25,27.7
28/02/2024,28,23.52,0.4(1.45 %),"10,460,800",290.15,"50,000",1.48,27.65,28,27.55
27/02/2024,27.6,23.18,0.1(0.36 %),"12,054,800",331.77,1,0,27.7,27.7,27.35
26/02/2024,27.5,23.1,0.2(0.73 %),"9,785,600",267.37,"437,067",11.1,27.3,27.7,27.1
23/02/2024,27.3,22.93,-0.35(-1.27 %),"25,975,600",725.42,1,0,27.7,28.4,27.3
22/02/2024,27.65,23.23,-0.05(-0.18 %),"7,401,800",204.55,"3,400,000",87.72,27.7,27.75,27.5
21/02/2024,27.7,23.27,0.15(0.54 %),"10,251,900",283.11,"100,000",2.95,27.5,27.9,27.4
20/02/2024,27.55,23.14,-0.15(-0.54 %),"7,316,400",201.46,"2,060,000",60.98,27.5,27.75,27.35
19/02/2024,27.7,23.27,0.1(0.36 %),"11,856,900",325.2,"1,110,000",32.63,27.7,27.7,27.2
16/02/2024,27.6,23.18,0.4(1.47 %),"9,495,400",260.9,"100,000",2.82,27.5,27.6,27.3
15/02/2024,27.2,22.85,-0.8(-2.86 %),"14,244,300",398.27,"1,000,000",29.95,28.05,28.4,27.2
07/02/2024,28,23.52,0.15(0.54 %),"11,893,900",333.35,"833,600",24.8,27.85,28.2,27.85
