date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,13.8,--,-0.05(-0.36 %),"8,600",0.12,0,0,13.85,13.85,13.8
11/09/2024,13.85,--,0(0.00 %),"4,600",0.06,0,0,13.8,13.85,13.8
10/09/2024,13.85,--,0.05(0.36 %),"4,100",0.06,0,0,13.8,13.85,13.75
09/09/2024,13.8,--,-0.05(-0.36 %),"10,200",0.14,0,0,13.8,13.8,13.75
06/09/2024,13.85,--,0.05(0.36 %),"65,200",0.9,0,0,13.8,13.85,13.75
05/09/2024,13.8,--,-0.05(-0.36 %),"4,700",0.07,0,0,13.85,13.85,13.8
04/09/2024,13.85,--,0(0.00 %),"41,700",0.57,0,0,13.8,13.85,13.8
30/08/2024,13.85,--,0.05(0.36 %),"4,200",0.06,0,0,13.8,13.85,13.7
29/08/2024,13.8,--,0.1(0.73 %),"896,400",12.46,0,0,13.75,14.2,13.75
28/08/2024,13.7,--,0.3(2.24 %),"1,300",0.02,0,0,13.8,13.8,13.5
27/08/2024,13.4,--,-0.05(-0.37 %),"22,200",0.3,0,0,13.45,13.6,13.4
26/08/2024,13.45,--,-0.2(-1.47 %),"62,400",0.84,0,0,13.7,13.7,13.4
23/08/2024,13.65,--,-0.15(-1.09 %),"7,300",0.1,0,0,13.7,13.7,13.65
22/08/2024,13.8,--,0(0.00 %),"6,700",0.09,0,0,13.75,13.8,13.7
21/08/2024,13.8,--,0.05(0.36 %),"13,200",0.18,0,0,13.85,13.85,13.65
20/08/2024,13.75,--,0.05(0.36 %),"7,500",0.1,0,0,13.8,13.8,13.65
19/08/2024,13.7,--,0.1(0.74 %),"5,800",0.08,0,0,14,14,13.4
16/08/2024,13.6,--,0.25(1.87 %),"12,600",0.17,0,0,13.6,13.6,13.6
15/08/2024,13.35,--,-0.1(-0.74 %),"15,400",0.21,0,0,13.4,13.45,13.3
14/08/2024,13.45,--,-0.15(-1.10 %),"41,900",0.56,0,0,13.15,13.6,13.15
14/08/2024,13.45,--,-0.15(-1.10 %),"41,900",0.56,0,0,13.15,13.6,13.15
13/08/2024,13.6,--,0(0.00 %),"60,000",0.8,0,0,13.5,13.6,13.25
12/08/2024,13.6,--,-0.1(-0.73 %),"4,500",0.06,0,0,12.85,13.75,12.85
09/08/2024,13.7,--,0.4(3.01 %),"7,200",0.1,0,0,13.7,13.9,13.3
08/08/2024,13.3,--,0.05(0.38 %),"5,100",0.07,0,0,13.3,13.3,13
07/08/2024,13.25,--,0(0.00 %),"6,300",0.08,0,0,13.4,13.4,13.1
06/08/2024,13.25,--,0.85(6.85 %),"17,300",0.23,0,0,12.5,13.25,12.5
05/08/2024,12.4,--,-0.85(-6.42 %),"17,000",0.22,0,0,13.1,13.1,12.4
02/08/2024,13.25,--,0.25(1.92 %),"2,900",0.04,0,0,13.3,13.3,13.2
01/08/2024,13,--,-0.8(-5.80 %),"10,800",0.14,0,0,13.8,13.8,13
31/07/2024,13.8,--,-0.1(-0.72 %),"4,700",0.06,0,0,13.5,13.8,13.5
30/07/2024,13.9,--,0(0.00 %),"9,600",0.13,0,0,13.9,13.9,13.6
29/07/2024,13.9,--,0(0.00 %),"18,300",0.25,0,0,13.7,13.9,13.7
26/07/2024,13.9,--,0.2(1.46 %),"10,400",0.14,0,0,13.35,13.9,13.2
25/07/2024,13.7,--,0.35(2.62 %),"21,800",0.29,0,0,13.3,13.7,13.3
24/07/2024,13.35,--,-0.35(-2.55 %),"4,400",0.06,0,0,13.55,13.8,13.35
23/07/2024,13.7,--,-0.25(-1.79 %),"7,400",0.1,0,0,13.55,13.8,13.45
22/07/2024,13.95,--,0(0.00 %),"25,000",0.34,0,0,13.8,13.95,13.45
19/07/2024,13.95,--,0(0.00 %),"24,400",0.34,0,0,13.95,14,13.85
18/07/2024,13.95,--,-0.1(-0.71 %),"79,800",1.1,0,0,14.1,14.1,13.45
17/07/2024,14.05,--,0.05(0.36 %),"27,900",0.39,0,0,14.05,14.1,14
16/07/2024,14,--,0.3(2.19 %),"60,600",0.84,0,0,13.8,14,13.7
15/07/2024,13.7,--,0.15(1.11 %),"35,400",0.48,0,0,13.55,13.8,13.55
12/07/2024,13.55,--,0(0.00 %),"55,500",0.75,0,0,13.5,13.65,13.2
11/07/2024,13.55,--,0.05(0.37 %),"42,600",0.57,0,0,13.8,13.8,13.3
10/07/2024,13.5,--,0(0.00 %),"74,000",1,0,0,13.2,13.85,13.2
09/07/2024,13.5,--,0(0.00 %),"39,200",0.53,0,0,13.4,13.7,13.4
08/07/2024,13.5,--,0.05(0.37 %),"67,100",0.9,0,0,13.6,13.6,13.25
05/07/2024,13.45,--,0(0.00 %),"56,500",0.76,0,0,13.45,13.7,13.45
04/07/2024,13.45,--,0.2(1.51 %),"112,500",1.5,0,0,13.3,13.5,13.3
03/07/2024,13.25,--,-0.5(-3.64 %),"103,900",1.41,0,0,13.2,13.75,13.2
02/07/2024,13.75,--,0.55(4.17 %),"91,100",1.22,0,0,13.2,13.75,13
01/07/2024,13.2,--,-0.65(-4.69 %),"16,600",0.22,0,0,13.2,13.75,13.2
28/06/2024,13.85,--,0.05(0.36 %),"51,200",0.69,0,0,13.85,13.85,13.05
27/06/2024,13.8,--,0.05(0.36 %),"184,500",2.5,0,0,13.7,13.85,13.05
26/06/2024,13.75,--,-0.1(-0.72 %),"7,000",0.1,0,0,13.85,13.85,13.75
25/06/2024,13.85,--,0(0.00 %),"43,700",0.61,0,0,13.9,13.9,13.8
