date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,33.3,--,-0.6(-1.77 %),200,0.01,0,0.0,33.3,33.3,33.3,ace
11/09/2024,34.2,--,0.4(1.18 %),601,0.02,0,0.0,33.7,34.3,33.7,ace
10/09/2024,34.5,--,0.6(1.77 %),704,0.02,0,0.0,33.9,34.5,33.3,ace
09/09/2024,33.9,--,0(0.00 %),203,0.01,0,0.0,33.9,33.9,33.9,ace
06/09/2024,33.3,--,-0.7(-2.06 %),"3,100",0.1,0,0.0,34.0,34.0,33.3,ace
05/09/2024,34.0,--,0.3(0.89 %),102,0.0,0,0.0,34.0,34.0,34.0,ace
04/09/2024,34.8,--,-0.2(-0.57 %),"11,705",0.39,0,0.0,33.3,34.8,33.3,ace
30/08/2024,35.0,--,0.1(0.29 %),"2,901",0.1,0,0.0,35.0,35.0,34.9,ace
29/08/2024,35.0,--,0.3(0.86 %),"20,902",0.73,0,0.0,34.7,35.4,34.5,ace
28/08/2024,34.5,--,1(2.99 %),"9,700",0.34,0,0.0,34.4,34.8,34.4,ace
27/08/2024,33.5,--,0(0.00 %),600,0.02,0,0.0,33.5,33.5,33.5,ace
26/08/2024,33.2,--,-1(-2.92 %),801,0.03,0,0.0,34.2,34.3,33.2,ace
23/08/2024,34.2,--,0(0.00 %),"1,200",0.04,0,0.0,34.2,34.2,34.2,ace
22/08/2024,34.3,--,0.8(2.39 %),"5,700",0.19,0,0.0,34.2,34.3,34.1,ace
21/08/2024,34.1,--,0.5(1.49 %),"2,800",0.09,"20,677",0.59,33.3,34.1,33.2,ace
20/08/2024,33.3,--,-0.7(-2.06 %),"10,104",0.34,0,0.0,34.0,34.0,33.3,ace
19/08/2024,33.9,--,-0.7(-2.02 %),"5,100",0.17,0,0.0,34.2,34.2,33.9,ace
16/08/2024,34.7,--,-0.5(-1.42 %),"19,103",0.66,0,0.0,35.1,35.2,33.9,ace
15/08/2024,35.2,--,0.2(0.57 %),"1,801",0.06,0,0.0,35.0,35.4,35.0,ace
14/08/2024,34.8,--,0.4(1.16 %),"9,503",0.33,0,0.0,35.8,35.8,34.8,ace
14/08/2024,34.8,--,0.4(1.16 %),"9,503",0.33,0,0.0,35.8,35.8,34.8,ace
13/08/2024,36.9,34.4,0(0.00 %),"2,604",0.1,0,0.0,36.9,36.9,36.8,ace
12/08/2024,36.5,34.03,-0.3(-0.82 %),"12,201",0.45,0,0.0,36.8,37.0,36.5,ace
09/08/2024,36.8,34.3,0(0.00 %),403,0.01,0,0.0,36.9,36.9,36.8,ace
08/08/2024,36.7,34.21,0.2(0.55 %),"1,600",0.06,0,0.0,36.8,36.8,36.7,ace
07/08/2024,35.9,33.47,-0.4(-1.10 %),"2,419",0.09,0,0.0,36.3,36.9,35.9,ace
06/08/2024,36.7,34.21,0.4(1.10 %),"1,401",0.05,0,0.0,36.8,36.8,36.0,ace
05/08/2024,36.3,33.84,-0.6(-1.63 %),"2,306",0.08,0,0.0,35.8,36.8,35.1,ace
02/08/2024,36.9,34.4,0.1(0.27 %),"2,203",0.08,0,0.0,36.9,36.9,36.9,ace
01/08/2024,37.0,34.49,0.1(0.27 %),"38,627",1.42,0,0.0,37.0,37.0,36.5,ace
31/07/2024,36.6,34.12,-0.4(-1.08 %),"30,701",1.13,0,0.0,36.5,37.1,36.5,ace
30/07/2024,36.8,34.3,0.4(1.10 %),"25,317",0.94,0,0.0,36.8,37.2,36.8,ace
29/07/2024,36.8,34.3,0.9(2.51 %),"32,003",1.17,0,0.0,36.1,36.9,35.7,ace
26/07/2024,35.8,33.37,1.3(3.77 %),"15,001",0.54,0,0.0,35.9,36.2,35.8,ace
25/07/2024,35.7,33.28,-0.1(-0.28 %),"6,001",0.21,0,0.0,33.6,35.7,33.6,ace
24/07/2024,35.9,33.47,0(0.00 %),"6,602",0.24,0,0.0,35.7,35.9,35.5,ace
23/07/2024,36.1,33.65,0.2(0.56 %),2,0.0,0,0.0,35.9,35.9,35.9,ace
22/07/2024,36.1,33.65,0.1(0.28 %),"9,928",0.36,0,0.0,35.7,36.2,35.6,ace
19/07/2024,36.2,33.75,0.6(1.69 %),"14,203",0.51,0,0.0,35.7,36.4,35.6,ace
18/07/2024,35.8,33.37,-0.5(-1.38 %),"9,521",0.34,0,0.0,36.5,36.5,35.4,ace
17/07/2024,35.7,33.28,-0.3(-0.83 %),"24,508",0.89,0,0.0,36.8,37.0,35.5,ace
16/07/2024,36.6,34.12,0.4(1.10 %),"40,500",1.46,0,0.0,35.7,36.7,35.7,ace
15/07/2024,35.7,33.28,-1.1(-2.99 %),"10,700",0.39,0,0.0,36.7,36.7,35.7,ace
12/07/2024,36.8,34.3,0.8(2.22 %),"14,302",0.53,0,0.0,36.4,37.0,36.4,ace
11/07/2024,36.4,33.93,-0.4(-1.09 %),"35,401",1.27,0,0.0,36.0,36.6,35.6,ace
10/07/2024,36.8,34.3,0.7(1.94 %),"18,003",0.66,0,0.0,36.5,36.9,36.5,ace
09/07/2024,36.8,34.3,0.7(1.94 %),"24,829",0.9,0,0.0,36.4,36.8,35.5,ace
08/07/2024,36.8,34.3,0(0.00 %),"23,103",0.83,0,0.0,36.5,37.0,35.4,ace
05/07/2024,36.8,34.3,0.6(1.66 %),"5,200",0.19,0,0.0,36.9,37.0,35.8,ace
04/07/2024,36.9,34.4,0.6(1.65 %),"27,000",0.98,0,0.0,35.4,37.2,35.4,ace
03/07/2024,37.1,34.58,0.8(2.20 %),"23,702",0.86,0,0.0,37.0,37.1,35.4,ace
02/07/2024,37.1,34.58,1.5(4.21 %),"24,900",0.9,0,0.0,35.0,37.2,35.0,ace
01/07/2024,35.6,33.19,-0.9(-2.47 %),"3,000",0.11,0,0.0,35.7,35.7,35.6,ace
28/06/2024,36.6,34.12,0.3(0.83 %),"17,000",0.62,0,0.0,37.0,37.2,36.1,ace
27/06/2024,36.2,33.75,-0.9(-2.43 %),"10,500",0.38,0,0.0,36.5,36.9,36.1,ace
26/06/2024,37.1,34.58,0.3(0.82 %),"24,501",0.91,0,0.0,36.8,37.3,36.4,ace
25/06/2024,37.3,34.77,0.3(0.81 %),"20,500",0.75,0,0.0,37.3,37.3,36.2,ace
24/06/2024,37.3,34.77,0.5(1.36 %),"15,606",0.58,0,0.0,36.6,37.3,36.4,ace
21/06/2024,37.5,34.96,0.9(2.46 %),"17,000",0.63,0,0.0,36.3,37.8,36.3,ace
20/06/2024,36.9,34.4,0.2(0.54 %),"16,000",0.59,0,0.0,36.8,36.9,36.1,ace
19/06/2024,35.7,33.28,-1.2(-3.25 %),"20,904",0.77,0,0.0,36.9,37.2,35.7,ace
