date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,33.3(-1.77 %),0,0,0,0,0,0,"144,819",0.25%
11/09/2024,34.2(1.18 %),0,0,0,0,0,0,"144,819",0.25%
10/09/2024,34.5(1.77 %),100,0,100,0,0,0,"144,819",0.25%
09/09/2024,33.9(0.00 %),0,0,0,0,0,0,"144,919",0.25%
06/09/2024,33.3(-2.06 %),0,0,0,0,0,0,"144,919",0.25%
05/09/2024,34(0.89 %),0,0,0,0,0,0,"144,919",0.25%
04/09/2024,34.8(-0.57 %),0,0,0,0,0,0,"144,919",0.25%
30/08/2024,35(0.29 %),0,0,0,0,0,0,"144,919",0.25%
29/08/2024,35(0.86 %),0,0,0,0,0,0,"144,919",0.25%
28/08/2024,34.5(2.99 %),0,0,0,0,0,0,"144,919",0.25%
27/08/2024,33.5(0.00 %),0,0,0,0,0,0,"144,919",0.25%
26/08/2024,33.2(-2.92 %),0,0,0,0,0,0,"144,919",0.25%
23/08/2024,34.2(0.00 %),0,0,0,0,0,0,"144,919",0.25%
22/08/2024,34.3(2.39 %),0,0,0,0,0,0,"144,919",0.25%
21/08/2024,34.1(1.49 %),0,0,0,0,0,0,"144,919",0.25%
20/08/2024,33.3(-2.06 %),0,0,0,0,0,0,"144,919",0.25%
19/08/2024,33.9(-2.02 %),0,0,0,0,0,0,"144,919",0.25%
16/08/2024,34.7(-1.42 %),0,0,0,0,0,0,"144,919",0.25%
15/08/2024,35.2(0.57 %),0,0,0,0,0,0,"144,919",0.25%
14/08/2024,34.8(1.16 %),0,0,0,0,0,0,"144,919",0.25%
13/08/2024,36.9(0.00 %),0,0,0,0,0,0,"144,919",0.25%
12/08/2024,36.5(-0.82 %),0,0,0,0,0,0,"144,919",0.25%
09/08/2024,36.8(0.00 %),0,0,0,0,0,0,"144,919",0.25%
08/08/2024,36.7(0.55 %),0,0,0,0,0,0,"144,919",0.25%
07/08/2024,35.9(-1.10 %),0,0,0,0,0,0,"144,919",0.25%
06/08/2024,36.7(1.10 %),0,0,0,0,0,0,"144,919",0.25%
05/08/2024,36.3(-1.63 %),0,0,0,0,0,0,"144,919",0.25%
02/08/2024,36.9(0.27 %),0,0,0,0,0,0,"144,919",0.25%
01/08/2024,37(0.27 %),0,0,0,0,0,0,"144,919",0.25%
31/07/2024,36.6(-1.08 %),0,0,0,0,0,0,"144,919",0.25%
30/07/2024,36.8(1.10 %),0,0,0,0,0,0,"144,919",0.25%
29/07/2024,36.8(2.51 %),0,0,0,0,0,0,"144,919",0.25%
24/07/2024,35.9(0.00 %),0,0,0,0,0,0,"144,919",0.25%
23/07/2024,36.1(0.56 %),0,0,0,0,0,0,"144,919",0.25%
22/07/2024,36.1(0.28 %),0,0,0,0,0,0,"144,919",0.25%
19/07/2024,36.2(1.69 %),0,0,0,0,0,0,"144,919",0.25%
18/07/2024,35.8(-1.38 %),0,0,0,0,0,0,"144,919",0.25%
17/07/2024,0(0.00 %),0,0,0,0,0,0,"144,919",0.25%
16/07/2024,0(0.00 %),0,0,0,0,0,0,"144,919",0.25%
15/07/2024,35.7(-2.99 %),0,0,0,0,0,0,"144,919",0.25%
12/07/2024,36.8(2.22 %),0,0,0,0,0,0,"144,919",0.25%
11/07/2024,36.4(-1.09 %),0,0,0,0,0,0,"144,919",0.25%
10/07/2024,36.8(1.94 %),0,0,0,0,0,0,"144,919",0.25%
08/07/2024,36.8(0.00 %),0,0,0,0,0,0,"144,919",0.25%
04/07/2024,36.9(1.65 %),0,0,0,0,0,0,"144,919",0.25%
03/07/2024,37.1(2.20 %),0,0,0,0,0,0,"144,919",0%
02/07/2024,37.1(4.21 %),0,0,0,0,0,0,"144,919",0.25%
01/07/2024,35.6(-2.47 %),0,0,0,0,0,0,"144,919",0.25%
28/06/2024,36.6(0.83 %),0,0,0,0,0,0,"144,919",0.25%
27/06/2024,36.2(-2.43 %),0,0,0,0,0,0,"144,919",0.25%
26/06/2024,37.1(0.82 %),0,0,0,0,0,0,"144,919",0.25%
25/06/2024,37.3(0.81 %),0,0,0,0,0,0,"144,919",0.25%
24/06/2024,37.3(1.36 %),0,0,0,0,0,0,"144,919",0.25%
21/06/2024,37.5(2.46 %),0,0,0,0,0,0,"144,919",0.25%
20/06/2024,36.9(0.54 %),0,0,0,0,0,0,"144,919",0.25%
19/06/2024,35.7(-3.25 %),0,0,0,0,0,0,"144,919",0.25%
18/06/2024,37(0.27 %),0,0,0,0,0,0,"144,919",0.25%
