date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,12 ( -0.41 %),30,"25,800",860,32,"65,400","2,044","-39,600",acl
11/09/2024,12.05 ( -0.41 %),59,"80,000","1,355.93",45,"84,500","1,878","-4,500",acl
10/09/2024,12.1 ( 0.83 %),62,"65,400","1,054.84",68,"112,800","1,659","-47,400",acl
09/09/2024,12 ( 0.42 %),35,"35,800","1,022.86",42,"64,400","1,533","-28,600",acl
06/09/2024,11.95 ( -0.42 %),25,"25,500","1,020",63,"104,800","1,663","-79,300",acl
05/09/2024,12 ( 0 %),36,"43,600","1,211.11",52,"88,200","1,696","-44,600",acl
04/09/2024,12 ( 0 %),37,"47,900","1,294.59",54,"101,500","1,880","-53,600",acl
30/08/2024,12 ( 0.42 %),66,"57,800",875.76,58,"112,600","1,941","-54,800",acl
29/08/2024,11.95 ( 0.42 %),51,"53,800","1,054.9",46,"101,200","2,200","-47,400",acl
28/08/2024,11.9 ( -0.42 %),50,"39,900",798,34,"87,900","2,585","-48,000",acl
27/08/2024,11.95 ( 0 %),26,"31,300","1,203.85",32,"92,900","2,903","-61,600",acl
26/08/2024,11.95 ( 0 %),37,"48,700","1,316.22",39,"63,700","1,633","-15,000",acl
23/08/2024,11.95 ( -0.42 %),77,"74,500",967.53,64,"103,600","1,619","-29,100",acl
22/08/2024,12 ( 0 %),62,"50,200",809.68,48,"100,700","2,098","-50,500",acl
21/08/2024,12 ( 0.84 %),82,"81,300",991.46,62,"126,600","2,042","-45,300",acl
20/08/2024,11.9 ( -0.42 %),50,"50,100","1,002",46,"102,700","2,233","-52,600",acl
19/08/2024,11.95 ( -0.42 %),40,"40,100","1,002.5",50,"81,400","1,628","-41,300",acl
16/08/2024,12 ( 0.42 %),77,"80,900","1,050.65",58,"63,000","1,086","17,900",acl
15/08/2024,11.95 ( 0.42 %),63,"48,100",763.49,41,"74,300","1,812","-26,200",acl
14/08/2024,11.9 ( 0.42 %),36,"32,200",894.44,34,"46,100","1,356","-13,900",acl
13/08/2024,11.85 ( 0 %),49,"42,900",875.51,31,"68,800","2,219","-25,900",acl
12/08/2024,11.85 ( -1.25 %),44,"31,800",722.73,35,"77,500","2,214","-45,700",acl
08/08/2024,12 ( 2.13 %),61,"38,300",627.87,49,"72,600","1,482","-34,300",acl
07/08/2024,11.75 ( 0 %),60,"33,800",563.33,49,"96,100","1,961","-62,300",acl
06/08/2024,11.75 ( -2.49 %),55,"34,700",630.91,50,"79,900","1,598","-45,200",acl
05/08/2024,12.05 ( -2.82 %),83,"56,800",684.34,75,"136,700","1,823","-79,900",acl
02/08/2024,12.4 ( 2.06 %),66,"43,200",654.55,50,"43,800",876,-600,acl
01/08/2024,12.15 ( -2.8 %),127,"108,500",854.33,98,"235,400","2,402","-126,900",acl
31/07/2024,12.5 ( -0.79 %),139,"98,500",708.63,85,"136,700","1,608","-38,200",acl
30/07/2024,12.6 ( -0.79 %),81,"66,700",823.46,64,"146,600","2,291","-79,900",acl
29/07/2024,12.7 ( 0 %),86,"48,200",560.47,73,"134,500","1,842","-86,300",acl
26/07/2024,12.7 ( 0.79 %),39,"37,700",966.67,49,"98,200","2,004","-60,500",acl
25/07/2024,12.6 ( 0 %),48,"39,400",820.83,57,"93,500","1,640","-54,100",acl
24/07/2024,12.6 ( -3.08 %),56,"35,100",626.79,60,"108,700","1,812","-73,600",acl
22/07/2024,12.9 ( 0.39 %),69,"48,500",702.9,51,"67,800","1,329","-19,300",acl
19/07/2024,12.85 ( -0.39 %),60,"35,500",591.67,64,"94,300","1,473","-58,800",acl
18/07/2024,12.9 ( 0.78 %),49,"36,100",736.73,68,"134,600","1,979","-98,500",acl
17/07/2024,0 ( 0 %),44,"41,600",945.45,66,"115,900","1,756","-74,300",acl
16/07/2024,0 ( 0 %),52,"67,600","1,300",49,"149,900","3,059","-82,300",acl
