date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,999,427",1.94%,acm
11/09/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,999,427",1.94%,acm
10/09/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,999,427",1.94%,acm
09/09/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,999,427",1.94%,acm
06/09/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,999,427",1.94%,acm
05/09/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,999,427",1.94%,acm
04/09/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,991,527",1.96%,acm
30/08/2024,0.7(0.00 %),"-6,900",-0.0,"1,000",0.0,"7,900",0.0,"23,991,527",1.96%,acm
29/08/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,527",1.96%,acm
28/08/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,527",1.96%,acm
27/08/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,527",1.96%,acm
26/08/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,527",1.96%,acm
23/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,527",1.96%,acm
22/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,527",1.96%,acm
21/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,527",1.96%,acm
20/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,527",1.96%,acm
19/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,527",1.96%,acm
16/08/2024,0.7(16.67 %),206,0.0,206,0.0,0,0.0,"23,992,527",1.96%,acm
15/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
14/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
13/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
12/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
09/08/2024,0.7(16.67 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
08/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
07/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
06/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
05/08/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
02/08/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
01/08/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
31/07/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
30/07/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
29/07/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
24/07/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
23/07/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
22/07/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"23,992,733",1.96%,acm
19/07/2024,0.6(-14.29 %),"14,000",0.01,"14,000",0.01,0,0.0,"23,992,733",1.96%,acm
18/07/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"24,006,733",1.93%,acm
17/07/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"24,006,733",1.93%,acm
16/07/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"24,006,733",1.93%,acm
15/07/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"24,006,733",1.93%,acm
12/07/2024,0.7(16.67 %),0,0.0,0,0.0,0,0.0,"24,006,733",1.93%,acm
11/07/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"24,006,733",1.93%,acm
10/07/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"24,006,733",1.93%,acm
08/07/2024,0.6(0.00 %),0,0.0,0,0.0,0,0.0,"24,006,733",1.93%,acm
04/07/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"24,010,633",1.92%,acm
03/07/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"24,010,633",0%,acm
02/07/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"24,010,633",1.92%,acm
01/07/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"24,010,633",1.92%,acm
28/06/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"24,010,633",1.92%,acm
27/06/2024,0.7(0.00 %),0,0.0,0,0.0,0,0.0,"24,010,633",1.92%,acm
