date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,107(0.00 %),"14,000",1.5,"16,500",1.77,"2,500",0.27,"988,110,134",3.61%
11/09/2024,107.6(1.22 %),"23,000",2.44,"28,500",3.03,"5,500",0.59,"988,071,034",3.62%
10/09/2024,106.5(0.38 %),"50,038",5.32,"105,638",11.23,"55,600",5.9,"988,082,434",3.62%
09/09/2024,106(-0.56 %),0,0,0,0,0,0,"988,187,672",3.61%
06/09/2024,107(-1.20 %),"12,620",1.35,"13,020",1.39,400,0.04,"988,190,138",3.61%
05/09/2024,108(-0.92 %),"22,400",2.42,"23,400",2.53,"1,000",0.11,"988,191,058",3.61%
04/09/2024,109.4(-0.36 %),"16,914",1.85,"29,014",3.17,"12,100",1.32,"988,186,658",3.61%
30/08/2024,110(0.82 %),"23,400",2.58,"51,200",5.64,"27,800",3.06,"988,201,672",3.61%
29/08/2024,109.8(0.37 %),"20,000",2.2,"34,000",3.73,"14,000",1.52,"988,238,522",3.61%
28/08/2024,109.9(1.10 %),-850,-0.09,"13,500",1.48,"14,350",1.57,"988,263,622",3.61%
27/08/2024,110(-0.18 %),"22,300",2.45,"31,200",3.42,"8,900",0.97,"988,277,122",3.61%
26/08/2024,109.9(-1.52 %),"19,850",2.18,"19,850",2.18,0,0,"988,276,922",3.61%
23/08/2024,112(-1.06 %),"33,407",3.89,"64,807",7.39,"31,400",3.5,"988,289,172",3.61%
22/08/2024,113.7(0.44 %),"14,005",1.59,"21,605",2.45,"7,600",0.86,"988,352,029",3.6%
21/08/2024,113.9(0.80 %),"31,750",3.61,"33,700",3.83,"1,950",0.22,"988,367,310",3.6%
20/08/2024,113.9(1.88 %),"32,976",3.73,"39,300",4.45,"6,324",0.72,"988,428,600",3.6%
19/08/2024,112.5(3.21 %),"151,890",17.39,"160,800",18.39,"8,910",1,"988,428,600",3.6%
16/08/2024,109.5(2.24 %),"17,417",1.9,"20,217",2.2,"2,800",0.3,"988,588,800",3.59%
15/08/2024,107(-0.56 %),"14,910",1.6,"15,510",1.66,600,0.06,"988,607,517",3.59%
14/08/2024,109(0.55 %),"47,500",5.13,"49,000",5.29,"1,500",0.16,"988,522,727",3.6%
13/08/2024,108.7(0.46 %),"-83,471",-9.02,"16,829",1.83,"100,300",10.85,"988,570,727",3.59%
12/08/2024,109.6(2.62 %),"26,900",2.93,"27,900",3.03,"1,000",0.11,"988,586,256",3.59%
09/08/2024,109.9(6.80 %),"204,140",21.93,"205,440",22.07,"1,300",0.14,"988,595,556",3.59%
08/08/2024,103.5(0.39 %),"14,900",1.54,"33,500",3.45,"18,600",1.91,"988,667,496",3.59%
07/08/2024,101.7(-1.45 %),"-100,200",-10.29,"33,300",3.43,"133,500",13.72,"988,034,896",3.62%
06/08/2024,102(-5.99 %),"-625,200",-64.49,"40,900",4.21,"666,100",68.7,"988,007,596",3.62%
05/08/2024,107(-4.46 %),"-33,700",-3.7,"26,900",2.89,"60,600",6.59,"988,035,896",3.62%
02/08/2024,114.4(2.23 %),"22,000",2.54,"34,600",3.94,"12,600",1.39,"988,049,396",3.62%
01/08/2024,113(-1.48 %),"76,981",8.64,"90,381",10.13,"13,400",1.49,"987,978,396",3.62%
31/07/2024,115.9(-1.45 %),"57,711",6.63,"163,311",18.73,"105,600",12.09,"988,025,277",3.62%
30/07/2024,118(0.43 %),"73,200",8.64,"116,700",13.76,"43,500",5.11,"988,116,588",3.61%
29/07/2024,117.5(2.44 %),"-3,000",-0.37,"69,000",8.12,"72,000",8.48,"988,190,188",3.61%
24/07/2024,108(1.50 %),"3,826",0.52,"54,326",5.85,"50,500",5.33,"988,371,110",3.6%
23/07/2024,107.3(1.61 %),"-16,000",-1.69,"44,100",4.71,"60,100",6.41,"988,423,636",3.6%
22/07/2024,108(-0.46 %),"111,700",11.84,"113,500",12.03,"1,800",0.19,"988,460,136",3.6%
19/07/2024,108.9(0.09 %),"40,000",4.33,"47,600",5.16,"7,600",0.82,"988,424,336",3.6%
18/07/2024,110.9(-1.51 %),"1,699,900",185.07,"2,049,200",223.91,"349,300",38.83,"988,265,181",3.61%
17/07/2024,0(0.00 %),"334,615",37.68,"541,370",60.9,"206,755",23.23,"990,038,281",3.53%
16/07/2024,0(0.00 %),"2,900",0.25,"79,000",9.18,"76,100",8.93,"988,805,551",3.58%
15/07/2024,118.5(-1.99 %),"-1,742,900",-200.17,"31,200",3.69,"1,774,100",203.85,"988,884,551",3.58%
12/07/2024,120.8(0.67 %),"2,200",0.27,"170,400",20.6,"168,200",20.34,"988,892,651",3.58%
11/07/2024,121(0.00 %),"1,753,128",205.79,"1,776,228",208.54,"23,100",2.76,"988,877,751",3.58%
10/07/2024,120(-2.20 %),"-15,101",-1.83,"1,999",0.24,"17,100",2.07,"990,637,879",3.5%
08/07/2024,125(1.13 %),"-1,711,802",-200.54,"63,500",7.9,"1,775,302",208.45,"988,861,876",3.58%
04/07/2024,121.1(2.98 %),"-8,095",-0.97,705,0.08,"8,800",1.05,"988,632,576",3.59%
03/07/2024,117(-2.26 %),"-247,998",-29.15,"62,402",7.36,"310,400",36.51,"988,794,081",0%
02/07/2024,119.9(2.30 %),"10,904",1.31,"16,404",1.97,"5,500",0.66,"988,546,083",3.59%
01/07/2024,118.7(-3.50 %),"-65,000",-7.24,"79,100",9.56,"144,100",16.8,"988,493,787",3.6%
28/06/2024,122(-2.32 %),"-10,363",-1.31,"58,337",7.14,"68,700",8.45,"988,468,987",3.6%
27/06/2024,125.5(-1.18 %),"-41,500",-5.24,"62,400",7.81,"103,900",13.04,"988,519,624",3.6%
26/06/2024,128(2.40 %),"5,700",0.72,"13,400",1.71,"7,700",0.99,"988,570,224",3.59%
25/06/2024,126(-1.56 %),"7,400",0.93,"19,200",2.42,"11,800",1.49,"988,418,574",3.6%
24/06/2024,127.6(-6.11 %),"-87,550",-11.28,"77,500",9.94,"165,050",21.23,"988,301,274",3.61%
21/06/2024,135.3(1.05 %),"-48,250",-6.48,"88,250",11.99,"136,500",18.47,"988,366,474",3.6%
20/06/2024,134.4(3.70 %),"45,700",6.11,"58,000",7.75,"12,300",1.64,"988,398,524",3.6%
19/06/2024,131.9(0.23 %),"-41,400",-5.35,"14,800",1.94,"56,200",7.28,"988,431,324",3.6%
18/06/2024,131.2(0.61 %),"-22,200",-2.92,"103,000",13.53,"125,200",16.45,"988,265,224",3.61%
17/06/2024,0(0.00 %),"-179,800",-23.57,"1,100",0.14,"180,900",23.71,"987,809,424",3.63%
14/06/2024,0(0.00 %),"-320,450",-42.46,"138,350",18.44,"458,800",60.9,"987,650,224",3.64%
13/06/2024,135.6(10.87 %),"-65,600",-8.18,"94,700",12.39,"160,300",20.58,"987,786,274",3.63%
12/06/2024,123.5(1.90 %),"132,601",16.22,"284,901",34.7,"152,300",18.47,"987,674,774",3.63%
11/06/2024,121.2(1.59 %),"-164,100",-19.84,"92,100",11.15,"256,200",30.99,"987,674,479",0%
10/06/2024,121.9(5.63 %),"-97,300",-11.37,"28,400",3.37,"125,700",14.74,"987,510,379",0%
07/06/2024,116(2.38 %),0,0,0,0,0,0,"987,538,779",3.64%
06/06/2024,114.3(0.18 %),"-2,540",-0.3,"40,500",4.59,"43,040",4.89,"987,417,779",3.65%
05/06/2024,113(-0.96 %),"-115,000",-13.12,"145,700",16.63,"260,700",29.75,"987,239,279",0%
04/06/2024,116(5.45 %),"-50,800",-5.81,"143,700",16.37,"194,500",22.18,"987,322,479",0%
03/06/2024,111.9(6.98 %),"1,300",0.18,"25,800",2.85,"24,500",2.67,"987,317,279",0%
31/05/2024,103.5(4.12 %),"-48,400",-5.06,"14,100",1.44,"62,500",6.5,"987,343,100",3.65%
30/05/2024,100.5(-2.05 %),"-27,099",-2.71,"121,801",12.16,"148,900",14.87,"987,243,456",3.65%
29/05/2024,103(1.48 %),"137,162",14.07,"250,900",25.72,"113,738",11.65,"987,128,100",3.66%
28/05/2024,101.8(4.95 %),"-104,300",-10.52,"132,800",13.53,"237,100",24.05,"987,299,000",3.65%
