date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,20.2,--,0(0.00 %),0,0,0,0,20.2,20.2,20.2
11/09/2024,20.2,--,0(0.00 %),4,0,0,0,20.2,20.2,20.2
10/09/2024,20.2,--,0.2(1.00 %),301,0.01,0,0,20,20.2,20
09/09/2024,20,--,0(0.00 %),100,0,0,0,20,20,20
06/09/2024,20,--,0(0.00 %),0,0,0,0,20,20,20
05/09/2024,20,--,0(0.00 %),118,0,0,0,20,20,20
04/09/2024,20,--,0(0.00 %),507,0.01,0,0,20,20,20
30/08/2024,20,--,0(0.00 %),4,0,0,0,20,20,20
29/08/2024,20,--,0(0.00 %),0,0,0,0,20,20,20
28/08/2024,20,--,0(0.00 %),203,0,0,0,20,20,20
27/08/2024,20,--,0(0.00 %),38,0,0,0,20,20,20
26/08/2024,20,--,0(0.00 %),202,0,0,0,20,20,20
23/08/2024,20,--,0(0.00 %),183,0,0,0,20,20,20
22/08/2024,20,--,-1.9(-8.68 %),758,0.02,0,0,19.8,20,19.8
21/08/2024,21.9,--,0(0.00 %),0,0,0,0,21.9,21.9,21.9
20/08/2024,21.9,--,1.4(6.83 %),"1,200",0.02,0,0,20.5,21.9,20.5
19/08/2024,20.5,--,0(0.00 %),0,0,0,0,20.5,20.5,20.5
16/08/2024,20.5,--,0(0.00 %),2,0,0,0,20.5,20.5,20.5
15/08/2024,20.5,--,0(0.00 %),5,0,0,0,20.5,20.5,20.5
14/08/2024,20.5,--,0.3(1.49 %),500,0.01,0,0,20.5,20.5,20.5
14/08/2024,20.5,--,0.3(1.49 %),500,0.01,0,0,20.5,20.5,20.5
13/08/2024,20.2,--,0(0.00 %),0,0,0,0,20.2,20.2,20.2
12/08/2024,20.2,--,0(0.00 %),"1,604",0.03,0,0,20.2,20.2,20.2
09/08/2024,20.2,--,-0.1(-0.49 %),101,0,0,0,20.2,20.2,20.2
08/08/2024,20.3,--,-0.1(-0.49 %),904,0.02,0,0,20.5,20.5,20.3
07/08/2024,20.4,--,0(0.00 %),0,0,0,0,20.4,20.4,20.4
06/08/2024,20.4,--,-0.2(-0.97 %),947,0.02,0,0,19.3,20.4,19.3
05/08/2024,20.6,--,-0.1(-0.48 %),100,0,0,0,20.6,20.6,20.6
02/08/2024,20.7,--,0(0.00 %),74,0,0,0,20.7,20.7,20.7
01/08/2024,20.7,--,0(0.00 %),"2,203",0.05,0,0,20.7,22,20.7
31/07/2024,20.7,--,-0.1(-0.48 %),"2,100",0.04,0,0,20,20.7,20
30/07/2024,20.8,--,0(0.00 %),90,0,0,0,20.8,20.8,20.8
29/07/2024,20.8,--,0(0.00 %),0,0,0,0,20.8,20.8,20.8
26/07/2024,20.8,--,0(0.00 %),0,0,0,0,20.8,20.8,20.8
25/07/2024,20.8,--,-0.1(-0.48 %),200,0,0,0,20.8,20.8,20.8
24/07/2024,20.9,--,0(0.00 %),0,0,0,0,20.9,20.9,20.9
23/07/2024,20.9,--,0(0.00 %),0,0,0,0,20.9,20.9,20.9
22/07/2024,20.9,--,0(0.00 %),109,0,0,0,20.9,20.9,20.9
19/07/2024,20.9,--,0(0.00 %),0,0,0,0,20.9,20.9,20.9
18/07/2024,20.9,--,0(0.00 %),5,0,0,0,20.9,20.9,20.9
17/07/2024,20.9,--,-0.1(-0.48 %),300,0.01,0,0,20.9,20.9,20.9
16/07/2024,21,--,-0.1(-0.47 %),700,0.01,0,0,21.1,21.1,21
15/07/2024,21.1,--,0(0.00 %),0,0,0,0,21.1,21.1,21.1
12/07/2024,21.1,--,-2.1(-9.05 %),330,0.01,0,0,21.1,21.1,21.1
11/07/2024,23.2,--,1.9(8.92 %),"2,605",0.06,0,0,21,23.2,21
10/07/2024,21.3,--,0(0.00 %),0,0,0,0,21.3,21.3,21.3
09/07/2024,21.3,--,-0.1(-0.47 %),101,0,0,0,21.3,21.3,21.3
08/07/2024,21.4,--,0(0.00 %),40,0,0,0,21.4,21.4,21.4
05/07/2024,21.4,--,0(0.00 %),46,0,0,0,21.4,21.4,21.4
04/07/2024,21.4,--,1.7(8.63 %),100,0,0,0,21.4,21.4,21.4
03/07/2024,19.7,--,-0.3(-1.50 %),600,0.01,0,0,19.7,19.7,19.7
02/07/2024,20,--,0(0.00 %),0,0,0,0,20,20,20
01/07/2024,20,--,0(0.00 %),0,0,0,0,20,20,20
28/06/2024,20,--,-0.9(-4.31 %),"7,600",0.15,0,0,20.7,20.7,20
