date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,20.2(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
11/09/2024,20.2(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
10/09/2024,20.2(1.00 %),0,0,0,0,0,0,"-329,115",8.27%
09/09/2024,20(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
06/09/2024,20(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
05/09/2024,20(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
04/09/2024,20(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
30/08/2024,20(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
29/08/2024,20(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
28/08/2024,20(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
27/08/2024,20(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
26/08/2024,20(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
23/08/2024,20(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
22/08/2024,20(-8.68 %),0,0,0,0,0,0,"-329,115",8.27%
21/08/2024,21.9(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
20/08/2024,21.9(6.83 %),0,0,0,0,0,0,"-329,115",8.27%
19/08/2024,20.5(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
16/08/2024,20.5(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
15/08/2024,20.5(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
14/08/2024,20.5(1.49 %),0,0,0,0,0,0,"-329,115",8.27%
13/08/2024,20.2(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
12/08/2024,20.2(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
09/08/2024,20.2(-0.49 %),0,0,0,0,0,0,"-329,115",8.27%
08/08/2024,20.3(-0.49 %),0,0,0,0,0,0,"-329,115",8.27%
07/08/2024,20.4(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
06/08/2024,20.4(-0.97 %),0,0,0,0,0,0,"-329,115",8.27%
05/08/2024,20.6(-0.48 %),0,0,0,0,0,0,"-329,115",8.27%
02/08/2024,20.7(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
01/08/2024,20.7(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
31/07/2024,20.7(-0.48 %),0,0,0,0,0,0,"-329,115",8.27%
30/07/2024,20.8(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
29/07/2024,20.8(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
24/07/2024,20.9(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
23/07/2024,20.9(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
22/07/2024,20.9(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
19/07/2024,20.9(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
18/07/2024,20.9(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
17/07/2024,0(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
16/07/2024,0(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
15/07/2024,21.1(0.00 %),0,0,0,0,0,0,"-329,115",8.27%
12/07/2024,21.1(-9.05 %),0,0,0,0,0,0,"-330,115",8.3%
11/07/2024,23.2(8.92 %),"-1,000",-0.02,0,0,"1,000",0.02,"-330,115",8.3%
10/07/2024,21.3(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
08/07/2024,21.4(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
04/07/2024,21.4(8.63 %),0,0,0,0,0,0,"-330,115",8.3%
03/07/2024,19.7(-1.50 %),0,0,0,0,0,0,0,49%
02/07/2024,20(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
01/07/2024,20(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
28/06/2024,20(-4.31 %),0,0,0,0,0,0,"-330,115",8.3%
27/06/2024,20.9(4.50 %),0,0,0,0,0,0,"-330,115",8.3%
26/06/2024,20(1.01 %),0,0,0,0,0,0,"-330,115",8.3%
25/06/2024,19.8(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
24/06/2024,19.8(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
21/06/2024,19.8(1.54 %),0,0,0,0,0,0,"-330,115",8.3%
20/06/2024,19.5(-9.72 %),0,0,0,0,0,0,"-330,115",8.3%
19/06/2024,21.6(9.64 %),0,0,0,0,0,0,"-330,115",8.3%
18/06/2024,19.7(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
17/06/2024,0(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
14/06/2024,0(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
13/06/2024,19.7(-1.01 %),0,0,0,0,0,0,"-330,115",8.3%
12/06/2024,19.9(-3.86 %),0,0,0,0,0,0,"-330,115",8.3%
11/06/2024,20.7(0.00 %),0,0,0,0,0,0,0,49%
10/06/2024,20.7(5.61 %),0,0,0,0,0,0,0,0%
07/06/2024,19.6(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
06/06/2024,19.6(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
05/06/2024,19.6(0.51 %),0,0,0,0,0,0,0,0%
04/06/2024,19.5(0.00 %),0,0,0,0,0,0,0,0%
03/06/2024,19.5(-5.80 %),0,0,0,0,0,0,0,0%
31/05/2024,20.7(7.25 %),0,0,0,0,0,0,"-330,115",8.3%
30/05/2024,19.3(-6.31 %),0,0,0,0,0,0,"-330,115",8.3%
29/05/2024,20.6(9.57 %),0,0,0,0,0,0,"-330,115",8.3%
28/05/2024,18.8(1.08 %),0,0,0,0,0,0,"-330,115",8.3%
27/05/2024,18.6(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
24/05/2024,18.6(0.00 %),0,0,0,0,0,0,0,0%
23/05/2024,18.6(-1.59 %),0,0,0,0,0,0,"-330,115",8.3%
22/05/2024,18.9(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
21/05/2024,18.9(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
20/05/2024,18.9(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
17/05/2024,18.9(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
16/05/2024,18.9(2.16 %),0,0,0,0,0,0,0,0%
15/05/2024,18.5(0.00 %),0,0,0,0,0,0,0,0%
14/05/2024,18.5(0.00 %),0,0,0,0,0,0,0,0%
13/05/2024,18.5(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
10/05/2024,18.5(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
09/05/2024,18.5(1.09 %),0,0,0,0,0,0,"-330,115",8.3%
08/05/2024,18.3(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
07/05/2024,18.3(0.55 %),0,0,0,0,0,0,"-330,115",8.3%
06/05/2024,18.2(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
03/05/2024,18.2(0.55 %),0,0,0,0,0,0,"-330,115",8.3%
02/05/2024,18.1(0.56 %),0,0,0,0,0,0,"-330,115",8.3%
26/04/2024,18(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
25/04/2024,18(0.00 %),0,0,0,0,0,0,0,0%
24/04/2024,18(0.00 %),0,0,0,0,0,0,0,0%
23/04/2024,18(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
22/04/2024,18(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
19/04/2024,18(-0.55 %),0,0,0,0,0,0,0,0%
17/04/2024,18.1(-1.09 %),0,0,0,0,0,0,0,0%
16/04/2024,18.3(0.00 %),0,0,0,0,0,0,0,0%
15/04/2024,18.3(0.00 %),0,0,0,0,0,0,0,0%
12/04/2024,18.3(-6.15 %),0,0,0,0,0,0,"-330,115",8.3%
11/04/2024,19.5(5.41 %),0,0,0,0,0,0,"-330,115",8.3%
10/04/2024,18.5(-2.63 %),0,0,0,0,0,0,0,0%
09/04/2024,19(1.06 %),0,0,0,0,0,0,0,0%
08/04/2024,18.8(1.08 %),0,0,0,0,0,0,0,0%
05/04/2024,18.6(-2.11 %),0,0,0,0,0,0,"-330,115",8.3%
04/04/2024,19(0.00 %),0,0,0,0,0,0,0,0%
03/04/2024,19(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
02/04/2024,19(0.00 %),0,0,0,0,0,0,0,0%
01/04/2024,19(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
29/03/2024,19(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
28/03/2024,19(0.00 %),0,0,0,0,0,0,"-330,115",8.3%
27/03/2024,19(-1.04 %),0,0,0,0,0,0,"-330,115",8.3%
26/03/2024,19.2(3.23 %),0,0,0,0,0,0,0,0%
25/03/2024,18.6(-3.63 %),0,0,0,0,0,0,"-330,115",8.3%
22/03/2024,19.3(0.00 %),0,0,0,0,0,0,0,0%
