date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,30.9,--,0.35(1.15 %),900,0.03,0,0,30.55,30.9,30.55
11/09/2024,30.55,--,-0.35(-1.13 %),"99,800",3.04,0,0,30.5,30.9,30.35
10/09/2024,30.9,--,0(0.00 %),"3,700",0.11,0,0,30.9,30.9,30.9
09/09/2024,30.9,--,-0.4(-1.28 %),"6,200",0.19,0,0,31,31,30.85
06/09/2024,31.3,--,0.5(1.62 %),"4,600",0.14,0,0,30.8,31.3,30.6
05/09/2024,30.8,--,-0.6(-1.91 %),"6,900",0.21,0,0,31,31,30.8
04/09/2024,31.4,--,0.55(1.78 %),"3,600",0.11,0,0,30.85,31.4,30.4
30/08/2024,30.85,--,-0.55(-1.75 %),"59,400",1.83,0,0,31.4,31.4,30.8
29/08/2024,31.4,--,-0.1(-0.32 %),"7,700",0.24,0,0,31.4,31.4,30.8
28/08/2024,31.5,--,0(0.00 %),0,0,0,0,31.5,31.5,31.5
27/08/2024,31.5,--,0(0.00 %),"7,900",0.24,0,0,30.8,31.5,30.8
26/08/2024,31.5,--,-0.5(-1.56 %),"10,300",0.32,0,0,30.8,31.5,30.8
23/08/2024,32,--,1.2(3.90 %),"11,500",0.36,0,0,30.8,32,30.6
22/08/2024,30.8,--,-0.1(-0.32 %),"10,200",0.31,0,0,30.95,30.95,30.8
21/08/2024,30.9,--,-0.4(-1.28 %),"3,200",0.1,"20,000",0.58,31.3,31.3,30.9
20/08/2024,31.3,--,0.3(0.97 %),"9,000",0.28,0,0,31,31.3,30.9
19/08/2024,31,--,0.25(0.81 %),"15,400",0.48,"30,000",0.86,30.7,31.05,30.7
16/08/2024,30.75,--,-0.15(-0.49 %),"5,300",0.16,0,0,30.9,30.9,29.3
15/08/2024,30.9,--,0.8(2.66 %),"38,800",1.12,"35,000",0.98,30.1,31,28
14/08/2024,30.1,--,-2(-6.23 %),"30,900",0.94,0,0,32,32,30.05
14/08/2024,30.1,--,-2(-6.23 %),"30,900",0.94,0,0,32,32,30.05
13/08/2024,32.1,--,-0.6(-1.83 %),"11,600",0.36,"41,900",1.28,32.6,32.6,31
12/08/2024,32.7,--,0.7(2.19 %),"4,500",0.15,0,0,33.4,33.4,32
09/08/2024,32,--,-2(-5.88 %),"89,900",2.88,0,0,32.15,32.15,31.9
08/08/2024,34,--,-1(-2.86 %),"12,700",0.42,"40,000",1.3,32.7,34.5,32.55
07/08/2024,35,--,1(2.94 %),"28,600",0.92,0,0,32.1,35,31.7
06/08/2024,34,--,-0.75(-2.16 %),"1,500",0.05,0,0,34.7,34.7,34
05/08/2024,34.75,--,-2.6(-6.96 %),"5,700",0.2,0,0,37.35,37.35,34.75
02/08/2024,37.35,--,0(0.00 %),0,0,"28,000",0.97,37.35,37.35,37.35
01/08/2024,37.35,--,0(0.00 %),400,0.01,0,0,37.35,37.35,37.35
31/07/2024,37.35,--,1.75(4.92 %),"4,100",0.15,0,0,35.5,37.5,35.5
30/07/2024,35.6,--,2.1(6.27 %),"3,200",0.11,0,0,32.8,35.8,32.8
29/07/2024,33.5,--,0.6(1.82 %),"4,100",0.14,"32,000",0.98,33,33.9,32.9
26/07/2024,32.9,--,0.1(0.30 %),"2,300",0.08,0,0,33.3,34,32.8
