date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
11/09/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
10/09/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
09/09/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
06/09/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
05/09/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
04/09/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
30/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
29/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
28/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
27/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
26/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
23/08/2024,2.7(-10.00 %),0,0,0,0,0,0,"13,922,745",0.47%
22/08/2024,3(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
21/08/2024,3(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
20/08/2024,3(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
19/08/2024,3(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
16/08/2024,3(7.14 %),0,0,0,0,0,0,"13,922,745",0.47%
15/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
14/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
13/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
12/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
09/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
08/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
07/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
06/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
05/08/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
02/08/2024,2.8(-3.45 %),0,0,0,0,0,0,"13,922,745",0.47%
01/08/2024,2.9(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
31/07/2024,2.9(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
30/07/2024,2.9(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
29/07/2024,2.9(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
24/07/2024,2.9(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
23/07/2024,2.9(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
22/07/2024,2.9(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
19/07/2024,2.9(-3.33 %),0,0,0,0,0,0,"13,922,745",0.47%
18/07/2024,3(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
17/07/2024,0(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
16/07/2024,0(0.00 %),0,0,0,0,0,0,"13,922,745",0.47%
15/07/2024,3(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
12/07/2024,2.9(7.41 %),-4,-0,0,0,4,0,"13,922,741",0.47%
11/07/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
10/07/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
08/07/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
04/07/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
03/07/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,741",0%
02/07/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
01/07/2024,2.7(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
28/06/2024,3(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
27/06/2024,3(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
26/06/2024,3(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
25/06/2024,3(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
24/06/2024,3(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
21/06/2024,3(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
20/06/2024,3(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
19/06/2024,3(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
18/06/2024,3(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
17/06/2024,0(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
14/06/2024,0(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
13/06/2024,3.1(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
12/06/2024,3.1(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
11/06/2024,3.1(0.00 %),0,0,0,0,0,0,"13,922,741",0%
10/06/2024,3.1(0.00 %),0,0,0,0,0,0,"13,922,741",0%
07/06/2024,3(7.14 %),0,0,0,0,0,0,"13,922,741",0.47%
06/06/2024,2.8(0.00 %),0,0,0,0,0,0,"13,922,741",0.47%
